lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
3	894.438	6282.914	2096.742	968.199	697.975	312.734	155.413	58.131	58.071	82.486	21.918	51.44	423.474	3016.97	4364.403	5729.069	6349.352	7258.114	7331.228	5704.022	4480.6	1587.33	781.857	462.086	112.381	61.221	45.869	45.091	42.9	55.707	48.281	33.431	34.592	15.306	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.306	34.592	33.431	48.281	55.707	42.9	45.091	45.869	61.221	112.381	462.086	781.857	1587.33	4480.6	5704.022	7331.228	7258.114	6349.352	5729.069	4364.403	3016.97	423.474	51.44	21.918	82.486	58.071	58.131	155.413	312.734	697.975	968.199
4	4080.182	219.145	336.052	323.188	541.1	1116.584	2093.88	7783.358	12320.629	1686.884	441.82	570.436	947.206	2103.691	4938.683	4589.671	5782.684	5611.273	6650.898	6493.775	4956.301	2429.661	1472.204	698.722	199.235	74.357	56.156	49.414	38.395	129.245	107.541	164.332	198.953	200.625	189.91	164.388	164.818	190.863	201.794	201.794	190.863	164.818	164.388	189.91	200.625	198.953	164.332	107.541	129.245	38.395	49.414	56.156	74.357	199.235	698.722	1472.204	2429.661	4956.301	6493.775	6650.898	5611.273	5782.684	4589.671	4938.683	2103.691	947.206	570.436	441.82	1686.884	12320.629	7783.358	2093.88	1116.584	541.1	323.188
5	-1	3250.114	4117.614	2747.529	2503.52	2026.935	1469.109	1024.965	1046.114	614.69	531.102	555.934	800.282	2012.325	4751.522	4245.189	4669.326	4751.888	2906.581	2984.421	1942.805	1234.011	639.926	444.846	108.472	187.161	149.989	192.917	195.485	274.195	264.253	347.051	307.347	325.945	338.17	353.94	356.439	345.512	337.817	337.817	345.512	356.439	353.94	338.17	325.945	307.347	347.051	264.253	274.195	195.485	192.917	149.989	187.161	108.472	444.846	639.926	1234.011	1942.805	2984.421	2906.581	4751.888	4669.326	4245.189	4751.522	2012.325	800.282	555.934	531.102	614.69	1046.114	1024.965	1469.109	2026.935	2503.52	2747.529
6	4894.779	4656.743	3766.463	2846.751	2040.689	1552.397	1336.823	1947.933	2238.991	2084.473	1428.368	1661.551	1359.921	2419.297	2550.128	1835.609	1946.246	1836.378	1525.655	1675.159	1109.358	1101.973	527.875	487.096	315.006	380.618	368.839	442.461	484.999	547.381	577.692	687.238	668.362	690.172	701.192	708.167	711.101	709.8	704.123	704.123	709.8	711.101	708.167	701.192	690.172	668.362	687.238	577.692	547.381	484.999	442.461	368.839	380.618	315.006	487.096	527.875	1101.973	1109.358	1675.159	1525.655	1836.378	1946.246	1835.609	2550.128	2419.297	1359.921	1661.551	1428.368	2084.473	2238.991	1947.933	1336.823	1552.397	2040.689	2846.751
7	14243.134	2383.039	2919.929	2545.427	2789.881	3059.599	3345.451	2996.676	4331.643	4706.379	2341.867	1807.695	1916.524	2043.398	2116.261	1934.187	1901.517	1575.902	1400.959	1523.906	1230.595	1163.357	883.223	855.326	787.344	777.011	773.07	813.88	836.328	898.735	903.235	978.429	933.958	962.538	972.706	982.507	986.073	983.415	980.399	980.399	983.415	986.073	982.507	972.706	962.538	933.958	978.429	903.235	898.735	836.328	813.88	773.07	777.011	787.344	855.326	883.223	1163.357	1230.595	1523.906	1400.959	1575.902	1901.517	1934.187	2116.261	2043.398	1916.524	1807.695	2341.867	4706.379	4331.643	2996.676	3345.451	3059.599	2789.881	2545.427
8	15434.9	3357.872	4274.866	3755.517	3876.548	3972.107	4004.856	4093.521	3141.137	2993.595	2999.56	2991.474	2645.06	2843.479	2894.804	2712.305	2480.033	2304.481	2061.446	1955.472	1582.573	1349.586	1198.315	1186.468	1134.203	1182.05	1182.556	1223	1230.553	1222.493	1189.873	1163.689	1066.068	1021.444	979.283	941.043	935.747	963.127	994.011	994.011	963.127	935.747	941.043	979.283	1021.444	1066.068	1163.689	1189.873	1222.493	1230.553	1223	1182.556	1182.05	1134.203	1186.468	1198.315	1349.586	1582.573	1955.472	2061.446	2304.481	2480.033	2712.305	2894.804	2843.479	2645.06	2991.474	2999.56	2993.595	3141.137	4093.521	4004.856	3972.107	3876.548	3755.517
9	15345.266	5511.217	6180.172	5113.757	4670.862	4176.505	3844.653	3599.8	3844.562	3788.877	3318.596	3078.103	2810.151	3358.314	3299.484	3173.13	2936.259	2712.746	2407.981	2170.193	1919.58	1763.293	1672.798	1641.972	1618.043	1582.046	1529.872	1463.384	1335.533	1224.708	1091.457	951.933	822.598	749.291	686.119	633.943	625.065	659.247	703.982	703.982	659.247	625.065	633.943	686.119	749.291	822.598	951.933	1091.457	1224.708	1335.533	1463.384	1529.872	1582.046	1618.043	1641.972	1672.798	1763.293	1919.58	2170.193	2407.981	2712.746	2936.259	3173.13	3299.484	3358.314	2810.151	3078.103	3318.596	3788.877	3844.562	3599.8	3844.653	4176.505	4670.862	5113.757
10	16955.259	5322.125	6337.66	5611.573	5320.746	4893.988	4490.471	3933.632	3930.687	4362.991	3496.593	3435.364	3432.547	3773.806	3570.08	3558.831	3131.355	2782.828	2495.242	2310.167	2144.421	2056.192	1938.78	1873.246	1780.369	1663.713	1500.501	1320.899	1132.58	928.051	752.779	588.938	420.78	355.692	289.72	235.433	227.799	266.199	315.531	315.531	266.199	227.799	235.433	289.72	355.692	420.78	588.938	752.779	928.051	1132.58	1320.899	1500.501	1663.713	1780.369	1873.246	1938.78	2056.192	2144.421	2310.167	2495.242	2782.828	3131.355	3558.831	3570.08	3773.806	3432.547	3435.364	3496.593	4362.991	3930.687	3933.632	4490.471	4893.988	5320.746	5611.573
11	17382.998	6079.048	6876.184	5907.05	5535.337	5124.925	4739.809	4540.206	4674.708	4771.375	4085.373	4030.313	4144.91	4102.676	3898.433	3534.782	3062.225	2855.31	2587.182	2371.449	2216.508	2117.586	1960.726	1837.653	1656.08	1418.933	1166.842	925.356	686.033	485.365	312.991	172.838	82.921	44.752	22.222	20.653	16.934	12.696	25.198	25.198	12.696	16.934	20.653	22.222	44.752	82.921	172.838	312.991	485.365	686.033	925.356	1166.842	1418.933	1656.08	1837.653	1960.726	2117.586	2216.508	2371.449	2587.182	2855.31	3062.225	3534.782	3898.433	4102.676	4144.91	4030.313	4085.373	4771.375	4674.708	4540.206	4739.809	5124.925	5535.337	5907.05
12	20268.161	5080.078	6329.707	5688.949	5647.844	5434.647	5131.746	4669.805	4852.845	4288.367	4204.486	4371.292	4176.415	4019.458	3794.558	3380.269	3074.366	2773.888	2539.559	2375.83	2194.258	2023.689	1804.01	1571.622	1281.735	990.374	711.688	458.218	259.4	109.609	30.413	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30.413	109.609	259.4	458.218	711.688	990.374	1281.735	1571.622	1804.01	2023.689	2194.258	2375.83	2539.559	2773.888	3074.366	3380.269	3794.558	4019.458	4176.415	4371.292	4204.486	4288.367	4852.845	4669.805	5131.746	5434.647	5647.844	5688.949
