lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
2	-1	1253.835	1328.606	1393.2	1415.105	1423.175	1422.149	1136.989	1231.326	1395.519	1732.202	1699.407	1484.157	1225.186	1181.172	1123.611	1074.473	1004.794	919.16	782.884	908.197	1118.594	1065.575	591.108	1588.664	-1	1962.081	1617.978	1988.749	1846.804	1780.303	1940.6	1718.492	1938.471	2078.378	2219.877	2252.624	2182.541	2108.923	2108.923	2182.541	2252.624	2219.877	2078.378	1938.471	1718.492	1940.6	1780.303	1846.804	1988.749	1617.978	1962.081	-1	1588.664	591.108	1065.575	1118.594	908.197	782.884	919.16	1004.794	1074.473	1123.611	1181.172	1225.186	1484.157	1699.407	1732.202	1395.519	1231.326	1136.989	1422.149	1423.175	1415.105	1393.2
3	1246.084	868.07	978.774	1045.378	1079.815	1183.648	1298.277	1480.093	1380.122	1418.379	1727.25	1570.042	1217.433	1044.3	1033.754	1033.699	1040.946	1035.174	1040.221	1060.998	1082.355	1211.561	1267.174	1290.074	1487.866	1594.093	1731.392	1772.862	1741.546	1679.206	1786.176	1889.601	1887.546	2124.372	2274.389	2371.002	2410.52	2385.782	2296.507	2296.507	2385.782	2410.52	2371.002	2274.389	2124.372	1887.546	1889.601	1786.176	1679.206	1741.546	1772.862	1731.392	1594.093	1487.866	1290.074	1267.174	1211.561	1082.355	1060.998	1040.221	1035.174	1040.946	1033.699	1033.754	1044.3	1217.433	1570.042	1727.25	1418.379	1380.122	1480.093	1298.277	1183.648	1079.815	1045.378
4	1080.315	1348.226	1296.427	1278.827	1190.902	1087.205	1011.262	874.162	833.41	1017.59	1152.772	1154.53	1167.265	1112.796	1051.99	1094.163	1079.984	1102.606	1081.695	1080.77	1103.042	1175.903	1195.317	1276.187	1493.117	1637.533	1742.662	1830.217	1985.387	1732.846	1848.59	1761.211	1744.023	1750.453	1778.391	1832.647	1832.922	1780.109	1754.179	1754.179	1780.109	1832.922	1832.647	1778.391	1750.453	1744.023	1761.211	1848.59	1732.846	1985.387	1830.217	1742.662	1637.533	1493.117	1276.187	1195.317	1175.903	1103.042	1080.77	1081.695	1102.606	1079.984	1094.163	1051.99	1112.796	1167.265	1154.53	1152.772	1017.59	833.41	874.162	1011.262	1087.205	1190.902	1278.827
5	684.587	1007.979	994.921	1032.595	1041.035	1063.243	1101.929	1139.108	1160.659	1216.94	1266.184	1254.192	1232.007	1127.166	1052.076	1091.758	1104.016	1108.949	1194.041	1184.641	1241.198	1298.494	1386.831	1412.618	1691.104	1593.423	1720.729	1712.697	1787.72	1768.773	1860.653	1840.416	1933.517	1943.771	1960.537	1973.843	1974.509	1963.097	1949.255	1949.255	1963.097	1974.509	1973.843	1960.537	1943.771	1933.517	1840.416	1860.653	1768.773	1787.72	1712.697	1720.729	1593.423	1691.104	1412.618	1386.831	1298.494	1241.198	1184.641	1194.041	1108.949	1104.016	1091.758	1052.076	1127.166	1232.007	1254.192	1266.184	1216.94	1160.659	1139.108	1101.929	1063.243	1041.035	1032.595
6	1129.993	980.552	1023.575	1041.056	1084.182	1124.794	1153.609	1118.507	1095.52	1113.95	1164.11	1152.091	1205.341	1130.61	1142.704	1224.904	1227.672	1241.498	1282.209	1274.035	1337.111	1335.309	1479.886	1524.408	1676.496	1697.085	1795.837	1816.186	1866.078	1895.421	1939.45	1936.221	1982.328	1990.969	2002.252	2012.428	2013.207	2004.859	1995.866	1995.866	2004.859	2013.207	2012.428	2002.252	1990.969	1982.328	1936.221	1939.45	1895.421	1866.078	1816.186	1795.837	1697.085	1676.496	1524.408	1479.886	1335.309	1337.111	1274.035	1282.209	1241.498	1227.672	1224.904	1142.704	1130.61	1205.341	1152.091	1164.11	1113.95	1095.52	1118.507	1153.609	1124.794	1084.182	1041.056
7	1012.405	1127.841	1114.251	1118.497	1100.91	1084.391	1071.489	1092.744	1047.092	1046.872	1154.44	1207.45	1221.891	1218.314	1236.948	1263.592	1287.913	1337.999	1370.343	1381.228	1440.731	1489.529	1596.755	1658.03	1746.778	1808.665	1875.805	1920	1960.347	1984.835	2015.151	2016.343	2050.673	2049.69	2055.023	2059.604	2059.457	2054.622	2049.105	2049.105	2054.622	2059.457	2059.604	2055.023	2049.69	2050.673	2016.343	2015.151	1984.835	1960.347	1920	1875.805	1808.665	1746.778	1658.03	1596.755	1489.529	1440.731	1381.228	1370.343	1337.999	1287.913	1263.592	1236.948	1218.314	1221.891	1207.45	1154.44	1046.872	1047.092	1092.744	1071.489	1084.391	1100.91	1118.497
8	1022.395	1107.398	1089.634	1094.014	1086.648	1081.953	1083.169	1094.21	1138.625	1154.929	1170.35	1191.143	1228.375	1245.772	1263.867	1299.332	1332.383	1375.652	1426.882	1474.955	1560.279	1643.214	1727.164	1792.367	1864.736	1909.419	1956.002	1984.428	2013.315	2035.941	2058.096	2070.641	2094.518	2104.199	2114.437	2123.775	2125.091	2118.279	2110.42	2110.42	2118.279	2125.091	2123.775	2114.437	2104.199	2094.518	2070.641	2058.096	2035.941	2013.315	1984.428	1956.002	1909.419	1864.736	1792.367	1727.164	1643.214	1560.279	1474.955	1426.882	1375.652	1332.383	1299.332	1263.867	1245.772	1228.375	1191.143	1170.35	1154.929	1138.625	1094.21	1083.169	1081.953	1086.648	1094.014
9	1054.998	1058.635	1063.69	1078.779	1093.761	1113.718	1133.418	1152.137	1155.343	1174.974	1208.913	1244.271	1284.361	1272.814	1307.107	1346.575	1389.729	1443.117	1510.09	1579.755	1665.429	1743.608	1815.333	1875.304	1927.042	1969.06	2007.576	2039.375	2074.849	2098.877	2124.796	2147.885	2170.954	2183.608	2195.824	2205.73	2207.841	2201.656	2192.393	2192.393	2201.656	2207.841	2205.73	2195.824	2183.608	2170.954	2147.885	2124.796	2098.877	2074.849	2039.375	2007.576	1969.06	1927.042	1875.304	1815.333	1743.608	1665.429	1579.755	1510.09	1443.117	1389.729	1346.575	1307.107	1272.814	1284.361	1244.271	1208.913	1174.974	1155.343	1152.137	1133.418	1113.718	1093.761	1078.779
10	1071.629	1089.094	1086.919	1093.81	1105.156	1123.264	1145.961	1183.525	1196.572	1194.088	1252.126	1275.156	1301.751	1314.17	1359.085	1394.681	1460.991	1529.243	1608.674	1686.229	1761.368	1826.364	1892.389	1942.388	1988.76	2028.017	2067.149	2100.956	2133.441	2167.321	2196.318	2226.615	2279.513	2298.172	2328.625	2361.607	2366.598	2340.166	2312.617	2312.617	2340.166	2366.598	2361.607	2328.625	2298.172	2279.513	2226.615	2196.318	2167.321	2133.441	2100.956	2067.149	2028.017	1988.76	1942.388	1892.389	1826.364	1761.368	1686.229	1608.674	1529.243	1460.991	1394.681	1359.085	1314.17	1301.751	1275.156	1252.126	1194.088	1196.572	1183.525	1145.961	1123.264	1105.156	1093.81
11	1084.322	1088.494	1095.841	1110.75	1128.087	1149.872	1175.601	1196.905	1205.65	1229.935	1275.723	1305.104	1331.984	1362.523	1406.264	1466.471	1542.537	1612.28	1691.682	1767.648	1837.592	1894.667	1952.945	1996.431	2039.358	2083.699	2127.972	2169.58	2218.871	2269.646	2335.995	2446.319	2593.95	2758.663	2960.026	2883.831	2953.247	3175.768	2945.149	2945.149	3175.768	2953.247	2883.831	2960.026	2758.663	2593.95	2446.319	2335.995	2269.646	2218.871	2169.58	2127.972	2083.699	2039.358	1996.431	1952.945	1894.667	1837.592	1767.648	1691.682	1612.28	1542.537	1466.471	1406.264	1362.523	1331.984	1305.104	1275.723	1229.935	1205.65	1196.905	1175.601	1149.872	1128.087	1110.75
