lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
3	-1	1082.711	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1104.783	1106.551	1100.547	1156.559	1133.759	1170.175	1218.681	1199.072	1348.063	1643.12	1794.006	2006.45	-1	-1	2094.245	1912.782	1912.782	2094.245	-1	-1	2006.45	1794.006	1643.12	1348.063	1199.072	1218.681	1170.175	1133.759	1156.559	1100.547	1106.551	1104.783	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1221.115	1441.75	1560.821	1569.842	1676.717	1637.745	1649.803	1607.604	1712.35	1782.807	2035.719	2126.75	2221.736	2304.877	2317.64	2259.6	2188.19	2188.19	2259.6	2317.64	2304.877	2221.736	2126.75	2035.719	1782.807	1712.35	1607.604	1649.803	1637.745	1676.717	1569.842	1560.821	1441.75	1221.115	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1211.039	1507.22	1771.795	2165.133	2212.36	2232.898	2133.047	2086.501	2041.68	2072.401	2045.736	2163.531	2092.929	2181.133	2150.101	2145.643	2138.754	2135.228	2134.791	2131.602	2131.602	2134.791	2135.228	2138.754	2145.643	2150.101	2181.133	2092.929	2163.531	2045.736	2072.401	2041.68	2086.501	2133.047	2232.898	2212.36	2165.133	1771.795	1507.22	1211.039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1032.226	1056.969	1093.729	1194.084	1295.888	1448.26	1560.849	1742.162	1816.302	1899.794	1928.925	1976.953	1963.327	2023.282	2019.289	2058.995	2051.766	2078.025	2069.148	2099.844	2095.989	2101.236	2107.932	2107.458	2099.792	2093.564	2093.564	2099.792	2107.458	2107.932	2101.236	2095.989	2099.844	2069.148	2078.025	2051.766	2058.995	2019.289	2023.282	1963.327	1976.953	1928.925	1899.794	1816.302	1742.162	1560.849	1448.26	1295.888	1194.084	1093.729	1056.969	1032.226	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1139.694	1180.392	1368.83	1510.877	1608.038	1721.504	1764.513	1835.517	1880.451	1921.307	1956.115	1996.062	2022.825	2063.072	2088.914	2113.962	2119.739	2125.311	2118.559	2148.644	2130.667	2129.639	2132.081	2129.772	2122.734	2119.277	2119.277	2122.734	2129.772	2132.081	2129.639	2130.667	2148.644	2118.559	2125.311	2119.739	2113.962	2088.914	2063.072	2022.825	1996.062	1956.115	1921.307	1880.451	1835.517	1764.513	1721.504	1608.038	1510.877	1368.83	1180.392	1139.694	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024.185	1298.167	1385.258	1582.976	1685.633	1779.866	1852.22	1915.051	1953.056	1992.875	2029.451	2060.224	2079.528	2111.193	2114.989	2146.576	2158.269	2182.059	2158.046	2189.001	2177.738	2177.643	2178.741	2177.251	2173.179	2170.414	2170.414	2173.179	2177.251	2178.741	2177.643	2177.738	2189.001	2158.046	2182.059	2158.269	2146.576	2114.989	2111.193	2079.528	2060.224	2029.451	1992.875	1953.056	1915.051	1852.22	1779.866	1685.633	1582.976	1385.258	1298.167	1024.185	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1381.384	923.858	1373.041	1476.201	1593.324	1714.837	1786.081	1850.894	1900.615	1945.849	1987.741	2023.128	2063.618	2100.396	2118.909	2152.925	2186.902	2209.677	2237.153	2253.749	2246.334	2326.263	2328.549	2348.102	2366.673	2367.182	2349.338	2330.066	2330.066	2349.338	2367.182	2366.673	2348.102	2328.549	2326.263	2246.334	2253.749	2237.153	2209.677	2186.902	2152.925	2118.909	2100.396	2063.618	2023.128	1987.741	1945.849	1900.615	1850.894	1786.081	1714.837	1593.324	1476.201	1373.041	923.858	1381.384	-1	-1	-1	-1	-1	-1	-1	-1
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1146.661	1337.261	1449.715	1587.867	1670.307	1753.206	1817.608	1877.491	1927.981	1974.822	2023.436	2061.52	2104.691	2149.145	2191.373	2245.119	2330.285	2434.13	-1	-1	-1	-1	-1	-1	2379.486	2372.822	-1	-1	-1	-1	2372.822	2379.486	-1	-1	-1	-1	-1	-1	2434.13	2330.285	2245.119	2191.373	2149.145	2104.691	2061.52	2023.436	1974.822	1927.981	1877.491	1817.608	1753.206	1670.307	1587.867	1449.715	1337.261	1146.661	-1	-1	-1	-1	-1	-1	-1	-1
11	-1	-1	-1	-1	-1	-1	-1	-1	-1	1478.855	1279.769	1343.954	1413.63	1533.959	1628.605	1713.193	1782.16	1844.468	1905.86	1957.729	2007.263	2060.146	2115.153	2177.574	2239.979	2328.812	2438.372	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2438.372	2328.812	2239.979	2177.574	2115.153	2060.146	2007.263	1957.729	1905.86	1844.468	1782.16	1713.193	1628.605	1533.959	1413.63	1343.954	1279.769	1478.855	-1	-1	-1	-1	-1	-1
12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1174.415	1319.302	1479.339	1584.605	1650.667	1737.757	1796.441	1864.037	1917.829	1979.896	2036.882	2103.355	2177.524	2292.989	-1	-1	-1	-1	-1	-1	-1	2303.011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2303.011	-1	-1	-1	-1	-1	-1	-1	2292.989	2177.524	2103.355	2036.882	1979.896	1917.829	1864.037	1796.441	1737.757	1650.667	1584.605	1479.339	1319.302	1174.415	-1	-1	-1	-1	-1	-1	-1
