lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1342.365	1111.285	-1	1316.917	1183.015	1228.135	1235.56	1518.704	-1	-1	-1	-1	1702.068	-1	-1	-1	-1	-1	-1	-1	-1	1702.328	1729.026	1729.026	1702.328	-1	-1	-1	-1	-1	-1	-1	-1	1702.068	-1	-1	-1	-1	1518.704	1235.56	1228.135	1183.015	1316.917	-1	1111.285	1342.365	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	-1	-1	-1	-1	-1	-1	-1	-1	-1	1633.037	-1	1660.002	1541.273	1463.632	1873.665	1453.882	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1453.882	1873.665	1463.632	1541.273	1660.002	-1	1633.037	-1	-1	-1	-1	-1	-1
-3	-1	-1	-1	-1	-1	-1	-1	1689.043	1383.761	1188.718	1132.174	1077.171	1119.738	1020.684	1018.911	788.434	537.204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	537.204	788.434	1018.911	1020.684	1119.738	1077.171	1132.174	1188.718	1383.761	1689.043	-1	-1	-1	-1
-2	-1	1691.464	-1	-1	-1	-1	-1	-1	1140.223	1055.709	1064.245	1016.421	1060.266	1049.955	947.078	958.053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	958.053	947.078	1049.955	1060.266	1016.421	1064.245	1055.709	1140.223	-1	-1	-1	-1	-1
-1	-1	1650.935	1951.046	-1	-1	-1	-1	601.074	793.318	893.966	920.742	936.01	950.464	954.946	956.261	887.515	878.816	603.647	-1	-1	-1	1578.396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1578.396	-1	-1	-1	603.647	878.816	887.515	956.261	954.946	950.464	936.01	920.742	893.966	793.318	601.074	-1	-1	-1	-1
0	-1	1090.18	1353.927	-1	-1	-1	-1	912.611	948.499	944.172	946.852	936.227	944.191	940.877	908.596	919.121	889.86	901.576	882.666	904.686	945.881	942.191	934.036	987.111	1052.928	972.35	914.533	1001.027	967.894	1066.883	1080.38	1315.36	1504.546	1669.768	1700.123	1590.729	1616.971	1773.788	1783.614	1783.614	1773.788	1616.971	1590.729	1700.123	1669.768	1504.546	1315.36	1080.38	1066.883	967.894	1001.027	914.533	972.35	1052.928	987.111	934.036	942.191	945.881	904.686	882.666	901.576	889.86	919.121	908.596	940.877	944.191	936.227	946.852	944.172	948.499	912.611	-1	-1	-1	-1
1	-1	1385.357	1700.215	-1	-1	-1	-1	900.717	972.648	970.372	959.671	962.575	964.899	946.117	945.28	941.821	939.363	938.397	948.145	974.693	1011.497	1021.071	1005.507	1049.369	1067.528	1063.108	1087.12	1138.973	1162.406	1243.702	1408.404	1402.599	1623.064	1641.059	1608.05	1455.918	1456.681	1614.957	1653.617	1653.617	1614.957	1456.681	1455.918	1608.05	1641.059	1623.064	1402.599	1408.404	1243.702	1162.406	1138.973	1087.12	1063.108	1067.528	1049.369	1005.507	1021.071	1011.497	974.693	948.145	938.397	939.363	941.821	945.28	946.117	964.899	962.575	959.671	970.372	972.648	900.717	-1	-1	-1	-1
