DFB	BB TEMP SHVAREV
mm	3 mm central line
	LEAN 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1557.644
3	2003.5135
4	2223.895
5	2133.1965
6	2096.678
7	2121.0055
8	2171.7965
9	2339.702
10	-1
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	1980.6625
27	-1
28	-1
29	1873.8705
30	1719.214
31	-1
32	1770.123
33	1716.6605
34	1629.859
35	1676.9845
36	1676.6945
37	1698.227
38	1576.331
39	1521.4645
40	1552.8205
41	1517.909
42	1569.334
43	-1
44	-1
45	-1
