DFB	Temp LEAN 500	DFB	TEMP BURNER LEAN 500
mm		mm	
40.89474	1464.5382	0	426.8
39.3053	1437.683445		
37.71586	1470.19878		
36.12642	1498.42495		
34.53698	1503.35567		
32.94754	1536.48853		
31.3581	1535.493225		
29.76866	1547.81861		
28.17922	1608.57073		
25.66306	1645.61013		
24.07362	1642.722925		
22.48418	1621.82199		
20.89474	1597.175635		
19.3053	1532.50279		
17.71586	1534.3096		
16.12642	1481.437555		
14.53698	1454.20289		
12.94754	1405.44379		
11.3581	1371.44678		
9.76866	1305.2904		
8.17922	1274.0989		
6.58978	1190.029635		
5.00034	1130.566025		
3.4109	1010.04789		
1.82146	905.23018		
