DFB	TEMP RICH 500	DFB	TEMP BURNER RICH 500	
mm	K	mm		
34.26174	1086.833185	0	385.6	
32.6723	1157.06904			
31.08286	1124.31621			
29.49342	1168.7786			
27.90398	1175.40861			
26.31454	1199.963855			
24.7251	1254.910875			
23.13566	1275.853785			
21.54622	1254.18148			
21.08286	1158.874405			
19.49342	1158.915645			
17.90398	1124.538745			
16.31454	1140.176			
14.7251	1112.01894			
13.13566	1039.43617			
11.54622	1003.26484			
9.95678	854.668955			
8.36734	865.96824			
6.7779	824.808075			
