lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
3	-1	1374.171	1370.14	-1	-1	-1	-1	1411.556	1018.829	925.274	930.832	942.271	947.754	940.339	943.057	961.896	992.022	1073.518	1206.941	1399.322	1590.399	1677.831	1724.956	1727.814	1709.369	1680.933	1717.63	1676.793	1766.044	1750.996	1878.032	1924.605	2142.741	2152.809	2170.928	2145.567	2146.819	2174.685	2159.057	2159.057	2174.685	2146.819	2145.567	2170.928	2152.809	2142.741	1924.605	1878.032	1750.996	1766.044	1676.793	1717.63	1680.933	1709.369	1727.814	1724.956	1677.831	1590.399	1399.322	1206.941	1073.518	992.022	961.896	943.057	940.339	947.754	942.271	930.832	925.274	1018.829	1411.556	-1	-1	-1	-1
4	-1	1151.228	1343.739	-1	-1	-1	-1	-1	1185.075	992.91	847.241	912.552	966.035	1020.477	1094.423	1215.539	1378.013	1546.606	1713.106	1779.478	1852.344	1858.693	1894.526	1894.045	1910.302	1928.582	1948.299	1911.902	1915.356	1924.414	1975.242	1939.963	1988.188	1977.422	1983.291	1992.229	1990.842	1979.02	1970.289	1970.289	1979.02	1990.842	1992.229	1983.291	1977.422	1988.188	1939.963	1975.242	1924.414	1915.356	1911.902	1948.299	1928.582	1910.302	1894.045	1894.526	1858.693	1852.344	1779.478	1713.106	1546.606	1378.013	1215.539	1094.423	1020.477	966.035	912.552	847.241	992.91	1185.075	-1	-1	-1	-1	-1
5	-1	-1	1676.505	-1	-1	-1	-1	-1	1373.257	1201.225	1105.944	1220.623	1270.83	1379.74	1470.856	1563.454	1628.29	1685.894	1750.041	1789.164	1825.985	1857.045	1896.014	1915.563	1940.789	1951.864	1975.505	1977.703	1979.749	1979.83	1998.596	1956.806	1998.241	1991.99	1993.937	1994.774	1993.976	1991.547	1988.029	1988.029	1991.547	1993.976	1994.774	1993.937	1991.99	1998.241	1956.806	1998.596	1979.83	1979.749	1977.703	1975.505	1951.864	1940.789	1915.563	1896.014	1857.045	1825.985	1789.164	1750.041	1685.894	1628.29	1563.454	1470.856	1379.74	1270.83	1220.623	1105.944	1201.225	1373.257	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1	-1	1358.65	1269.169	1152.819	1171.176	1277.459	1436.972	1511.622	1594.512	1655.922	1712.079	1758.312	1805.98	1845.71	1884.762	1913.076	1952.28	1977.712	2005.101	2013.722	2036.587	2040.814	2050.753	2061.595	2094.756	2100.048	2097.108	2113.299	2116.515	2113.999	2116.111	2122.953	2123.915	2123.915	2122.953	2116.111	2113.999	2116.515	2113.299	2097.108	2100.048	2094.756	2061.595	2050.753	2040.814	2036.587	2013.722	2005.101	1977.712	1952.28	1913.076	1884.762	1845.71	1805.98	1758.312	1712.079	1655.922	1594.512	1511.622	1436.972	1277.459	1171.176	1152.819	1269.169	1358.65	-1	-1	-1	-1
7	-1	1594.526	1623.251	-1	-1	-1	-1	1328.585	1263.973	1220.79	1317.308	1429.241	1509.357	1583.13	1646.103	1707.126	1758.459	1799.564	1852.597	1885.425	1926.561	1961.047	2016.429	2046.62	2086.333	2118.133	2152.175	2151.688	2176.234	2195.734	2186.89	2197.107	2200.369	2228.945	2235.837	2232.74	2236.663	2248.057	2248.939	2248.939	2248.057	2236.663	2232.74	2235.837	2228.945	2200.369	2197.107	2186.89	2195.734	2176.234	2151.688	2152.175	2118.133	2086.333	2046.62	2016.429	1961.047	1926.561	1885.425	1852.597	1799.564	1758.459	1707.126	1646.103	1583.13	1509.357	1429.241	1317.308	1220.79	1263.973	1328.585	-1	-1	-1	-1
8	-1	1408.737	1442.549	1482.018	-1	-1	1332.45	1081.694	1224.154	1275.964	1410.704	1469.071	1559.838	1627.302	1689.383	1744.797	1794.244	1840.957	1893.616	1940.653	2003.399	2041.454	2111.711	2160.079	2222.779	2298.558	2355.642	2348.812	2360.709	2293.453	2342.03	2484.587	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2484.587	2342.03	2293.453	2360.709	2348.812	2355.642	2298.558	2222.779	2160.079	2111.711	2041.454	2003.399	1940.653	1893.616	1840.957	1794.244	1744.797	1689.383	1627.302	1559.838	1469.071	1410.704	1275.964	1224.154	1081.694	1332.45	-1	-1	1482.018
9	-1	-1	-1	-1	-1	-1	1252.16	1167.586	1272.926	1375.705	1439.944	1522.694	1593.56	1656.063	1721.306	1771.182	1827.832	1874.417	1940.157	1994.498	2071.364	2165.71	2282.052	2404.316	-1	-1	-1	-1	-1	2294.204	2421.494	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2421.494	2294.204	-1	-1	-1	-1	-1	2404.316	2282.052	2165.71	2071.364	1994.498	1940.157	1874.417	1827.832	1771.182	1721.306	1656.063	1593.56	1522.694	1439.944	1375.705	1272.926	1167.586	1252.16	-1	-1	-1
10	-1	-1	-1	-1	1472.532	1181.699	1155.366	1204.567	1339.536	1406.468	1487.399	1563.214	1630.942	1682.7	1741.067	1791.737	1836.102	1895.745	1961.503	2043.51	2152.184	2378.205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2378.205	2152.184	2043.51	1961.503	1895.745	1836.102	1791.737	1741.067	1682.7	1630.942	1563.214	1487.399	1406.468	1339.536	1204.567	1155.366	1181.699	1472.532	-1
11	-1	-1	-1	1631.616	1136.794	1033.703	1149.23	1249.992	1358.701	1434.865	1511.595	1575.104	1637.587	1694.497	1748.735	1796.432	1847.195	1917.033	1990.519	2119.366	2376.388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2376.388	2119.366	1990.519	1917.033	1847.195	1796.432	1748.735	1694.497	1637.587	1575.104	1511.595	1434.865	1358.701	1249.992	1149.23	1033.703	1136.794	1631.616
12	-1	-1	-1	-1	1248.936	1063.822	1148.432	1277.663	1373.145	1438.941	1507.623	1571.369	1637.441	1689.13	1749.771	1804.149	1845.862	1931.087	2031.015	2218.958	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2218.958	2031.015	1931.087	1845.862	1804.149	1749.771	1689.13	1637.441	1571.369	1507.623	1438.941	1373.145	1277.663	1148.432	1063.822	1248.936	-1
