lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
3	1387.648	1322.88	1435.129	1422.269	1310.847	1315.774	1326.232	1594.196	1663.513	1300.73	1718.15	1656.652	1289.468	980.323	960.069	958.745	953.811	950.639	949.125	1016.991	975.778	1117.411	1244.81	1332.6	1532.574	1525.13	1572.535	1604.506	1469.935	1287.143	1422.423	1565.651	1452.277	1835.534	2024.861	2135.892	2182.207	2160.247	2064.176	2064.176	2160.247	2182.207	2135.892	2024.861	1835.534	1452.277	1565.651	1422.423	1287.143	1469.935	1604.506	1572.535	1525.13	1532.574	1332.6	1244.81	1117.411	975.778	1016.991	949.125	950.639	953.811	958.745	960.069	980.323	1289.468	1656.652	1718.15	1300.73	1663.513	1594.196	1326.232	1315.774	1310.847	1422.269
4	978.759	1384.318	1333.973	1341.009	1260.044	1138.018	1019.54	855.686	657.554	912.343	1244.633	1200.066	1174.106	1018.793	949.316	993.701	1035.316	1028.199	997.738	1058.763	1040.434	1111.37	1232.678	1243.337	1481.683	1569.243	1836.33	1720.042	1928.204	1552.269	1719.247	1674.264	1564.944	1582.782	1611.707	1675.092	1676.248	1616.835	1592.766	1592.766	1616.835	1676.248	1675.092	1611.707	1582.782	1564.944	1674.264	1719.247	1552.269	1928.204	1720.042	1836.33	1569.243	1481.683	1243.337	1232.678	1111.37	1040.434	1058.763	997.738	1028.199	1035.316	993.701	949.316	1018.793	1174.106	1200.066	1244.633	912.343	657.554	855.686	1019.54	1138.018	1260.044	1341.009
5	1393.029	937.712	952.38	940.719	947.766	977.717	1032.602	1086.788	953.244	1101.902	1071.874	1093.765	1094.037	1006.2	997.556	1041.83	1048.888	1073.059	1131.677	1114.436	1162.737	1250.651	1320.388	1351.623	1739.086	1520.657	1634.282	1630.291	1690.19	1681.025	1760.864	1737.602	1847.363	1862.589	1881.352	1894.527	1895.586	1885.217	1870.619	1870.619	1885.217	1895.586	1894.527	1881.352	1862.589	1847.363	1737.602	1760.864	1681.025	1690.19	1630.291	1634.282	1520.657	1739.086	1351.623	1320.388	1250.651	1162.737	1114.436	1131.677	1073.059	1048.888	1041.83	997.556	1006.2	1094.037	1093.765	1071.874	1101.902	953.244	1086.788	1032.602	977.717	947.766	940.719
6	1061.613	1045.452	1059.467	1099.446	1121.261	1135.223	1133.943	1024.547	1004.917	1050.216	1112.44	1102.619	1190.077	1076.948	1147.02	1149.209	1139.103	1162.652	1187.457	1143.198	1239.97	1221.729	1442.396	1494.609	1650.189	1653.955	1750.913	1744.993	1795.422	1818.665	1862.464	1848.878	1904.641	1914.078	1925.882	1935.651	1936.497	1928.703	1919.394	1919.394	1928.703	1936.497	1935.651	1925.882	1914.078	1904.641	1848.878	1862.464	1818.665	1795.422	1744.993	1750.913	1653.955	1650.189	1494.609	1442.396	1221.729	1239.97	1143.198	1187.457	1162.652	1139.103	1149.209	1147.02	1076.948	1190.077	1102.619	1112.44	1050.216	1004.917	1024.547	1133.943	1135.223	1121.261	1099.446
7	1003.703	1029.833	1030.449	1033.999	1027.396	1026.53	1033.204	1071.967	1051.649	1067.812	1149.299	1189.676	1145.17	1142.839	1135.489	1197.36	1184.487	1257.15	1297.445	1317.675	1400.479	1428.109	1545.618	1603.477	1684.7	1738.674	1807.127	1845.133	1882.893	1904.546	1935.053	1932.112	1964.965	1962.705	1967.009	1970.679	1970.392	1966.171	1961.358	1961.358	1966.171	1970.392	1970.679	1967.009	1962.705	1964.965	1932.112	1935.053	1904.546	1882.893	1845.133	1807.127	1738.674	1684.7	1603.477	1545.618	1428.109	1400.479	1317.675	1297.445	1257.15	1184.487	1197.36	1135.489	1142.839	1145.17	1189.676	1149.299	1067.812	1051.649	1071.967	1033.204	1026.53	1027.396	1033.999
8	1047.952	1009.482	1010.219	1020.431	1032.615	1049.598	1068.782	1047.482	1062.825	1121.388	1127.333	1128.683	1164.907	1167.723	1167.779	1214.155	1251.278	1297.848	1348.554	1394.026	1479.942	1578.148	1665.832	1729.937	1797.422	1838.963	1883.379	1907.48	1933.44	1952.961	1971.452	1981.042	1999.976	2009.649	2019.159	2028.299	2029.599	2022.97	2015.846	2015.846	2022.97	2029.599	2028.299	2019.159	2009.649	1999.976	1981.042	1971.452	1952.961	1933.44	1907.48	1883.379	1838.963	1797.422	1729.937	1665.832	1578.148	1479.942	1394.026	1348.554	1297.848	1251.278	1214.155	1167.779	1167.723	1164.907	1128.683	1127.333	1121.388	1062.825	1047.482	1068.782	1049.598	1032.615	1020.431
9	1006.055	1045.85	1044.594	1062.191	1070.92	1083.614	1093.985	1095.63	1089.976	1109.895	1139.356	1167.032	1218.314	1196.019	1226.108	1263.831	1319.558	1370.848	1433.447	1503.353	1589.579	1670.583	1742.892	1800.394	1848.522	1888.099	1924.081	1954.234	1987.703	2008.841	2031.898	2052.331	2073.918	2086.596	2098.072	2107.037	2109.121	2103.862	2095.371	2095.371	2103.862	2109.121	2107.037	2098.072	2086.596	2073.918	2052.331	2031.898	2008.841	1987.703	1954.234	1924.081	1888.099	1848.522	1800.394	1742.892	1670.583	1589.579	1503.353	1433.447	1370.848	1319.558	1263.831	1226.108	1196.019	1218.314	1167.032	1139.356	1109.895	1089.976	1095.63	1093.985	1083.614	1070.92	1062.191
10	1014.453	1042.789	1045.689	1060.971	1077.593	1098.026	1118.625	1148.983	1146.526	1128.718	1179.95	1216.08	1242.406	1249.404	1288.568	1322.939	1388.556	1457.35	1535.547	1611.368	1686.285	1749.563	1813.986	1861.105	1904.759	1941.206	1978.216	2009.012	2038.804	2069.425	2094.736	2122.073	2173.219	2188.581	2215.524	2244.182	2248.317	2225.068	2200.443	2200.443	2225.068	2248.317	2244.182	2215.524	2188.581	2173.219	2122.073	2094.736	2069.425	2038.804	2009.012	1978.216	1941.206	1904.759	1861.105	1813.986	1749.563	1686.285	1611.368	1535.547	1457.35	1388.556	1322.939	1288.568	1249.404	1242.406	1216.08	1179.95	1128.718	1146.526	1148.983	1118.625	1098.026	1077.593	1060.971
11	1038.063	1022.033	1033.235	1048.233	1067.895	1091.895	1119.591	1145.686	1154.867	1158.512	1210.935	1239.489	1250.037	1283.866	1331.801	1389.448	1466	1537.648	1615.427	1690.131	1759.211	1813.254	1871.404	1911.922	1951.107	1992.311	2035.217	2071.648	2117.23	2163.316	2220.395	2318.539	2442.741	2585.391	2773.386	2708.916	2768.526	2954.239	2741.853	2741.853	2954.239	2768.526	2708.916	2773.386	2585.391	2442.741	2318.539	2220.395	2163.316	2117.23	2071.648	2035.217	1992.311	1951.107	1911.922	1871.404	1813.254	1759.211	1690.131	1615.427	1537.648	1466	1389.448	1331.801	1283.866	1250.037	1239.489	1210.935	1158.512	1154.867	1145.686	1119.591	1091.895	1067.895	1048.233
12	1025.377	1079.388	1076.189	1090.614	1103.796	1122.848	1146.415	1160.262	1188.063	1222.331	1251.677	1254.309	1293.449	1335.031	1388.796	1461.148	1534.601	1609.982	1682.66	1746.176	1807.214	1856.071	1906.3	1947.821	1997.26	2043.58	2099.055	2167.398	2256.686	2422.617	2720.254	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2720.254	2422.617	2256.686	2167.398	2099.055	2043.58	1997.26	1947.821	1906.3	1856.071	1807.214	1746.176	1682.66	1609.982	1534.601	1461.148	1388.796	1335.031	1293.449	1254.309	1251.677	1222.331	1188.063	1160.262	1146.415	1122.848	1103.796	1090.614
13	1033.977	1064.917	1071.732	1094.761	1116.164	1144.231	1173.946	1185.569	1203.713	1220.847	1257.243	1299.933	1335.303	1387.731	1445.403	1519.471	1593	1663.654	1729.382	1785.367	1842.568	1893.663	1946.734	1994.711	2058.92	2123.97	2229.653	2376.751	2734.106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2734.106	2376.751	2229.653	2123.97	2058.92	1994.711	1946.734	1893.663	1842.568	1785.367	1729.382	1663.654	1593	1519.471	1445.403	1387.731	1335.303	1299.933	1257.243	1220.847	1203.713	1185.569	1173.946	1144.231	1116.164	1094.761
14	1032.402	1102.925	1099.505	1116.188	1132.148	1157.962	1188.606	1203.343	1228.599	1249.265	1289.457	1328.436	1373.941	1424.965	1485.903	1564.087	1637.801	1700.477	1765.096	1816.953	1869.297	1920.646	1983.222	2045.333	2118.875	2260.591	2515.405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2515.405	2260.591	2118.875	2045.333	1983.222	1920.646	1869.297	1816.953	1765.096	1700.477	1637.801	1564.087	1485.903	1424.965	1373.941	1328.436	1289.457	1249.265	1228.599	1203.343	1188.606	1157.962	1132.148	1116.188
15	1048.383	1112.181	1106.066	1119.338	1131.902	1151.818	1183.128	1214.645	1236.308	1279.254	1325.23	1369.351	1418.186	1469.645	1538.685	1601.512	1666.72	1727.401	1783.905	1833.621	1885.137	1943.59	2008.679	2098.489	2245.384	2573.059	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2573.059	2245.384	2098.489	2008.679	1943.59	1885.137	1833.621	1783.905	1727.401	1666.72	1601.512	1538.685	1469.645	1418.186	1369.351	1325.23	1279.254	1236.308	1214.645	1183.128	1151.818	1131.902	1119.338
16	1089.68	1133.617	1125.47	1136.351	1148.162	1167.886	1195.966	1230.377	1255.862	1293.123	1355.667	1401.121	1456.853	1506.486	1568.569	1629.86	1686.856	1741.379	1792.169	1848.203	1898.345	1958.412	2049.666	2176.984	2492.681	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2492.681	2176.984	2049.666	1958.412	1898.345	1848.203	1792.169	1741.379	1686.856	1629.86	1568.569	1506.486	1456.853	1401.121	1355.667	1293.123	1255.862	1230.377	1195.966	1167.886	1148.162	1136.351
17	1101.256	1138.995	1132.367	1144.506	1157.313	1177.875	1206.184	1245.741	1281.709	1317.835	1366.458	1424.488	1475.798	1532.127	1592.231	1647.646	1703.667	1751.152	1796.954	1844.551	1891.554	1965.478	2084.204	2379.739	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2379.739	2084.204	1965.478	1891.554	1844.551	1796.954	1751.152	1703.667	1647.646	1592.231	1532.127	1475.798	1424.488	1366.458	1317.835	1281.709	1245.741	1206.184	1177.875	1157.313	1144.506
18	1110.478	1125.939	1131.592	1149.23	1170.74	1198.714	1231.36	1262.859	1296.119	1335.087	1385.376	1441.109	1497.118	1548.6	1601.842	1657.303	1708.734	1749.782	1792.684	1849.144	1906.417	1998.203	2208.11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2208.11	1998.203	1906.417	1849.144	1792.684	1749.782	1708.734	1657.303	1601.842	1548.6	1497.118	1441.109	1385.376	1335.087	1296.119	1262.859	1231.36	1198.714	1170.74	1149.23
19	1116.186	1145.877	1154.012	1174.587	1195.957	1221.072	1249.009	1272.224	1309.3	1349.217	1397.17	1453.187	1501.747	1556.425	1606.667	1656.909	1707.076	1745.957	1793.458	1838.522	1897.779	2041.89	2536.12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2536.12	2041.89	1897.779	1838.522	1793.458	1745.957	1707.076	1656.909	1606.667	1556.425	1501.747	1453.187	1397.17	1349.217	1309.3	1272.224	1249.009	1221.072	1195.957	1174.587
20	1115.043	1139.969	1149.821	1171.686	1196.203	1225.793	1257.18	1286.603	1320.859	1369.53	1416.448	1467.581	1516.926	1565.207	1605.749	1651.939	1694.108	1736.371	1775.595	1809.685	1880.635	2154.634	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2154.634	1880.635	1809.685	1775.595	1736.371	1694.108	1651.939	1605.749	1565.207	1516.926	1467.581	1416.448	1369.53	1320.859	1286.603	1257.18	1225.793	1196.203	1171.686
21	1115.536	1140.729	1155.428	1181.109	1206.436	1233.944	1263.252	1291.36	1334.084	1368.429	1421.9	1472.43	1518.069	1565.22	1603.348	1650.705	1685.967	1734.233	1769.286	1819.021	1897.477	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1897.477	1819.021	1769.286	1734.233	1685.967	1650.705	1603.348	1565.22	1518.069	1472.43	1421.9	1368.429	1334.084	1291.36	1263.252	1233.944	1206.436	1181.109
22	1118.577	1167.724	1174.697	1194.778	1212.318	1233.692	1259.437	1297.683	1336.465	1385.676	1426.949	1478.106	1517.217	1556.054	1594.404	1625.577	1664.731	1704.972	1718.056	1796.843	1941.147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1941.147	1796.843	1718.056	1704.972	1664.731	1625.577	1594.404	1556.054	1517.217	1478.106	1426.949	1385.676	1336.465	1297.683	1259.437	1233.692	1212.318	1194.778
23	1176.168	1145.857	1168.879	1191.22	1214.91	1240.915	1269.075	1296.846	1329.398	1380.407	1425.474	1473.056	1511.672	1548.407	1582.704	1622.397	1644.325	1693.269	1692.201	1689.507	1604.178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1604.178	1689.507	1692.201	1693.269	1644.325	1622.397	1582.704	1548.407	1511.672	1473.056	1425.474	1380.407	1329.398	1296.846	1269.075	1240.915	1214.91	1191.22
24	1181.691	1176.942	1193.71	1217.748	1239.153	1261.793	1286.256	1311.909	1334.18	1373.825	1411.372	1460.773	1484.212	1508.705	1544.707	1590.574	1620.677	1642.005	1638.839	1636.781	1636.253	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1636.253	1636.781	1638.839	1642.005	1620.677	1590.574	1544.707	1508.705	1484.212	1460.773	1411.372	1373.825	1334.18	1311.909	1286.256	1261.793	1239.153	1217.748
25	1223.247	1153.7	1182.998	1208.98	1234.71	1260.866	1287.162	1314.426	1348.407	1383.404	1425.103	1458.52	1477.887	1496.804	1520.341	1540.097	1552.295	1531.564	1495.458	1440.808	1505.844	1952.057	1625.902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1625.902	1952.057	1505.844	1440.808	1495.458	1531.564	1552.295	1540.097	1520.341	1496.804	1477.887	1458.52	1425.103	1383.404	1348.407	1314.426	1287.162	1260.866	1234.71	1208.98
26	1219.57	1156.47	1196.247	1225.895	1250.606	1271.763	1298.062	1316.498	1337.689	1376.802	1407.867	1438.158	1443.932	1449.352	1466.28	1470.474	1450.163	1431.063	1297.101	1295.79	1207.904	1624.394	1936.622	2084.033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2084.033	1936.622	1624.394	1207.904	1295.79	1297.101	1431.063	1450.163	1470.474	1466.28	1449.352	1443.932	1438.158	1407.867	1376.802	1337.689	1316.498	1298.062	1271.763	1250.606	1225.895
27	1339.192	1070.902	1141.912	1187.18	1232.967	1271.086	1305.258	1340.446	1352.957	1378.698	1403.912	1422.54	1427.606	1413.609	1409.034	1383.761	1339.439	1364.473	1405.85	1345.756	1321.548	1361.769	1462.181	1788.619	1851.125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1851.125	1788.619	1462.181	1361.769	1321.548	1345.756	1405.85	1364.473	1339.439	1383.761	1409.034	1413.609	1427.606	1422.54	1403.912	1378.698	1352.957	1340.446	1305.258	1271.086	1232.967	1187.18
28	1336.212	1188.768	1219.412	1236.865	1255.524	1274.853	1302.74	1307.367	1320.37	1337.517	1388.605	1402.783	1382.441	1376.59	1338.043	1394.97	1368.107	1363.652	1332.254	1286.303	1324.702	1453.363	1560.341	1609.672	1819.049	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1819.049	1609.672	1560.341	1453.363	1324.702	1286.303	1332.254	1363.652	1368.107	1394.97	1338.043	1376.59	1382.441	1402.783	1388.605	1337.517	1320.37	1307.367	1302.74	1274.853	1255.524	1236.865
29	1371.798	1202.813	1226.42	1242.691	1258.019	1274.031	1286.53	1302.414	1285.02	1303.323	1337.471	1361.222	1330.019	1307.395	1297.098	1277.843	1313.33	1264.176	1323.865	1310.316	1318.063	1431.726	1500.078	1743.978	1829.445	2120.865	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2120.865	1829.445	1743.978	1500.078	1431.726	1318.063	1310.316	1323.865	1264.176	1313.33	1277.843	1297.098	1307.395	1330.019	1361.222	1337.471	1303.323	1285.02	1302.414	1286.53	1274.031	1258.019	1242.691
30	1190.8	1289.066	1301.474	1309.637	1300.258	1290.848	1284.131	1291.758	1302.822	1308.748	1349.387	1374.736	1373.576	1302.236	1315.142	1322.611	1253.582	1287.553	1232.189	1314.329	1387.575	1383.134	1468.362	1657.078	1723.922	2059.7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2059.7	1723.922	1657.078	1468.362	1383.134	1387.575	1314.329	1232.189	1287.553	1253.582	1322.611	1315.142	1302.236	1373.576	1374.736	1349.387	1308.748	1302.822	1291.758	1284.131	1290.848	1300.258	1309.637
