lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
5	-0.14365	0.08624	0.09055	0.10777	0.10541	0.09605	0.08044	0.1133	6.527E-4	-0.0677	-0.06856	-0.10548	0.00149	0.31076	0.50214	0.54782	0.61879	0.68925	1.0637	1.02787	1.29256	1.10631	1.29728	1.09142	1.99333	2.17704	2.38033	2.34697	2.65095	2.57576	2.85616	2.78324	2.65538	2.47904	2.36387	2.25962	2.23757	2.29775	2.36884	2.36884	2.29775	2.23757	2.25962	2.36387	2.47904	2.65538	2.78324	2.85616	2.57576	2.65095	2.34697	2.38033	2.17704	1.99333	1.09142	1.29728	1.10631	1.29256	1.02787	1.0637	0.68925	0.61879	0.54782	0.50214	0.31076	0.00149	-0.10548	-0.06856	-0.0677	6.527E-4	0.1133	0.08044	0.09605	0.10541	0.10777	0.09055	0.08624
6	0.17896	0.32729	0.34337	0.28594	0.21819	0.13631	0.05128	-0.15232	-0.20279	-0.14996	0.07183	0.0336	0.24963	0.17083	0.77295	0.90847	1.37564	1.23052	1.70535	1.79663	2.06504	2.36768	2.36824	2.86944	3.08653	3.44275	3.92634	4.10153	4.15895	4.14479	4.41891	4.76852	4.5902	4.56184	4.4694	4.31547	4.31193	4.45877	4.5441	4.5441	4.45877	4.31193	4.31547	4.4694	4.56184	4.5902	4.76852	4.41891	4.14479	4.15895	4.10153	3.92634	3.44275	3.08653	2.86944	2.36824	2.36768	2.06504	1.79663	1.70535	1.23052	1.37564	0.90847	0.77295	0.17083	0.24963	0.0336	0.07183	-0.14996	-0.20279	-0.15232	0.05128	0.13631	0.21819	0.28594	0.34337	0.32729
7	-0.25597	0.35217	0.23887	0.15388	0.02813	-0.08046	-0.15187	0.00774	0.00527	0.10319	0.29477	0.40507	0.66087	0.89962	1.21878	1.49159	1.49175	1.77449	2.07263	2.64601	3.10596	3.48922	3.99667	4.37163	5.25745	5.65996	6.12911	6.31157	6.06412	6.49524	5.97297	6.23211	6.19611	5.95459	5.79886	5.62564	5.59545	5.70829	5.80364	5.80364	5.70829	5.59545	5.62564	5.79886	5.95459	6.19611	6.23211	5.97297	6.49524	6.06412	6.31157	6.12911	5.65996	5.25745	4.37163	3.99667	3.48922	3.10596	2.64601	2.07263	1.77449	1.49175	1.49159	1.21878	0.89962	0.66087	0.40507	0.29477	0.10319	0.00527	0.00774	-0.15187	-0.08046	0.02813	0.15388	0.23887	0.35217
8	0.28267	0.48558	0.37776	0.2432	0.08827	-0.0495	-0.148	-0.14542	-0.02426	0.00613	0.29944	0.26459	0.82962	0.91628	1.21206	1.82381	2.14821	2.89562	3.63786	4.66789	5.29807	5.95511	6.39341	7.0216	7.64097	7.50453	7.52945	7.97443	7.45304	7.38126	7.38976	7.43371	6.97703	6.93582	6.84885	6.79284	6.78769	6.8334	6.91007	6.91007	6.8334	6.78769	6.79284	6.84885	6.93582	6.97703	7.43371	7.38976	7.38126	7.45304	7.97443	7.52945	7.50453	7.64097	7.0216	6.39341	5.95511	5.29807	4.66789	3.63786	2.89562	2.14821	1.82381	1.21206	0.91628	0.82962	0.26459	0.29944	0.00613	-0.02426	-0.14542	-0.148	-0.0495	0.08827	0.2432	0.37776	0.48558
9	0.50643	0.36215	0.25732	0.11073	-0.02061	-0.11769	-0.15879	-0.04515	0.17251	0.27244	0.55695	0.78423	1.30761	1.52234	2.11919	2.66185	3.14084	3.79057	4.81202	5.68718	6.36125	6.86596	7.54247	8.03012	8.5088	8.61269	8.76426	8.91241	8.4031	9.24602	8.90515	8.62325	8.09071	7.81703	7.48938	7.11667	7.08246	7.38675	7.64598	7.64598	7.38675	7.08246	7.11667	7.48938	7.81703	8.09071	8.62325	8.90515	9.24602	8.4031	8.91241	8.76426	8.61269	8.5088	8.03012	7.54247	6.86596	6.36125	5.68718	4.81202	3.79057	3.14084	2.66185	2.11919	1.52234	1.30761	0.78423	0.55695	0.27244	0.17251	-0.04515	-0.15879	-0.11769	-0.02061	0.11073	0.25732	0.36215
10	0.45987	0.4549	0.33803	0.18375	0.03312	-0.08394	-0.14263	-0.02507	0.12757	0.28249	0.61694	0.98484	1.2812	2.03763	2.43236	3.11729	3.78106	4.49251	4.83748	5.9706	6.43797	7.55015	7.97881	8.50646	9.33237	9.46354	9.74788	9.87875	9.35205	9.35223	8.02712	8.468	8.17512	8.13816	7.9891	7.76659	7.76197	7.97524	8.11506	8.11506	7.97524	7.76197	7.76659	7.9891	8.13816	8.17512	8.468	8.02712	9.35223	9.35205	9.87875	9.74788	9.46354	9.33237	8.50646	7.97881	7.55015	6.43797	5.9706	4.83748	4.49251	3.78106	3.11729	2.43236	2.03763	1.2812	0.98484	0.61694	0.28249	0.12757	-0.02507	-0.14263	-0.08394	0.03312	0.18375	0.33803	0.4549
11	0.17962	0.28676	0.26378	0.23032	0.19226	0.16697	0.16526	0.16045	0.23081	0.3306	0.64646	1.10097	1.51622	1.91104	2.25688	3.13825	3.78929	4.71911	5.43776	6.16744	6.96661	7.5441	8.17365	8.58186	8.82332	9.28154	9.17826	9.34814	9.36812	9.55981	9.11409	8.49542	8.62366	8.17725	7.91631	7.6577	7.60189	7.74891	7.89824	7.89824	7.74891	7.60189	7.6577	7.91631	8.17725	8.62366	8.49542	9.11409	9.55981	9.36812	9.34814	9.17826	9.28154	8.82332	8.58186	8.17365	7.5441	6.96661	6.16744	5.43776	4.71911	3.78929	3.13825	2.25688	1.91104	1.51622	1.10097	0.64646	0.3306	0.23081	0.16045	0.16526	0.16697	0.19226	0.23032	0.26378	0.28676
12	-0.16197	0.30017	0.24904	0.22499	0.17884	0.15283	0.16191	0.17784	0.33766	0.57952	0.95617	1.44343	1.84876	2.10039	2.80841	3.37484	3.90634	4.50442	5.0498	5.54464	6.41498	6.91979	7.54337	8.19956	8.45848	8.78613	9.38099	9.01784	8.87225	8.42752	8.38253	8.42485	8.39621	8.0263	7.77224	7.47485	7.42861	7.63353	7.79511	7.79511	7.63353	7.42861	7.47485	7.77224	8.0263	8.39621	8.42485	8.38253	8.42752	8.87225	9.01784	9.38099	8.78613	8.45848	8.19956	7.54337	6.91979	6.41498	5.54464	5.0498	4.50442	3.90634	3.37484	2.80841	2.10039	1.84876	1.44343	0.95617	0.57952	0.33766	0.17784	0.16191	0.15283	0.17884	0.22499	0.24904	0.30017
13	0.0117	0.43397	0.37613	0.32407	0.24363	0.17704	0.14155	0.09829	0.16725	0.59124	0.86914	1.28225	1.39875	1.90688	2.4475	2.78914	3.65532	4.20893	4.52705	5.10888	6.02608	6.72095	7.17157	7.82572	8.19431	8.18427	8.56536	8.49347	9.07398	8.66365	8.10864	7.82711	8.09916	7.7817	7.55329	7.2455	7.20582	7.43423	7.58327	7.58327	7.43423	7.20582	7.2455	7.55329	7.7817	8.09916	7.82711	8.10864	8.66365	9.07398	8.49347	8.56536	8.18427	8.19431	7.82572	7.17157	6.72095	6.02608	5.10888	4.52705	4.20893	3.65532	2.78914	2.4475	1.90688	1.39875	1.28225	0.86914	0.59124	0.16725	0.09829	0.14155	0.17704	0.24363	0.32407	0.37613	0.43397
14	0.28731	0.04842	0.08858	0.11318	0.16705	0.23674	0.3233	0.28577	0.54449	0.6885	0.85639	1.3117	1.50031	1.95004	2.43825	2.81748	3.36722	4.13765	4.82864	4.87385	5.6607	6.06406	6.74288	6.8751	7.59105	7.25737	7.70772	7.40411	7.45049	7.61827	7.60893	7.21477	7.51223	7.52859	7.47841	7.33161	7.33366	7.48454	7.5388	7.5388	7.48454	7.33366	7.33161	7.47841	7.52859	7.51223	7.21477	7.60893	7.61827	7.45049	7.40411	7.70772	7.25737	7.59105	6.8751	6.74288	6.06406	5.6607	4.87385	4.82864	4.13765	3.36722	2.81748	2.43825	1.95004	1.50031	1.3117	0.85639	0.6885	0.54449	0.28577	0.3233	0.23674	0.16705	0.11318	0.08858	0.04842
15	-0.1527	0.38092	0.30699	0.26134	0.19048	0.14633	0.14862	0.41033	0.47688	0.5526	0.87054	1.15364	1.65137	2.02515	2.21646	2.62502	3.10135	3.73147	4.17735	4.83021	4.99798	5.30789	5.70473	6.44841	6.9518	7.03647	7.03943	7.24858	6.99657	7.59013	7.2312	7.36524	7.04204	7.14786	7.0523	6.86595	6.87919	7.092	7.214	7.214	7.092	6.87919	6.86595	7.0523	7.14786	7.04204	7.36524	7.2312	7.59013	6.99657	7.24858	7.03943	7.03647	6.9518	6.44841	5.70473	5.30789	4.99798	4.83021	4.17735	3.73147	3.10135	2.62502	2.21646	2.02515	1.65137	1.15364	0.87054	0.5526	0.47688	0.41033	0.14862	0.14633	0.19048	0.26134	0.30699	0.38092
16	0.2328	0.62461	0.53301	0.42637	0.29094	0.17669	0.10894	0.202	0.23871	0.5863	0.91195	1.13658	1.69776	2.02207	2.07728	2.69878	3.12247	3.36293	3.75407	4.11719	4.85583	5.28363	5.57928	6.0014	6.9371	7.05628	6.79724	7.31952	7.19205	6.65941	6.6583	5.96285	6.12677	5.59513	5.3629	5.19907	5.13261	5.16354	5.26287	5.26287	5.16354	5.13261	5.19907	5.3629	5.59513	6.12677	5.96285	6.6583	6.65941	7.19205	7.31952	6.79724	7.05628	6.9371	6.0014	5.57928	5.28363	4.85583	4.11719	3.75407	3.36293	3.12247	2.69878	2.07728	2.02207	1.69776	1.13658	0.91195	0.5863	0.23871	0.202	0.10894	0.17669	0.29094	0.42637	0.53301	0.62461
17	-0.05031	0.48991	0.50119	0.52153	0.49696	0.46487	0.43533	0.22171	0.51394	0.45495	0.67134	0.98871	1.12942	1.67862	2.33195	2.60106	3.276	3.12001	3.78758	3.96755	4.16549	4.23473	4.71702	5.19926	5.17036	5.98836	6.25573	6.17643	6.65016	5.93177	6.84527	6.20925	6.04273	5.92721	5.86819	5.87501	5.86056	5.82487	5.85501	5.85501	5.82487	5.86056	5.87501	5.86819	5.92721	6.04273	6.20925	6.84527	5.93177	6.65016	6.17643	6.25573	5.98836	5.17036	5.19926	4.71702	4.23473	4.16549	3.96755	3.78758	3.12001	3.276	2.60106	2.33195	1.67862	1.12942	0.98871	0.67134	0.45495	0.51394	0.22171	0.43533	0.46487	0.49696	0.52153	0.50119	0.48991
18	-0.42544	0.7393	0.6034	0.51377	0.33822	0.17537	0.05577	0.05844	0.22155	0.50472	0.77426	1.03051	1.53654	1.74178	2.20873	2.55372	2.67686	2.82012	3.00712	3.59572	3.90278	4.37829	4.71964	5.24717	5.71171	5.82482	6.14452	6.09692	5.86711	5.48358	5.70794	5.65921	5.39151	5.33968	5.24701	5.14575	5.13927	5.22756	5.30729	5.30729	5.22756	5.13927	5.14575	5.24701	5.33968	5.39151	5.65921	5.70794	5.48358	5.86711	6.09692	6.14452	5.82482	5.71171	5.24717	4.71964	4.37829	3.90278	3.59572	3.00712	2.82012	2.67686	2.55372	2.20873	1.74178	1.53654	1.03051	0.77426	0.50472	0.22155	0.05844	0.05577	0.17537	0.33822	0.51377	0.6034	0.7393
19	0.40404	0.52949	0.51034	0.46178	0.40455	0.36214	0.35116	0.33407	0.70397	0.78876	1.03389	1.18653	1.29536	1.7977	1.79305	2.09446	1.93627	2.18122	2.60017	3.03786	3.49433	3.88911	4.14697	4.24168	4.87775	5.2657	5.16847	5.32997	4.78795	5.27194	5.36395	5.37823	5.14496	5.0758	5.03625	5.04148	5.03284	5.01032	5.03258	5.03258	5.01032	5.03284	5.04148	5.03625	5.0758	5.14496	5.37823	5.36395	5.27194	4.78795	5.32997	5.16847	5.2657	4.87775	4.24168	4.14697	3.88911	3.49433	3.03786	2.60017	2.18122	1.93627	2.09446	1.79305	1.7977	1.29536	1.18653	1.03389	0.78876	0.70397	0.33407	0.35116	0.36214	0.40455	0.46178	0.51034	0.52949
20	0.64633	0.2018	0.23156	0.21242	0.2351	0.28064	0.35539	0.52475	0.61669	0.83852	0.84646	1.05523	1.17566	1.42772	1.65945	1.99105	2.09272	2.33733	3.03068	3.26737	3.56342	3.94378	3.99131	4.28481	4.05365	4.65276	4.71779	4.80266	4.63893	4.62528	4.82248	5.29259	5.20661	5.21212	5.04574	4.70031	4.70099	5.04782	5.21558	5.21558	5.04782	4.70099	4.70031	5.04574	5.21212	5.20661	5.29259	4.82248	4.62528	4.63893	4.80266	4.71779	4.65276	4.05365	4.28481	3.99131	3.94378	3.56342	3.26737	3.03068	2.33733	2.09272	1.99105	1.65945	1.42772	1.17566	1.05523	0.84646	0.83852	0.61669	0.52475	0.35539	0.28064	0.2351	0.21242	0.23156	0.2018
21	-0.35373	0.7298	0.63599	0.58654	0.46153	0.35027	0.28033	0.35691	0.4422	0.87115	1.16208	1.3263	1.41404	1.62198	1.63329	1.9107	1.95384	1.93412	1.97077	2.4975	2.72788	3.03884	3.11186	3.63733	3.87221	4.46921	4.66319	4.95349	4.32884	4.17489	4.51102	4.91746	4.42766	4.15933	4.02108	3.96695	3.9334	3.92046	3.99162	3.99162	3.92046	3.9334	3.96695	4.02108	4.15933	4.42766	4.91746	4.51102	4.17489	4.32884	4.95349	4.66319	4.46921	3.87221	3.63733	3.11186	3.03884	2.72788	2.4975	1.97077	1.93412	1.95384	1.9107	1.63329	1.62198	1.41404	1.3263	1.16208	0.87115	0.4422	0.35691	0.28033	0.35027	0.46153	0.58654	0.63599	0.7298
22	0.09356	0.69057	0.59646	0.50277	0.36721	0.25283	0.18696	0.27784	0.58465	0.66681	0.91297	1.11301	1.18674	1.43438	1.91094	1.56397	1.83019	2.16126	2.20909	2.71746	2.87636	3.00668	3.27942	3.50466	3.71357	3.51822	4.17876	4.03331	4.27298	4.2684	4.06519	4.10672	4.09786	4.01987	3.98485	3.96567	3.95592	3.9556	3.97113	3.97113	3.9556	3.95592	3.96567	3.98485	4.01987	4.09786	4.10672	4.06519	4.2684	4.27298	4.03331	4.17876	3.51822	3.71357	3.50466	3.27942	3.00668	2.87636	2.71746	2.20909	2.16126	1.83019	1.56397	1.91094	1.43438	1.18674	1.11301	0.91297	0.66681	0.58465	0.27784	0.18696	0.25283	0.36721	0.50277	0.59646	0.69057
