DFB	FEO *
mm	3 mm central line
	LEAN 700
-5	0
-4	0
-3	-0.4590125
-2	0.1915325
-1	-0.111975
0	0.87771
1	1.5633375
2	4.833165
3	9.34034
4	14.41585
5	20.054555
6	22.8347075
7	22.8926
8	22.2257825
9	21.61881
10	20.1291775
11	19.44852
12	18.0698625
13	16.847715
14	14.6396575
15	15.17412
16	14.3916
17	13.5078975
18	13.4424025
19	13.245105
20	13.489255
21	13.14155
22	13.896435
23	15.337545
24	16.2721925
25	16.51353
26	15.9214275
27	16.377595
28	15.8385
29	14.6373475
30	12.987815
31	11.981795
32	10.8498625
33	8.94898
34	7.58056
35	5.796655
36	4.657095
37	3.4910075
38	2.33128
39	1.836545
40	0.847475
41	0.4965825
42	0.6734675
43	0.296035
44	0.0324275
45	0.0158725
