lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	0	0.0161	0.03705	0.03209	0.02598	0.01823	0.01161	0.03097	0.02202	0.00954	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00646	0	0	0.00954	0.02202	0.03097	0.01161	0.01823	0.02598	0.03209	0.03705	0.0161
-4	0.01787	0	0	0	0	0.0112	0.03736	0.01287	0.00723	4.7505E-4	-0.00589	-0.01267	-0.01144	-0.00384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00384	-0.01144	-0.01267	-0.00589	4.7505E-4	0.00723	0.01287	0.03736	0.0112	0	0	0	0
-3	-0.06068	0	0	0	0.00649	0.03917	0.03119	0.06793	0.01696	0.02042	0.00764	-0.00377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00377	0.00764	0.02042	0.01696	0.06793	0.03119	0.03917	0.00649	0	0	0
-2	-0.01854	-0.03855	-0.03455	-0.02392	-0.015	-0.0076	0.04581	0.03782	0.05898	0.02565	0.04437	-0.00317	0.00407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00407	-0.00317	0.04437	0.02565	0.05898	0.03782	0.04581	-0.0076	-0.015	-0.02392	-0.03455	-0.03855
-1	0.02096	-0.07959	-0.07193	-0.05781	-0.00805	0.04127	0.06878	0.05116	0.07709	0.06163	0.04128	0.01168	0.02359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02359	0.01168	0.04128	0.06163	0.07709	0.05116	0.06878	0.04127	-0.00805	-0.05781	-0.07193	-0.07959
0	-0.47024	0.0332	0.04083	0.04794	0.05224	0.05458	0.0549	0.06337	0.04136	0.01176	0.03526	0	0.01447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01447	0	0.03526	0.01176	0.04136	0.06337	0.0549	0.05458	0.05224	0.04794	0.04083	0.0332
1	0.11077	-0.04918	-0.0623	-0.07289	-0.07505	-0.01276	0.02829	0.14869	0.10077	0.13239	0.10649	0.0573	0.02448	0	0	-0.00886	-0.05478	0	-0.04613	0	-0.04678	-0.1065	-0.30261	0	-0.48761	-0.11845	-0.43126	-0.06896	-0.13827	-0.12886	0.22301	0.24449	0.30407	0.36664	0.40198	0.41794	0.42576	0.42545	0.40575	0.40575	0.42545	0.42576	0.41794	0.40198	0.36664	0.30407	0.24449	0.22301	-0.12886	-0.13827	-0.06896	-0.43126	-0.11845	-0.48761	0	-0.30261	-0.1065	-0.04678	0	-0.04613	0	-0.05478	-0.00886	0	0	0.02448	0.0573	0.10649	0.13239	0.10077	0.14869	0.02829	-0.01276	-0.07505	-0.07289	-0.0623	-0.04918
2	0.05097	-0.11624	-0.10396	-0.0795	0.01084	0.08659	0.15332	0.25834	0.2091	0.20049	0.12904	0.03601	-0.0848	-0.10858	-0.31826	-0.26105	-0.3308	-0.12722	-0.47477	0	-0.26878	0.20764	-0.0035	0.07169	0.22878	5.641E-4	-0.15466	-0.10624	0.36592	0.10403	0.37119	0.65671	0.65468	0.60531	0.57467	0.52689	0.52072	0.55616	0.57446	0.57446	0.55616	0.52072	0.52689	0.57467	0.60531	0.65468	0.65671	0.37119	0.10403	0.36592	-0.10624	-0.15466	5.641E-4	0.22878	0.07169	-0.0035	0.20764	-0.26878	0	-0.47477	-0.12722	-0.3308	-0.26105	-0.31826	-0.10858	-0.0848	0.03601	0.12904	0.20049	0.2091	0.25834	0.15332	0.08659	0.01084	-0.0795	-0.10396	-0.11624
