lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
0	0.00662	0.05231	0.04003	0.02662	0.00867	-0.00862	-0.0201	-0.00819	0	-5.49857E-4	-0.04199	-0.03112	-0.01551	-0.03958	0.0183	0.00805	0.0356	0.03153	0.03384	0.0067	0.02042	0.04262	-0.06008	-0.10328	-0.0958	-0.07169	0.03219	0.00429	0.01621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01621	0.00429	0.03219	-0.07169	-0.0958	-0.10328	-0.06008	0.04262	0.02042	0.0067	0.03384	0.03153	0.0356	0.00805	0.0183	-0.03958	-0.01551	-0.03112	-0.04199	-5.49857E-4	0	-0.00819	-0.0201	-0.00862	0.00867	0.02662	0.04003	0.05231
1	0.47112	-0.22267	-0.20162	-0.15748	-0.09283	-0.02796	0.073	0.10165	0.06239	0.06677	0.02387	0.06046	-0.08102	0.09056	0.04827	-0.01331	0.08066	0.01285	0.03591	-0.03062	0.03979	-0.10027	-0.03121	0.0677	-0.1239	0.05159	-0.24047	-0.10036	0.1204	0.20564	0.1626	0.20376	0.12347	0.03129	-0.00169	0.00133	-0.0102	-0.03626	-0.02633	-0.02633	-0.03626	-0.0102	0.00133	-0.00169	0.03129	0.12347	0.20376	0.1626	0.20564	0.1204	-0.10036	-0.24047	0.05159	-0.1239	0.0677	-0.03121	-0.10027	0.03979	-0.03062	0.03591	0.01285	0.08066	-0.01331	0.04827	0.09056	-0.08102	0.06046	0.02387	0.06677	0.06239	0.10165	0.073	-0.02796	-0.09283	-0.15748	-0.20162	-0.22267
2	0.95327	-0.08241	-0.08636	-0.08769	-0.08061	-0.06919	-0.05434	-0.03403	0	0	0.10971	0.16323	0.0661	-0.00532	0.12696	-0.04321	0.1698	0.03211	0.20293	0.05429	0.25057	0.05076	0.50369	0.09911	-0.33226	-0.47694	-0.38766	-0.25187	0.10872	0.06229	0.4669	0.2389	0.92685	1.1077	1.25163	1.31103	1.33364	1.31945	1.22073	1.22073	1.31945	1.33364	1.31103	1.25163	1.1077	0.92685	0.2389	0.4669	0.06229	0.10872	-0.25187	-0.38766	-0.47694	-0.33226	0.09911	0.50369	0.05076	0.25057	0.05429	0.20293	0.03211	0.1698	-0.04321	0.12696	-0.00532	0.0661	0.16323	0.10971	0	0	-0.03403	-0.05434	-0.06919	-0.08061	-0.08769	-0.08636	-0.08241
3	0.24295	-0.10551	-0.15858	-0.15094	-0.11243	-0.05846	0.00193	0.07465	0.10535	0.11147	0.26717	0.1457	0.08696	0.22626	0.26161	0.12938	0.19502	0.00859	0.00201	-0.11265	-0.07023	0.04197	0.08597	0.03482	0.19194	0.07859	0.46759	0.56502	1.2841	1.23246	1.41791	1.42431	1.96974	1.92904	1.97548	1.98523	1.98015	1.96021	1.9036	1.9036	1.96021	1.98015	1.98523	1.97548	1.92904	1.96974	1.42431	1.41791	1.23246	1.2841	0.56502	0.46759	0.07859	0.19194	0.03482	0.08597	0.04197	-0.07023	-0.11265	0.00201	0.00859	0.19502	0.12938	0.26161	0.22626	0.08696	0.1457	0.26717	0.11147	0.10535	0.07465	0.00193	-0.05846	-0.11243	-0.15094	-0.15858	-0.10551
4	0.00728	-0.03671	-0.02647	-0.01438	0.00453	0.02653	0.05062	0.0459	0.10606	0	0.18287	0.22871	0.04579	0.03381	-0.06219	0.07558	0.18035	0.29054	0.49039	0.35091	0.47547	0.20147	0.8976	0.94272	0.64623	0.71042	0.88164	1.74614	2.2432	2.99414	3.17499	3.16504	3.64503	3.81248	3.95258	4.0518	4.07273	4.01537	3.91715	3.91715	4.01537	4.07273	4.0518	3.95258	3.81248	3.64503	3.16504	3.17499	2.99414	2.2432	1.74614	0.88164	0.71042	0.64623	0.94272	0.8976	0.20147	0.47547	0.35091	0.49039	0.29054	0.18035	0.07558	-0.06219	0.03381	0.04579	0.22871	0.18287	0	0.10606	0.0459	0.05062	0.02653	0.00453	-0.01438	-0.02647	-0.03671
5	0.31224	0.05647	0.04694	-0.0666	-0.13265	-0.18092	-0.19586	-0.07048	7.846E-4	0.22553	0.19948	0.09275	0.17621	0.18284	0.44652	0.18012	0.39934	0.37359	0.43774	0.76221	1.04149	1.07692	1.39397	1.99213	2.27847	3.1371	3.81424	4.23089	5.28032	5.97828	6.6034	7.24524	7.46267	7.5873	7.74945	7.93398	7.94956	7.79619	7.6652	7.6652	7.79619	7.94956	7.93398	7.74945	7.5873	7.46267	7.24524	6.6034	5.97828	5.28032	4.23089	3.81424	3.1371	2.27847	1.99213	1.39397	1.07692	1.04149	0.76221	0.43774	0.37359	0.39934	0.18012	0.44652	0.18284	0.17621	0.09275	0.19948	0.22553	7.846E-4	-0.07048	-0.19586	-0.18092	-0.13265	-0.0666	0.04694	0.05647
6	0.42721	-0.34624	-0.3356	-0.26359	-0.12624	0.02381	0.16388	0.14999	0.21691	0.36433	0.38499	0.12978	-0.10492	-0.11306	0.11758	0.33876	0.4616	0.65802	1.10545	1.49275	2.0895	3.27519	3.94167	4.39166	5.35433	6.61548	7.50124	8.51836	10.07596	10.7837	11.51911	11.70008	12.09929	12.37204	12.55543	12.70349	12.73758	12.65771	12.54251	12.54251	12.65771	12.73758	12.70349	12.55543	12.37204	12.09929	11.70008	11.51911	10.7837	10.07596	8.51836	7.50124	6.61548	5.35433	4.39166	3.94167	3.27519	2.0895	1.49275	1.10545	0.65802	0.4616	0.33876	0.11758	-0.11306	-0.10492	0.12978	0.38499	0.36433	0.21691	0.14999	0.16388	0.02381	-0.12624	-0.26359	-0.3356	-0.34624
7	0.72841	-0.32262	-0.29887	-0.27516	-0.21325	-0.04875	0.08689	0.23013	0.28852	0.31904	0.25831	0.34636	0.24286	0.41371	0.1605	0.26347	0.47627	1.19496	2.09845	2.81492	4.24035	5.53031	6.76454	8.28966	9.54714	11.00097	11.8762	13.42814	14.3239	15.54171	16.15883	16.77289	17.53775	17.42345	17.39672	17.23743	17.22314	17.35387	17.35201	17.35201	17.35387	17.22314	17.23743	17.39672	17.42345	17.53775	16.77289	16.15883	15.54171	14.3239	13.42814	11.8762	11.00097	9.54714	8.28966	6.76454	5.53031	4.24035	2.81492	2.09845	1.19496	0.47627	0.26347	0.1605	0.41371	0.24286	0.34636	0.25831	0.31904	0.28852	0.23013	0.08689	-0.04875	-0.21325	-0.27516	-0.29887	-0.32262
