lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	-0.25663	-0.29479	-0.26779	-0.20812	-0.12924	-0.04039	0.05159	0.1678	0.16579	0.25425	0.39708	0.43088	0.23175	0.27754	0.39245	0.58694	0.44871	0.69949	0.92488	0.99786	1.21432	1.66093	2.05025	2.31601	3.13763	3.3132	4.05159	4.60327	4.54686	5.61322	5.84098	6.02722	6.07787	6.23059	6.24403	6.17127	6.19035	6.3013	6.32603	6.32603	6.3013	6.19035	6.17127	6.24403	6.23059	6.07787	6.02722	5.84098	5.61322	4.54686	4.60327	4.05159	3.3132	3.13763	2.31601	2.05025	1.66093	1.21432	0.99786	0.92488	0.69949	0.44871	0.58694	0.39245	0.27754	0.23175	0.43088	0.39708	0.25425	0.16579	0.1678	0.05159	-0.04039	-0.12924	-0.20812	-0.26779	-0.29479
4	0.01147	-0.04698	-0.07256	-0.09533	-0.10644	-0.10436	-0.08603	0.08255	0.00543	-0.01314	0.04762	0.25785	0.46216	0.49284	0.53184	0.60337	1.39629	1.88858	2.36286	3.03707	3.61605	4.64553	5.18013	6.27954	6.93318	7.38384	8.01955	8.94893	10.04467	10.57928	10.52948	10.93696	10.59335	10.44642	10.15276	9.71487	9.6965	10.09767	10.35459	10.35459	10.09767	9.6965	9.71487	10.15276	10.44642	10.59335	10.93696	10.52948	10.57928	10.04467	8.94893	8.01955	7.38384	6.93318	6.27954	5.18013	4.64553	3.61605	3.03707	2.36286	1.88858	1.39629	0.60337	0.53184	0.49284	0.46216	0.25785	0.04762	-0.01314	0.00543	0.08255	-0.08603	-0.10436	-0.10644	-0.09533	-0.07256	-0.04698
5	-0.00375	0.24782	0.22109	0.19513	0.14729	0.09995	0.06113	0.03036	0.16392	-0.08872	0.1653	0.22563	0.28766	0.72765	0.99753	1.82234	2.44559	3.13161	4.50062	6.03356	7.24827	8.32926	9.88404	10.81665	11.58732	12.44808	12.59579	13.12448	12.75136	13.80008	14.30612	14.78372	14.40748	14.68965	14.53039	14.10941	14.14468	14.63621	14.86601	14.86601	14.63621	14.14468	14.10941	14.53039	14.68965	14.40748	14.78372	14.30612	13.80008	12.75136	13.12448	12.59579	12.44808	11.58732	10.81665	9.88404	8.32926	7.24827	6.03356	4.50062	3.13161	2.44559	1.82234	0.99753	0.72765	0.28766	0.22563	0.1653	-0.08872	0.16392	0.03036	0.06113	0.09995	0.14729	0.19513	0.22109	0.24782
6	0.07834	0.24671	0.20119	0.14778	0.07822	0.01327	-0.03714	-0.12074	-0.06423	-0.02871	-0.09756	0.47146	0.60224	1.09064	2.11811	2.75272	3.71008	5.28643	6.90323	8.59881	10.02306	11.43467	12.70461	14.39244	15.18916	15.23473	15.68393	15.64353	15.93941	16.89961	16.52751	16.67864	15.46466	15.61947	15.30034	14.83646	14.85581	15.35839	15.71623	15.71623	15.35839	14.85581	14.83646	15.30034	15.61947	15.46466	16.67864	16.52751	16.89961	15.93941	15.64353	15.68393	15.23473	15.18916	14.39244	12.70461	11.43467	10.02306	8.59881	6.90323	5.28643	3.71008	2.75272	2.11811	1.09064	0.60224	0.47146	-0.09756	-0.02871	-0.06423	-0.12074	-0.03714	0.01327	0.07822	0.14778	0.20119	0.24671
7	0.1057	-0.06875	-0.07499	-0.08548	-0.07399	-0.04778	-0.0055	-0.11643	-0.0082	0.20574	0.47532	0.85535	1.18137	1.90659	2.42625	3.65539	5.08101	6.02326	7.96549	8.77603	10.50952	11.80683	12.80309	13.95929	14.27585	15.69221	15.50166	16.60432	17.08347	16.91443	17.32537	16.52001	16.13187	15.65573	15.18281	14.63551	14.57599	15.00425	15.35814	15.35814	15.00425	14.57599	14.63551	15.18281	15.65573	16.13187	16.52001	17.32537	16.91443	17.08347	16.60432	15.50166	15.69221	14.27585	13.95929	12.80309	11.80683	10.50952	8.77603	7.96549	6.02326	5.08101	3.65539	2.42625	1.90659	1.18137	0.85535	0.47532	0.20574	-0.0082	-0.11643	-0.0055	-0.04778	-0.07399	-0.08548	-0.07499	-0.06875
8	0.20257	-0.01289	-0.06408	-0.09105	-0.08915	-0.06034	-0.00203	0.13534	0.29115	0.2382	0.38362	0.70219	1.06884	1.5601	2.53972	3.62483	4.67416	6.07364	7.30634	8.97588	9.82606	10.67333	11.36066	11.83342	12.50718	12.91205	13.41567	13.69613	14.37547	14.541	14.78655	14.95677	14.2643	14.07851	13.69674	13.17244	13.14921	13.62707	13.96241	13.96241	13.62707	13.14921	13.17244	13.69674	14.07851	14.2643	14.95677	14.78655	14.541	14.37547	13.69613	13.41567	12.91205	12.50718	11.83342	11.36066	10.67333	9.82606	8.97588	7.30634	6.07364	4.67416	3.62483	2.53972	1.5601	1.06884	0.70219	0.38362	0.2382	0.29115	0.13534	-0.00203	-0.06034	-0.08915	-0.09105	-0.06408	-0.01289
9	-0.36233	0.32394	0.24327	0.20531	0.12572	0.06222	0.03185	0.06617	0.21239	0.47106	0.52094	1.09431	1.17154	1.70351	2.29121	2.95968	3.51606	4.67119	5.34462	6.82941	7.72927	8.48267	9.15344	9.86954	10.53883	11.09809	11.31421	11.41855	11.72079	12.03995	12.12164	12.57341	12.05731	11.70553	11.42428	11.14195	11.09797	11.29237	11.48568	11.48568	11.29237	11.09797	11.14195	11.42428	11.70553	12.05731	12.57341	12.12164	12.03995	11.72079	11.41855	11.31421	11.09809	10.53883	9.86954	9.15344	8.48267	7.72927	6.82941	5.34462	4.67119	3.51606	2.95968	2.29121	1.70351	1.17154	1.09431	0.52094	0.47106	0.21239	0.06617	0.03185	0.06222	0.12572	0.20531	0.24327	0.32394
10	0.01324	-0.0483	-0.05372	-0.04343	-0.00507	0.06424	0.16951	0.34179	0.5508	0.90624	1.12525	1.12443	1.31883	1.68531	1.73179	2.21888	2.58404	3.35746	4.2378	5.39062	6.30696	7.16181	7.59432	8.18041	8.95148	9.37844	9.7489	10.16747	10.11935	10.47796	10.68184	11.12977	10.38282	10.13559	9.81429	9.43958	9.40867	9.72158	9.98108	9.98108	9.72158	9.40867	9.43958	9.81429	10.13559	10.38282	11.12977	10.68184	10.47796	10.11935	10.16747	9.7489	9.37844	8.95148	8.18041	7.59432	7.16181	6.30696	5.39062	4.2378	3.35746	2.58404	2.21888	1.73179	1.68531	1.31883	1.12443	1.12525	0.90624	0.5508	0.34179	0.16951	0.06424	-0.00507	-0.04343	-0.05372	-0.0483
11	-0.16197	-0.05128	-0.08001	-0.07817	-0.06166	-0.01574	0.06608	0.15939	0.501	0.76023	1.02805	1.14459	1.16979	1.10919	1.401	1.79798	2.26152	2.82475	3.27418	4.01189	5.13156	5.70403	6.51677	7.00525	7.25144	7.74352	8.10079	8.23938	8.64403	8.68928	8.49225	8.56259	8.81657	8.53262	8.25487	7.80882	7.77333	8.14838	8.35516	8.35516	8.14838	7.77333	7.80882	8.25487	8.53262	8.81657	8.56259	8.49225	8.68928	8.64403	8.23938	8.10079	7.74352	7.25144	7.00525	6.51677	5.70403	5.13156	4.01189	3.27418	2.82475	2.26152	1.79798	1.401	1.10919	1.16979	1.14459	1.02805	0.76023	0.501	0.15939	0.06608	-0.01574	-0.06166	-0.07817	-0.08001	-0.05128
12	-0.37778	-0.14033	-0.09085	0.00463	0.09735	0.1924	0.28401	0.28855	0.27137	0.53117	0.76357	0.61354	0.93772	1.19854	1.46041	1.83857	2.23119	2.64888	3.13877	3.48816	3.92003	4.64712	4.98144	4.98617	6.02117	6.57574	6.87994	6.95036	6.98457	6.71423	7.36575	6.92013	7.16769	6.89388	6.6915	6.40095	6.36672	6.58882	6.72274	6.72274	6.58882	6.36672	6.40095	6.6915	6.89388	7.16769	6.92013	7.36575	6.71423	6.98457	6.95036	6.87994	6.57574	6.02117	4.98617	4.98144	4.64712	3.92003	3.48816	3.13877	2.64888	2.23119	1.83857	1.46041	1.19854	0.93772	0.61354	0.76357	0.53117	0.27137	0.28855	0.28401	0.1924	0.09735	0.00463	-0.09085	-0.14033
