lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-3	-2.00739	-1.94499	-1.97053	-1.4245	-1.02112	-0.10979	0.72524	0.3891	0.6808	1.157	0.57163	0.10351	0.65165	0	0	0	0	0	-0.78216	-2.26802	-2.16892	-1.5358	-0.59439	-2.10232	-1.00041	0	0	0	-1.92293	-1.41196	-1.00601	-2.76006	-1.0239	-0.20158	-0.30637	-0.20358	-0.10079	0.002	0.31237	0.31237	0.002	-0.10079	-0.20358	-0.30637	-0.20158	-1.0239	-2.76006	-1.00601	-1.41196	-1.92293	0	0	0	-1.00041	-2.10232	-0.59439	-1.5358	-2.16892	-2.26802	-0.78216	0	0	0	0	0	0.65165	0.10351	0.57163	1.157	0.6808	0.3891	0.72524	-0.10979	-1.02112	-1.4245	-1.97053	-1.94499
-2	1.03889	-0.05877	-1.16573	-1.12673	-0.95383	-0.58942	-0.11397	0.86291	0.51767	1.46635	1.11278	0.88949	0.37807	0	0	-0.0503	-1.44012	-0.81311	-0.72185	-0.21462	0	0	0	0	0	0	-3.96836	-2.88824	-1.85586	0.79627	-1.38745	-0.31133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.31133	-1.38745	0.79627	-1.85586	-2.88824	-3.96836	0	0	0	0	0	0	-0.21462	-0.72185	-0.81311	-1.44012	-0.0503	0	0	0.37807	0.88949	1.11278	1.46635	0.51767	0.86291	-0.11397	-0.58942	-0.95383	-1.12673	-1.16573	-0.05877
-1	-14.26222	0.97241	0.37058	0.46423	0	0	0	0	0.49959	0.92509	1.02878	1.46497	1.07744	0.95305	0.34103	0	-2.56222	-1.44726	-2.91246	-2.6308	-4.55862	-3.14696	-0.29641	1.08545	-2.12682	1.86003	0	0	0.92896	0.64757	0	0.7363	1.21524	1.69046	1.48973	0.78583	0.84523	1.66794	1.98747	1.98747	1.66794	0.84523	0.78583	1.48973	1.69046	1.21524	0.7363	0	0.64757	0.92896	0	0	1.86003	-2.12682	1.08545	-0.29641	-3.14696	-4.55862	-2.6308	-2.91246	-1.44726	-2.56222	0	0.34103	0.95305	1.07744	1.46497	1.02878	0.92509	0.49959	0	0	0	0	0.46423	0.37058	0.97241
0	-14.55901	1.28786	0.39924	0.91951	0.34708	0	-0.02912	-0.96866	0	0	0.09669	0.17913	0.75024	0	0.29129	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77735	1.23784	-1.72025	-8.09144	-9.99127	-11.21512	-11.46032	-10.47648	-10.62947	-11.91926	-11.98002	-11.98002	-11.91926	-10.62947	-10.47648	-11.46032	-11.21512	-9.99127	-8.09144	-1.72025	1.23784	0.77735	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29129	0	0.75024	0.17913	0.09669	0	0	-0.96866	-0.02912	0	0.34708	0.91951	0.39924	1.28786
1	-27.99948	0.64384	0.57447	0.32003	0.15222	0.02779	0	0.14074	0.74044	0.28023	0.71973	1.06063	0.80689	0.3397	0	0	0.12198	0.23363	0	0	0	0.21617	0.59699	0.26189	0	0	0	0	1.47586	0.68694	0.9543	1.16563	2.53503	3.27052	3.43972	3.17084	3.26278	3.71553	3.73021	3.73021	3.71553	3.26278	3.17084	3.43972	3.27052	2.53503	1.16563	0.9543	0.68694	1.47586	0	0	0	0	0.26189	0.59699	0.21617	0	0	0	0.23363	0.12198	0	0	0.3397	0.80689	1.06063	0.71973	0.28023	0.74044	0.14074	0	0.02779	0.15222	0.32003	0.57447	0.64384
2	-14.21389	-0.99158	-1.32308	-0.21293	0.11553	0.14046	0.09614	0.57464	1.10143	1.35666	1.31637	0.82329	0.75334	0.41954	0	-0.97981	-0.48492	0	0	0	0	0	0	-1.0262	-0.89489	-1.24844	0	0	0.16156	1.17739	0.91467	0.28846	-7.0959	-7.33357	-7.41109	-6.32829	-6.358	-7.50021	-7.48212	-7.48212	-7.50021	-6.358	-6.32829	-7.41109	-7.33357	-7.0959	0.28846	0.91467	1.17739	0.16156	0	0	-1.24844	-0.89489	-1.0262	0	0	0	0	0	0	-0.48492	-0.97981	0	0.41954	0.75334	0.82329	1.31637	1.35666	1.10143	0.57464	0.09614	0.14046	0.11553	-0.21293	-1.32308	-0.99158
3	-7.87309	0.40382	0.28668	0.0413	0	0	0	0	0	0	0.07122	0.29395	1.07066	0.4473	0.31697	1.49417	0.92286	0.68408	0.21717	-0.35057	-1.67098	-1.43374	0.30397	-0.07833	2.52787	0.75389	1.31175	-0.72052	-2.52088	0.83033	-2.3926	-1.37795	-2.27859	-0.68178	-0.18452	-0.44825	-0.24865	0.41428	0.31622	0.31622	0.41428	-0.24865	-0.44825	-0.18452	-0.68178	-2.27859	-1.37795	-2.3926	0.83033	-2.52088	-0.72052	1.31175	0.75389	2.52787	-0.07833	0.30397	-1.43374	-1.67098	-0.35057	0.21717	0.68408	0.92286	1.49417	0.31697	0.4473	1.07066	0.29395	0.07122	0	0	0	0	0	0	0.0413	0.28668	0.40382
4	-11.7334	1.60611	2.11573	1.69642	1.13773	0.53122	0.01813	0.54289	0.77251	0	0	0.14251	1.31702	0.58183	0.30413	0.86597	0.70569	-0.30025	-1.52584	-1.38994	-1.10424	-1.17531	-0.10839	1.59566	3.09611	1.69941	1.55258	2.46308	2.87729	1.97927	-3.19053	-3.4835	-2.31222	-1.01389	-0.0249	1.04148	1.20378	0.46197	-0.20243	-0.20243	0.46197	1.20378	1.04148	-0.0249	-1.01389	-2.31222	-3.4835	-3.19053	1.97927	2.87729	2.46308	1.55258	1.69941	3.09611	1.59566	-0.10839	-1.17531	-1.10424	-1.38994	-1.52584	-0.30025	0.70569	0.86597	0.30413	0.58183	1.31702	0.14251	0	0	0.77251	0.54289	0.01813	0.53122	1.13773	1.69642	2.11573	1.60611
