DFB	FE *
mm	3 mm central line
	STO 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0
3	0
4	-1.6435625
5	10.113
6	19.742125
7	43.7116375
8	69.959685
9	99.186765
10	130.19665
11	143.48435
12	132.228325
13	144.79125
14	139.112125
15	134.2817
16	128.664525
17	116.964425
18	103.71465
19	104.0144
20	98.54335
21	82.3473775
22	71.948875
23	72.769025
24	56.089355
25	58.7750775
26	47.43421
27	47.420775
28	44.3018075
