lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	-7.76695	0	0	0	0	-1.22014	-8.68279	-6.65898	-6.41319	-4.16939	-2.3237	1.77034	0.72573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.44392	-4.4263	-8.41762	-8.84639	-7.25774	-7.75666	-10.34314	-10.91219	-10.91219	-10.34314	-7.75666	-7.25774	-8.84639	-8.41762	-4.4263	-2.44392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72573	1.77034	-2.3237	-4.16939	-6.41319	-6.65898	-8.68279	-1.22014	0	0	0	0
4	-7.26208	0	0	0	0	-1.13512	-8.18071	-6.16414	-5.64335	-5.59228	-3.59171	-1.75954	0	0	0	0	0	0	0	0.7361	0.435	0.06329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06329	0.435	0.7361	0	0	0	0	0	0	0	-1.75954	-3.59171	-5.59228	-5.64335	-6.16414	-8.18071	-1.13512	0	0	0	0
5	-9.39943	0	0	0	0	-1.18946	-10.43013	-8.37405	-8.44589	-6.38641	-4.21146	0.81171	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0753	-0.32146	-1.46699	0	-0.53005	0	0	0	0	-0.63417	-2.76869	-2.76869	-0.63417	0	0	-0.63417	-2.76869	-2.76869	-0.63417	0	0	0	0	-0.53005	0	-1.46699	-0.32146	-2.0753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81171	-4.21146	-6.38641	-8.44589	-8.37405	-10.43013	-1.18946	0	0	0	0
6	-6.72012	0	0	0	0	-0.88535	-7.43713	-4.6393	-4.5134	-6.73249	-5.17436	-4.40735	-0.07426	0	0	0	0	0	0	0.8153	0.7891	0.20316	0	0	0	0	0	0	0	0	0	0	0	0	-1.75906	-1.84707	-1.84707	-1.75906	0	0	-1.75906	-1.84707	-1.84707	-1.75906	0	0	0	0	0	0	0	0	0	0	0	0	0.20316	0.7891	0.8153	0	0	0	0	0	0	-0.07426	-4.40735	-5.17436	-6.73249	-4.5134	-4.6393	-7.43713	-0.88535	0	0	0	0
7	-6.13382	0	0	0	0	-0.75262	-6.79188	-5.89123	-3.77753	-5.01039	-3.33233	0.98745	-2.26954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.26954	0.98745	-3.33233	-5.01039	-3.77753	-5.89123	-6.79188	-0.75262	0	0	0	0
8	-6.37103	0	0	0	0	-0.64646	-6.87304	-6.00125	-4.87248	-1.89331	-2.52339	1.82024	-0.82496	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.84103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.84103	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.82496	1.82024	-2.52339	-1.89331	-4.87248	-6.00125	-6.87304	-0.64646	0	0	0	0
9	-8.30781	0	0	0	0	-1.35594	-9.3809	-7.11071	-7.3743	-5.0978	-3.63396	1.55937	1.20525	0	0	0	0	0	0	0.31785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31785	0	0	0	0	0	0	1.20525	1.55937	-3.63396	-5.0978	-7.3743	-7.11071	-9.3809	-1.35594	0	0	0	0
10	-7.78748	0	0	0	0	-1.14736	-8.56598	-4.96975	-7.20077	-4.47817	-1.48217	-1.45725	1.09269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0085	-0.0085	0	0	0	0	-0.0085	-0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09269	-1.45725	-1.48217	-4.47817	-7.20077	-4.96975	-8.56598	-1.14736	0	0	0	0
11	-7.64956	0	0	0	0	-1.20074	-8.5498	-6.55699	-4.25493	-5.04389	-4.21856	-3.15559	0.10343	0	0	0	0	0	0	0	0.97846	0.37526	0	0	0	0	0	0	0	0	0	0	0	-0.05992	-4.81746	-3.8949	-3.90239	-4.83993	-0.09737	-0.09737	-4.83993	-3.90239	-3.8949	-4.81746	-0.05992	0	0	0	0	0	0	0	0	0	0	0	0.37526	0.97846	0	0	0	0	0	0	0	0.10343	-3.15559	-4.21856	-5.04389	-4.25493	-6.55699	-8.5498	-1.20074	0	0	0	0
12	-7.89979	0	0	0	0	-0.74017	-8.56089	-7.20549	-6.63684	-5.80138	-1.75696	-0.98447	0.46991	0	0	0	0	0	0	0	0	0	0.21761	0.14975	0	0	0	0	0	0	0	0	0	0	0.18908	1.27851	1.27851	0.18908	0	0	0.18908	1.27851	1.27851	0.18908	0	0	0	0	0	0	0	0	0	0	0.14975	0.21761	0	0	0	0	0	0	0	0	0	0.46991	-0.98447	-1.75696	-5.80138	-6.63684	-7.20549	-8.56089	-0.74017	0	0	0	0
