lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
0	-3.25436	-1.44184	-1.20941	-0.39575	0	0	0.06648	0.40954	0.04931	0.32944	0.04808	0	0	0	0	0.11798	-0.43576	-0.37385	-1.01923	-0.46695	0.57633	-0.64515	-0.23111	0	0	-0.55182	0	0	0	0	0	0	0	0.03506	0.26753	-0.23898	-0.2346	0.28068	0.05697	0.05697	0.28068	-0.2346	-0.23898	0.26753	0.03506	0	0	0	0	0	0	0	-0.55182	0	0	-0.23111	-0.64515	0.57633	-0.46695	-1.01923	-0.37385	-0.43576	0.11798	0	0	0	0	0.04808	0.32944	0.04931	0.40954	0.06648	0	0	-0.39575	-1.20941	-1.44184
1	0.31908	-1.54824	-2.44415	-1.79182	-1.0874	-0.38436	0	-1.95463	-3.29027	-3.07712	-3.18454	-1.08193	-2.77841	-2.73683	-3.34806	-1.25701	0.02866	0.51915	0.23687	0.67087	1.97303	1.98286	1.98864	1.18999	0.15085	0.82537	0.04416	1.1432	0	0	0	0	0.83825	0.35925	0.29938	0.2395	0.17963	0.11975	0.05988	0.05988	0.11975	0.17963	0.2395	0.29938	0.35925	0.83825	0	0	0	0	1.1432	0.04416	0.82537	0.15085	1.18999	1.98864	1.98286	1.97303	0.67087	0.23687	0.51915	0.02866	-1.25701	-3.34806	-2.73683	-2.77841	-1.08193	-3.18454	-3.07712	-3.29027	-1.95463	0	-0.38436	-1.0874	-1.79182	-2.44415	-1.54824
2	-10.45752	-1.18831	-1.15043	-0.12488	0.13926	0	0	0	-1.07337	-1.29558	-2.81485	-0.90986	0.50296	0.38697	0	0.07046	0.32459	0.51276	0.30606	0.33148	0.29773	0	-0.45809	1.00723	0.36681	-0.60031	-1.35826	0.56712	0.55887	0.1783	2.42066	0.96095	3.71176	3.77015	3.27922	2.06226	2.06956	3.30112	3.80664	3.80664	3.30112	2.06956	2.06226	3.27922	3.77015	3.71176	0.96095	2.42066	0.1783	0.55887	0.56712	-1.35826	-0.60031	0.36681	1.00723	-0.45809	0	0.29773	0.33148	0.30606	0.51276	0.32459	0.07046	0	0.38697	0.50296	-0.90986	-2.81485	-1.29558	-1.07337	0	0	0	0.13926	-0.12488	-1.15043	-1.18831
3	-1.47713	-3.45899	-2.85039	-2.10629	-1.13505	-0.19473	0.12686	-0.11937	0.15742	0	0.962	-0.07651	0.23613	0.68938	1.03657	0	0.29975	1.11533	0.02801	0.52466	0.92911	0	2.02836	0.62022	3.03931	-1.6976	-1.88702	-1.01141	0.56483	0.36267	4.49149	2.21468	6.06701	6.05309	5.79648	5.0188	5.01707	5.79126	6.0444	6.0444	5.79126	5.01707	5.0188	5.79648	6.05309	6.06701	2.21468	4.49149	0.36267	0.56483	-1.01141	-1.88702	-1.6976	3.03931	0.62022	2.02836	0	0.92911	0.52466	0.02801	1.11533	0.29975	0	1.03657	0.68938	0.23613	-0.07651	0.962	0	0.15742	-0.11937	0.12686	-0.19473	-1.13505	-2.10629	-2.85039	-3.45899
4	-5.04131	-0.20009	-0.00204	0.37762	0.34025	0.09221	-0.37969	-2.49211	-1.006	-5.17287	-3.83819	-2.44947	-2.58136	0	-3.33438	-1.03494	0.08129	0.31286	1.9688	1.0912	2.70187	0.98275	4.04114	3.30543	4.90247	4.64688	4.71252	7.16247	11.57378	9.03444	14.17317	8.16319	17.23062	14.62993	13.67481	11.56087	11.23578	12.69955	13.0045	13.0045	12.69955	11.23578	11.56087	13.67481	14.62993	17.23062	8.16319	14.17317	9.03444	11.57378	7.16247	4.71252	4.64688	4.90247	3.30543	4.04114	0.98275	2.70187	1.0912	1.9688	0.31286	0.08129	-1.03494	-3.33438	0	-2.58136	-2.44947	-3.83819	-5.17287	-1.006	-2.49211	-0.37969	0.09221	0.34025	0.37762	-0.00204	-0.20009
5	-8.92191	-1.04583	-0.85399	0.14888	0.54971	0.05273	0	-0.14137	-2.13754	-2.76421	-1.87081	-1.53674	-0.98765	0	0	0	0.78321	0.62105	2.25376	1.36931	4.99757	2.15542	5.23206	5.83063	7.60925	8.46879	13.8501	15.12295	23.15828	17.4165	25.05253	20.6782	27.10544	24.44947	23.33312	21.17138	20.83939	22.33714	22.78949	22.78949	22.33714	20.83939	21.17138	23.33312	24.44947	27.10544	20.6782	25.05253	17.4165	23.15828	15.12295	13.8501	8.46879	7.60925	5.83063	5.23206	2.15542	4.99757	1.36931	2.25376	0.62105	0.78321	0	0	0	-0.98765	-1.53674	-1.87081	-2.76421	-2.13754	-0.14137	0	0.05273	0.54971	0.14888	-0.85399	-1.04583
6	-6.0941	-0.74356	-0.53844	0.21047	0.3375	0.38237	0.41588	-1.13763	-1.412	-0.52211	-3.4137	-1.7043	-0.14245	-0.1593	0.41867	0.61407	2.95585	3.0488	4.71429	5.27188	9.96496	9.96631	8.51054	9.34296	16.24831	15.23921	25.13777	26.65827	38.74033	34.97274	46.3176	35.46829	52.21964	44.94329	42.95268	40.05641	39.14687	40.22405	40.39557	40.39557	40.22405	39.14687	40.05641	42.95268	44.94329	52.21964	35.46829	46.3176	34.97274	38.74033	26.65827	25.13777	15.23921	16.24831	9.34296	8.51054	9.96631	9.96496	5.27188	4.71429	3.0488	2.95585	0.61407	0.41867	-0.1593	-0.14245	-1.7043	-3.4137	-0.52211	-1.412	-1.13763	0.41588	0.38237	0.3375	0.21047	-0.53844	-0.74356
7	4.05405	-1.21711	-2.03418	-1.33343	-0.51967	0	0	-0.90175	-1.15681	-1.58599	-1.41867	0.09708	-1.45545	-0.11883	0.83509	1.05937	3.59602	4.48672	8.55442	8.13211	16.08458	15.9858	20.60912	24.65924	20.84487	25.71331	35.40815	35.86065	51.00321	53.03751	57.20926	51.70278	76.30842	72.78631	74.00236	73.70209	73.26182	72.68157	70.58499	70.58499	72.68157	73.26182	73.70209	74.00236	72.78631	76.30842	51.70278	57.20926	53.03751	51.00321	35.86065	35.40815	25.71331	20.84487	24.65924	20.60912	15.9858	16.08458	8.13211	8.55442	4.48672	3.59602	1.05937	0.83509	-0.11883	-1.45545	0.09708	-1.41867	-1.58599	-1.15681	-0.90175	0	0	-0.51967	-1.33343	-2.03418	-1.21711
