lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	-4.33761	2.14643	1.76302	1.30405	0.66655	-1.14733	-3.72888	-2.62278	-4.53517	-3.62864	-1.40778	-2.25691	-1.62144	0.61164	0.34621	0	0	0	-0.16413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16413	0	0	0	0.34621	0.61164	-1.62144	-2.25691	-1.40778	-3.62864	-4.53517	-2.62278	-3.72888	-1.14733	0.66655	1.30405	1.76302	2.14643
4	-4.7465	0	0	0	-0.32744	-1.78157	-2.45538	-1.55791	-1.20068	-3.22492	-0.7967	0.86296	0.80624	0.63417	0.20656	0.79072	-1.72431	-1.4877	-2.44809	-1.28185	-0.55595	0	0	0	0	0	0	0.52216	1.44335	0.10291	1.73261	0	-1.50169	-1.63309	-1.66773	-1.41037	-1.4268	-1.71701	-1.71522	-1.71522	-1.71701	-1.4268	-1.41037	-1.66773	-1.63309	-1.50169	0	1.73261	0.10291	1.44335	0.52216	0	0	0	0	0	0	-0.55595	-1.28185	-2.44809	-1.4877	-1.72431	0.79072	0.20656	0.63417	0.80624	0.86296	-0.7967	-3.22492	-1.20068	-1.55791	-2.45538	-1.78157	-0.32744	0	0	0
5	-5.10552	-1.65025	-2.05994	-1.97035	-2.04894	-2.08111	-2.06355	-0.70886	-1.95999	-3.66869	1.03693	0.03962	0.89085	-1.7588	-0.14616	-1.84993	0.40446	0	0	0	0	0	0	-0.11501	-0.14167	-0.16495	0.80018	2.02456	5.90461	3.57374	8.91199	4.56819	13.44815	10.9441	11.36364	11.58226	11.26926	10.42462	9.37906	9.37906	10.42462	11.26926	11.58226	11.36364	10.9441	13.44815	4.56819	8.91199	3.57374	5.90461	2.02456	0.80018	-0.16495	-0.14167	-0.11501	0	0	0	0	0	0	0.40446	-1.84993	-0.14616	-1.7588	0.89085	0.03962	1.03693	-3.66869	-1.95999	-0.70886	-2.06355	-2.08111	-2.04894	-1.97035	-2.05994	-1.65025
6	-4.77121	0.10347	-0.68428	-0.66209	-1.06096	-1.46016	-1.7998	0	-2.38619	-2.14979	-1.17552	-0.07588	-1.351	0.48942	0.61785	0.27861	0	0	0	0	0	0	0	0	0.67148	2.28361	9.49511	6.7577	16.98456	14.72463	15.32205	14.84633	20.86979	19.72316	20.38693	21.14184	20.99852	19.95694	19.00652	19.00652	19.95694	20.99852	21.14184	20.38693	19.72316	20.86979	14.84633	15.32205	14.72463	16.98456	6.7577	9.49511	2.28361	0.67148	0	0	0	0	0	0	0	0	0.27861	0.61785	0.48942	-1.351	-0.07588	-1.17552	-2.14979	-2.38619	0	-1.7998	-1.46016	-1.06096	-0.66209	-0.68428	0.10347
7	-3.60566	0	0	0	0	-0.30079	-0.89335	-1.13768	-2.2375	-0.57527	-0.22749	-0.30119	-0.01321	1.63861	1.2562	-0.57608	-1.50733	-3.95315	-1.33178	-2.4982	-2.37865	-0.98029	1.75315	2.3956	5.22047	8.74022	6.06114	3.03344	14.79728	13.49423	26.69151	21.55042	34.26806	38.64964	43.01076	46.86875	47.41645	44.65386	41.38812	41.38812	44.65386	47.41645	46.86875	43.01076	38.64964	34.26806	21.55042	26.69151	13.49423	14.79728	3.03344	6.06114	8.74022	5.22047	2.3956	1.75315	-0.98029	-2.37865	-2.4982	-1.33178	-3.95315	-1.50733	-0.57608	1.2562	1.63861	-0.01321	-0.30119	-0.22749	-0.57527	-2.2375	-1.13768	-0.89335	-0.30079	0	0	0	0
8	-17.42258	2.52104	1.98887	1.34013	0.53929	0	0	0	0	0	0	0.11628	-1.79112	-2.31392	-0.73129	-2.3481	0	-2.47771	0	0	0.54454	0.64074	3.87793	1.39897	0.84005	5.43425	10.26162	12.30365	25.65773	30.0475	45.86351	46.73199	56.21903	62.84216	68.48114	74.08277	74.91067	70.96483	66.98162	66.98162	70.96483	74.91067	74.08277	68.48114	62.84216	56.21903	46.73199	45.86351	30.0475	25.65773	12.30365	10.26162	5.43425	0.84005	1.39897	3.87793	0.64074	0.54454	0	0	-2.47771	0	-2.3481	-0.73129	-2.31392	-1.79112	0.11628	0	0	0	0	0	0	0.53929	1.34013	1.98887	2.52104
9	0	-1.35214	-1.36664	-1.44525	-1.40696	-1.34681	-1.28494	-1.19004	-1.15812	-0.63595	-0.39276	-0.9176	-0.77937	-1.76581	-4.15724	-2.36142	-2.16741	0	0.00718	0.28312	4.26939	7.97336	6.82587	13.0683	13.00076	15.16386	19.87076	24.94293	38.28816	48.06354	63.37489	66.22887	85.6806	91.23789	98.54697	105.999	106.6937	100.631	94.71118	94.71118	100.631	106.6937	105.999	98.54697	91.23789	85.6806	66.22887	63.37489	48.06354	38.28816	24.94293	19.87076	15.16386	13.00076	13.0683	6.82587	7.97336	4.26939	0.28312	0.00718	0	-2.16741	-2.36142	-4.15724	-1.76581	-0.77937	-0.9176	-0.39276	-0.63595	-1.15812	-1.19004	-1.28494	-1.34681	-1.40696	-1.44525	-1.36664	-1.35214
10	-13.7313	0.43084	0.71158	0.91337	1.09472	-0.18314	-0.88564	0.13224	-0.74626	-2.61143	0.43408	-2.05859	-0.12827	-1.76131	0.3883	-4.25369	-3.46981	0.16525	4.16864	0.63244	-3.47615	2.10042	6.90318	9.63869	19.68609	20.68079	33.16144	38.23201	57.73831	63.95554	77.37774	83.90685	109.5494	118.6997	128.8668	138.5072	139.651	132.2982	124.4187	124.4187	132.2982	139.651	138.5072	128.8668	118.6997	109.5494	83.90685	77.37774	63.95554	57.73831	38.23201	33.16144	20.68079	19.68609	9.63869	6.90318	2.10042	-3.47615	0.63244	4.16864	0.16525	-3.46981	-4.25369	0.3883	-1.76131	-0.12827	-2.05859	0.43408	-2.61143	-0.74626	0.13224	-0.88564	-0.18314	1.09472	0.91337	0.71158	0.43084
11	-0.70613	1.4773	1.16964	0.6318	-1.69196	-3.83718	-5.1546	-4.7774	-4.56466	-3.46898	-3.00905	0.56717	-0.84029	0.77148	0.22918	-0.94374	-1.80738	-4.55463	-3.30431	-3.63592	-6.4384	1.2336	8.87884	15.32048	21.59202	34.5301	44.363	58.4399	77.3157	86.98758	108.4953	111.3723	120.4396	131.4966	140.6606	150.9338	152.3159	144.8069	138.4073	138.4073	144.8069	152.3159	150.9338	140.6606	131.4966	120.4396	111.3723	108.4953	86.98758	77.3157	58.4399	44.363	34.5301	21.59202	15.32048	8.87884	1.2336	-6.4384	-3.63592	-3.30431	-4.55463	-1.80738	-0.94374	0.22918	0.77148	-0.84029	0.56717	-3.00905	-3.46898	-4.56466	-4.7774	-5.1546	-3.83718	-1.69196	0.6318	1.16964	1.4773
12	-25.39696	0.47933	0.35707	0.1795	0	0	0	0.22108	0.28954	0.91936	2.32928	2.01275	4.07606	1.67774	-5.02251	-4.92044	-9.41001	-7.88279	-5.24353	-5.21765	0.78858	1.02063	14.02274	21.05785	32.57116	41.85679	50.41364	66.89509	77.72001	94.88521	108.3771	113.8062	122.139	125.5514	131.6713	140.1671	140.5937	132.951	127.6843	127.6843	132.951	140.5937	140.1671	131.6713	125.5514	122.139	113.8062	108.3771	94.88521	77.72001	66.89509	50.41364	41.85679	32.57116	21.05785	14.02274	1.02063	0.78858	-5.21765	-5.24353	-7.88279	-9.41001	-4.92044	-5.02251	1.67774	4.07606	2.01275	2.32928	0.91936	0.28954	0.22108	0	0	0	0.1795	0.35707	0.47933
13	-2.93374	-0.26247	-0.52556	0	0	0	-0.46756	-0.35337	-1.87212	-4.69197	-1.0499	-2.26753	1.74273	-0.08082	-1.61635	-4.49018	-2.13951	-9.12007	-5.82081	-6.60836	4.4031	6.40099	23.04161	26.23265	43.36301	47.46189	63.99801	67.64019	81.3148	89.01231	105.5468	111.4841	134.0939	137.5191	144.9763	153.1564	153.5846	146.2608	139.6598	139.6598	146.2608	153.5846	153.1564	144.9763	137.5191	134.0939	111.4841	105.5468	89.01231	81.3148	67.64019	63.99801	47.46189	43.36301	26.23265	23.04161	6.40099	4.4031	-6.60836	-5.82081	-9.12007	-2.13951	-4.49018	-1.61635	-0.08082	1.74273	-2.26753	-1.0499	-4.69197	-1.87212	-0.35337	-0.46756	0	0	0	-0.52556	-0.26247
