lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	-1.43256	-0.28824	-0.29934	-0.11701	-0.03057	0.54015	0.87053	0.58218	0.63938	-0.0153	-0.68333	-0.8597	-0.66052	-0.87866	0	-1.1192	-1.31554	-0.94222	0	0	-0.90655	-0.7643	1.14528	-3.92189	2.75356	-0.82898	0.27066	-2.68299	2.82322	4.02386	9.50232	5.79691	12.62833	11.54518	11.58924	11.03266	10.89727	11.18306	10.86821	10.86821	11.18306	10.89727	11.03266	11.58924	11.54518	12.62833	5.79691	9.50232	4.02386	2.82322	-2.68299	0.27066	-0.82898	2.75356	-3.92189	1.14528	-0.7643	-0.90655	0	0	-0.94222	-1.31554	-1.1192	0	-0.87866	-0.66052	-0.8597	-0.68333	-0.0153	0.63938	0.58218	0.87053	0.54015	-0.03057	-0.11701	-0.29934	-0.28824
4	-0.13924	0.10016	-0.35947	-1.1854	-1.86398	-2.38964	-2.64434	-1.79142	0	-1.09286	-0.66514	0.21867	0.64679	-0.10609	0.85495	0.40509	-0.03959	-1.02141	0	0	1.89693	-0.00122	1.88011	6.31177	5.37817	7.63094	10.5339	11.0263	11.54702	2.45664	13.4437	8.23598	7.01889	9.05817	9.50222	9.63747	9.89238	10.26695	10.33273	10.33273	10.26695	9.89238	9.63747	9.50222	9.05817	7.01889	8.23598	13.4437	2.45664	11.54702	11.0263	10.5339	7.63094	5.37817	6.31177	1.88011	-0.00122	1.89693	0	0	-1.02141	-0.03959	0.40509	0.85495	-0.10609	0.64679	0.21867	-0.66514	-1.09286	0	-1.79142	-2.64434	-2.38964	-1.86398	-1.1854	-0.35947	0.10016
5	-0.63463	0	0	0.17059	0.35308	0.08669	-0.37014	-0.4599	0.12138	-1.18152	-0.69553	-1.49676	-1.17375	-1.01823	0.78959	0.64739	2.95834	2.40612	4.2066	5.84446	9.4272	8.61404	8.49685	6.58869	14.34654	7.52033	11.10173	2.90234	6.85492	3.26182	10.16589	15.53191	19.89984	19.36009	20.48496	21.72514	21.65766	20.28255	19.02274	19.02274	20.28255	21.65766	21.72514	20.48496	19.36009	19.89984	15.53191	10.16589	3.26182	6.85492	2.90234	11.10173	7.52033	14.34654	6.58869	8.49685	8.61404	9.4272	5.84446	4.2066	2.40612	2.95834	0.64739	0.78959	-1.01823	-1.17375	-1.49676	-0.69553	-1.18152	0.12138	-0.4599	-0.37014	0.08669	0.35308	0.17059	0	0
6	0.50709	-3.10492	-3.17508	-3.03916	-2.35482	-1.28407	-0.34726	-0.08502	0.20575	0.41747	0.48109	0.33827	0	0	1.04167	0.39225	2.41914	4.84449	7.28842	9.72908	12.62403	14.9683	16.31301	16.1596	14.90111	18.29199	18.31766	13.08705	22.56892	17.82843	24.11785	27.45345	37.15925	35.41954	34.80704	32.96591	32.74845	34.15465	34.33221	34.33221	34.15465	32.74845	32.96591	34.80704	35.41954	37.15925	27.45345	24.11785	17.82843	22.56892	13.08705	18.31766	18.29199	14.90111	16.1596	16.31301	14.9683	12.62403	9.72908	7.28842	4.84449	2.41914	0.39225	1.04167	0	0	0.33827	0.48109	0.41747	0.20575	-0.08502	-0.34726	-1.28407	-2.35482	-3.03916	-3.17508	-3.10492
7	0.09665	-1.48392	-3.04796	-2.93934	-2.61328	-2.01666	-1.28502	-0.77378	0	0.04378	0.42492	0.55186	0.46394	0.93835	2.37136	-1.06476	2.36737	3.42707	7.85345	13.15528	17.86809	19.93965	19.49482	23.45263	26.81907	27.45742	23.61374	17.9332	26.83883	24.68209	34.8425	39.20477	36.20838	36.37764	34.72741	31.47055	31.4917	34.79088	36.48342	36.48342	34.79088	31.4917	31.47055	34.72741	36.37764	36.20838	39.20477	34.8425	24.68209	26.83883	17.9332	23.61374	27.45742	26.81907	23.45263	19.49482	19.93965	17.86809	13.15528	7.85345	3.42707	2.36737	-1.06476	2.37136	0.93835	0.46394	0.55186	0.42492	0.04378	0	-0.77378	-1.28502	-2.01666	-2.61328	-2.93934	-3.04796	-1.48392
8	1.56451	0.01725	-0.42658	-0.35086	-0.24061	-0.1676	-0.22323	-2.09155	-2.31261	-1.95116	-1.38596	-0.00883	1.65826	1.81026	2.78524	3.86213	7.21624	9.63878	12.40534	12.04915	15.92254	16.2849	20.7918	24.66034	29.44007	30.69756	36.72242	36.35683	32.64936	34.97641	35.41958	29.42283	36.19892	33.61568	33.29518	32.95223	32.62932	32.32646	32.00116	32.00116	32.32646	32.62932	32.95223	33.29518	33.61568	36.19892	29.42283	35.41958	34.97641	32.64936	36.35683	36.72242	30.69756	29.44007	24.66034	20.7918	16.2849	15.92254	12.04915	12.40534	9.63878	7.21624	3.86213	2.78524	1.81026	1.65826	-0.00883	-1.38596	-1.95116	-2.31261	-2.09155	-0.22323	-0.1676	-0.24061	-0.35086	-0.42658	0.01725
9	0.73172	-1.83058	-4.80764	-4.38452	-3.69921	-2.59378	-0.82147	-0.50045	0.74046	0	0.23433	1.18141	0.98484	1.99943	2.23645	5.18373	8.06795	10.78431	12.5972	17.71627	18.30222	15.33084	22.27971	19.94542	27.40887	33.29433	31.44269	33.34553	35.94384	34.17454	33.19482	41.05671	38.64922	39.77184	41.30627	41.6802	41.82053	41.72725	40.47349	40.47349	41.72725	41.82053	41.6802	41.30627	39.77184	38.64922	41.05671	33.19482	34.17454	35.94384	33.34553	31.44269	33.29433	27.40887	19.94542	22.27971	15.33084	18.30222	17.71627	12.5972	10.78431	8.06795	5.18373	2.23645	1.99943	0.98484	1.18141	0.23433	0	0.74046	-0.50045	-0.82147	-2.59378	-3.69921	-4.38452	-4.80764	-1.83058
10	2.68571	-1.63198	-1.19314	-0.67955	-0.09777	0.0494	2.1483	1.48209	1.61094	0.42967	1.04366	1.65614	1.5493	1.60707	2.26192	3.51474	6.4155	9.63441	12.56966	15.37297	18.68252	19.64017	22.58507	28.0351	32.90775	30.3894	32.73437	33.76463	36.42152	41.37806	43.41697	36.17447	38.10882	35.43882	34.90069	35.31275	34.979	33.89943	33.77007	33.77007	33.89943	34.979	35.31275	34.90069	35.43882	38.10882	36.17447	43.41697	41.37806	36.42152	33.76463	32.73437	30.3894	32.90775	28.0351	22.58507	19.64017	18.68252	15.37297	12.56966	9.63441	6.4155	3.51474	2.26192	1.60707	1.5493	1.65614	1.04366	0.42967	1.61094	1.48209	2.1483	0.0494	-0.09777	-0.67955	-1.19314	-1.63198
11	1.89661	-0.79054	-3.46252	-3.67497	-3.71974	-3.22277	-1.48662	-0.35295	1.01352	1.97844	2.42519	1.87368	2.18255	2.57263	3.36656	3.91066	5.20378	7.48724	8.34285	13.10489	16.82685	22.49176	23.87865	27.23188	30.59473	34.01147	33.92411	30.37002	37.24296	31.26801	30.89202	35.92192	38.55585	37.05526	37.08888	37.2379	37.05033	36.52616	36.1174	36.1174	36.52616	37.05033	37.2379	37.08888	37.05526	38.55585	35.92192	30.89202	31.26801	37.24296	30.37002	33.92411	34.01147	30.59473	27.23188	23.87865	22.49176	16.82685	13.10489	8.34285	7.48724	5.20378	3.91066	3.36656	2.57263	2.18255	1.87368	2.42519	1.97844	1.01352	-0.35295	-1.48662	-3.22277	-3.71974	-3.67497	-3.46252	-0.79054
12	0.32327	0	-1.09999	-1.64273	-1.98126	-2.18106	-2.22451	-2.43343	-2.06922	-1.17463	0.25422	0.00836	1.90532	2.99057	4.20387	5.68986	8.1225	10.7943	11.87698	12.95202	12.85694	16.39936	20.53138	24.78573	30.24408	31.19691	31.91889	35.49832	35.6727	38.72433	35.74526	39.17113	39.79829	40.71484	40.76722	40.14492	40.25949	41.11092	41.28769	41.28769	41.11092	40.25949	40.14492	40.76722	40.71484	39.79829	39.17113	35.74526	38.72433	35.6727	35.49832	31.91889	31.19691	30.24408	24.78573	20.53138	16.39936	12.85694	12.95202	11.87698	10.7943	8.1225	5.68986	4.20387	2.99057	1.90532	0.00836	0.25422	-1.17463	-2.06922	-2.43343	-2.22451	-2.18106	-1.98126	-1.64273	-1.09999	0
