DFB	FE *
mm	3 mm central line
	LEAN 500
-5	0
-4	0.6992475
-3	0
-2	0.2589825
-1	2.1416675
0	0
1	0.57297
2	9.9147475
3	21.568755
4	42.4947875
5	83.1746975
6	127.577475
7	188.850775
8	233.1169
9	252.760625
10	269.314225
11	262.940775
12	242.981175
13	228.7826
14	230.8838
15	195.52275
16	183.014325
17	170.39125
18	158.773775
19	143.951575
20	119.250675
21	103.646775
22	99.691175
23	87.7093975
24	70.09559
25	59.161385
26	55.034065
27	42.9242
28	35.7255425
29	26.5150325
30	26.3696175
31	21.2964475
32	15.6054925
33	14.6084375
34	7.8881625
35	8.7333425
36	5.399995
37	3.68481
38	1.7463575
39	0.22144
40	0.233335
41	0.1144625
42	0.0599725
43	0.90876
44	0
45	0
