DFB	FE *
mm	3 mm central line
	LEAN 200
-3	0.1314875
-2	0
-1	1.6220275
0	-11.6271925
1	3.6096825
2	-7.2056125
3	0.1995175
4	0.3152225
5	1.9442275
6	7.7255425
7	12.98771
8	17.8538525
9	19.72792
10	26.5695075
11	22.613745
12	23.107975
13	20.193025
14	21.6431025
15	31.9363975
16	27.4856675
17	32.7528575
18	18.66156
19	21.2908
20	31.1586725
21	27.1897175
22	26.0113975
