DFB	WATER *
mm	3 mm central line
	LEAN 200
-3	0.00517
-2	0
-1	0
0	0
1	4.23555
2	0
3	0
4	0
5	0
6	0.465855
7	0.283975
8	0.20311
9	0.29843
10	0.03664
11	0.788005
12	1.202185
13	2.352665
14	3.079055
15	2.869795
16	3.723655
17	4.83978
18	3.74338
19	5.337235
20	5.00684
21	5.856555
22	5.62873
