lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	0.00441	0	0.02851	0.22081	0.35291	0.46297	0.52205	0.38406	0.16588	0.0039	0.1344	0	0	0.15689	0.29445	0.28406	0.65966	0.65727	0.51605	0.35373	0.26017	0	0.28241	0.03946	0.04316	0.15255	0	0	0.06216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06216	0	0	0.15255	0.04316	0.03946	0.28241	0	0.26017	0.35373	0.51605	0.65727	0.65966	0.28406	0.29445	0.15689	0	0	0.1344	0.0039	0.16588	0.38406	0.52205	0.46297	0.35291	0.22081	0.02851	0	0.00441
4	0	5.574	5.38202	4.11879	2.28392	0.34375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34375	2.28392	4.11879	5.38202	5.574	0
5	0.04524	0.12108	0.15002	0.1761	0.1944	0.20715	0.21429	0.27028	0.06943	0.20398	0.03457	0.25714	0.26247	0.22029	0.66234	0.57321	0.95189	0.47733	0.44631	0.74269	0.57087	0.52875	0.17085	0.3654	0.34335	0.25524	0.13016	0	0	0	0	0.36285	1.66539	1.69444	1.80207	1.72133	1.72496	1.81296	1.7126	1.7126	1.81296	1.72496	1.72133	1.80207	1.69444	1.66539	0.36285	0	0	0	0	0.13016	0.25524	0.34335	0.3654	0.17085	0.52875	0.57087	0.74269	0.44631	0.47733	0.95189	0.57321	0.66234	0.22029	0.26247	0.25714	0.03457	0.20398	0.06943	0.27028	0.21429	0.20715	0.1944	0.1761	0.15002	0.12108	0.04524
6	0	0.05455	0.14053	0.21384	0.27601	0.31727	0.33098	0.19561	0.20268	0	0	0	0	0.16642	0.73893	1.06717	1.21395	1.35008	1.18325	0.70921	0.90733	0.0983	0	0	0.19307	0.28867	0.63096	0.55881	1.1244	1.28546	1.0559	1.10843	1.69994	1.44456	1.40974	1.36317	1.33124	1.31397	1.28494	1.28494	1.31397	1.33124	1.36317	1.40974	1.44456	1.69994	1.10843	1.0559	1.28546	1.1244	0.55881	0.63096	0.28867	0.19307	0	0	0.0983	0.90733	0.70921	1.18325	1.35008	1.21395	1.06717	0.73893	0.16642	0	0	0	0	0.20268	0.19561	0.33098	0.31727	0.27601	0.21384	0.14053	0.05455	0
7	0.07061	0	0.09782	0.24437	0.37923	0.4981	0.58424	0.59079	0.31133	0.29312	0.34043	0.49148	0.75463	0.97948	0.91544	1.51053	1.39531	1.53712	0.82699	0.49833	0	0	0	0	0.25787	0.5993	0.44466	0.91493	0.94808	1.53887	0.84957	1.65335	1.56271	1.77163	1.79004	1.69796	1.72407	1.86839	1.90221	1.90221	1.86839	1.72407	1.69796	1.79004	1.77163	1.56271	1.65335	0.84957	1.53887	0.94808	0.91493	0.44466	0.5993	0.25787	0	0	0	0	0.49833	0.82699	1.53712	1.39531	1.51053	0.91544	0.97948	0.75463	0.49148	0.34043	0.29312	0.31133	0.59079	0.58424	0.4981	0.37923	0.24437	0.09782	0	0.07061
8	0	0.47575	0.69055	0.67322	0.61264	0.52392	0.43564	0.51281	0.22911	0.26315	0.48175	0.74443	0.46833	0.99724	1.36955	1.40356	1.36766	1.22495	1.04603	0.68404	0.39445	0.35331	0.1892	0.31918	0.28521	0.77016	0.47197	0.52803	0.95532	1.02162	1.0197	1.63008	1.17102	1.41997	1.42878	1.37588	1.407	1.52213	1.57557	1.57557	1.52213	1.407	1.37588	1.42878	1.41997	1.17102	1.63008	1.0197	1.02162	0.95532	0.52803	0.47197	0.77016	0.28521	0.31918	0.1892	0.35331	0.39445	0.68404	1.04603	1.22495	1.36766	1.40356	1.36955	0.99724	0.46833	0.74443	0.48175	0.26315	0.22911	0.51281	0.43564	0.52392	0.61264	0.67322	0.69055	0.47575	0
9	0.62735	0.04689	0.15705	0.21693	0.32381	0.43459	0.54282	0.6238	0.49162	0.7944	0.89314	0.85595	0.85223	1.0353	1.27617	1.27092	1.024	1.15102	0.87649	0.41808	0.3474	0.55268	0.19508	0.16267	0.83092	0.76844	0.7447	1.08409	1.168	0.96851	0.90292	0.95888	1.12511	1.12397	1.16501	1.21609	1.21595	1.16458	1.12325	1.12325	1.16458	1.21595	1.21609	1.16501	1.12397	1.12511	0.95888	0.90292	0.96851	1.168	1.08409	0.7447	0.76844	0.83092	0.16267	0.19508	0.55268	0.3474	0.41808	0.87649	1.15102	1.024	1.27092	1.27617	1.0353	0.85223	0.85595	0.89314	0.7944	0.49162	0.6238	0.54282	0.43459	0.32381	0.21693	0.15705	0.04689	0.62735
10	0.35019	0	0.01968	0.35006	0.5924	0.81626	0.96941	0.68221	0.48385	0.64933	0.58869	0.51549	0.84086	1.20008	1.54272	1.72939	2.08942	1.99667	1.43933	1.05462	0.43539	0.43223	0.0688	0.22071	0.22978	0.46002	0.65375	0.39418	0.7472	1.07157	0.80864	1.26127	1.79975	2.1199	2.27965	2.28916	2.32918	2.39971	2.32	2.32	2.39971	2.32918	2.28916	2.27965	2.1199	1.79975	1.26127	0.80864	1.07157	0.7472	0.39418	0.65375	0.46002	0.22978	0.22071	0.0688	0.43223	0.43539	1.05462	1.43933	1.99667	2.08942	1.72939	1.54272	1.20008	0.84086	0.51549	0.58869	0.64933	0.48385	0.68221	0.96941	0.81626	0.5924	0.35006	0.01968	0	0.35019
11	1.04021	0.34983	0.52972	0.61152	0.72632	0.81725	0.87478	0.76487	0.81032	0.35531	0.2504	0.41222	0.58047	0.85808	1.10647	1.56893	1.92311	1.91789	1.86517	1.2129	1.14615	0.25984	0.33481	0.34308	0.8539	0.96606	0.78194	1.60646	1.84285	1.64064	0.99987	1.65746	1.89414	1.69038	1.57617	1.38374	1.35827	1.49976	1.56303	1.56303	1.49976	1.35827	1.38374	1.57617	1.69038	1.89414	1.65746	0.99987	1.64064	1.84285	1.60646	0.78194	0.96606	0.8539	0.34308	0.33481	0.25984	1.14615	1.2129	1.86517	1.91789	1.92311	1.56893	1.10647	0.85808	0.58047	0.41222	0.2504	0.35531	0.81032	0.76487	0.87478	0.81725	0.72632	0.61152	0.52972	0.34983	1.04021
12	0	0.64567	0.80106	0.90822	0.95567	0.97004	0.95901	0.98059	0.63675	0.6975	0.88223	1.08676	0.91315	1.03479	1.42976	1.49095	1.79965	1.80711	1.71165	1.34053	1.16935	1.14459	0.58403	0.82366	0.58052	0.41706	1.0864	0.9187	1.87949	1.65953	1.29611	1.81464	2.15585	1.9347	1.80795	1.58573	1.55809	1.72503	1.79649	1.79649	1.72503	1.55809	1.58573	1.80795	1.9347	2.15585	1.81464	1.29611	1.65953	1.87949	0.9187	1.0864	0.41706	0.58052	0.82366	0.58403	1.14459	1.16935	1.34053	1.71165	1.80711	1.79965	1.49095	1.42976	1.03479	0.91315	1.08676	0.88223	0.6975	0.63675	0.98059	0.95901	0.97004	0.95567	0.90822	0.80106	0.64567	0
