lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	0.04176	0.65273	0.58231	0.43477	0.29566	0.18053	0.11351	0.52339	0.55785	0.15592	0.53324	0.38757	0.35819	0	0	0	0	0	0	0	0	0	0	0.48375	1.01114	0.72606	0.43228	0.19691	0	0	0	0	0	0.10009	0.63618	1.04148	1.05399	0.67371	0.16264	0.16264	0.67371	1.05399	1.04148	0.63618	0.10009	0	0	0	0	0	0.19691	0.43228	0.72606	1.01114	0.48375	0	0	0	0	0	0	0	0	0	0	0.35819	0.38757	0.53324	0.15592	0.55785	0.52339	0.11351	0.18053	0.29566	0.43477	0.58231	0.65273	0.85772
4	0.86664	0.29508	0.34865	0.38518	0.40785	0.41968	0.42202	0.56885	0.29936	0.04884	0.37885	0.3263	0.119	0	0	0	0	0	0	0.81727	0.57742	0.8762	1.67982	1.48597	1.58195	1.70936	2.08765	1.28554	1.74862	0.37157	0.41217	0.68006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68006	0.41217	0.37157	1.74862	1.28554	2.08765	1.70936	1.58195	1.48597	1.67982	0.8762	0.57742	0.81727	0	0	0	0	0	0	0.119	0.3263	0.37885	0.04884	0.29936	0.56885	0.42202	0.41968	0.40785	0.38518	0.34865	0.29508	0.1997
5	0.55068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15109	1.68152	0.80971	0.70438	0.74488	0.37615	0.80831	0.17206	0	0.41449	0.89087	1.20193	1.49452	1.55407	1.38057	1.18861	1.18861	1.38057	1.55407	1.49452	1.20193	0.89087	0.41449	0	0.17206	0.80831	0.37615	0.74488	0.70438	0.80971	1.68152	0.15109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.56165
6	0	0.93231	1.02029	0.99002	0.94005	0.86051	0.76122	0.38636	0.49209	0.47812	0.48096	0.587	0.78018	1.0103	1.25502	0.62798	0.79105	0.99607	0.94249	0.40778	0.99735	0.62015	1.2365	1.55952	1.74809	1.76479	1.64444	1.22048	1.13103	1.19663	0.98022	0.58259	1.37432	1.5944	1.87165	2.1647	2.19221	1.95418	1.73194	1.73194	1.95418	2.19221	2.1647	1.87165	1.5944	1.37432	0.58259	0.98022	1.19663	1.13103	1.22048	1.64444	1.76479	1.74809	1.55952	1.2365	0.62015	0.99735	0.40778	0.94249	0.99607	0.79105	0.62798	1.25502	1.0103	0.78018	0.587	0.48096	0.47812	0.49209	0.38636	0.76122	0.86051	0.94005	0.99002	1.02029	0.93231	1.16489
7	0	0.0754	0.38052	0.41534	0.65717	0.91425	1.16625	1.1877	1.38601	1.51927	1.32888	1.45806	1.16891	1.27867	1.11587	1.586	1.23367	1.55645	1.74739	1.64707	2.2286	1.54266	1.79531	1.94269	1.8465	1.84499	2.35755	2.82831	2.78442	2.95377	3.34045	2.95933	3.3069	2.689	2.42561	2.18947	2.11223	2.1939	2.30281	2.30281	2.1939	2.11223	2.18947	2.42561	2.689	3.3069	2.95933	3.34045	2.95377	2.78442	2.82831	2.35755	1.84499	1.8465	1.94269	1.79531	1.54266	2.2286	1.64707	1.74739	1.55645	1.23367	1.586	1.11587	1.27867	1.16891	1.45806	1.32888	1.51927	1.38601	1.1877	1.16625	0.91425	0.65717	0.41534	0.38052	0.0754	2.9814
8	0.49816	0.27122	0.74127	0.84316	1.19174	1.53063	1.827	1.70305	1.46336	2.02812	1.89244	1.838	1.73346	1.78876	1.58768	1.80896	2.21008	2.40767	2.45795	2.29911	2.54227	3.4347	3.6104	3.92803	4.36104	4.70351	4.87131	4.77452	4.50443	4.5842	3.95738	3.32437	2.56816	2.43236	2.35064	2.45958	2.4426	2.29972	2.34748	2.34748	2.29972	2.4426	2.45958	2.35064	2.43236	2.56816	3.32437	3.95738	4.5842	4.50443	4.77452	4.87131	4.70351	4.36104	3.92803	3.6104	3.4347	2.54227	2.29911	2.45795	2.40767	2.21008	1.80896	1.58768	1.78876	1.73346	1.838	1.89244	2.02812	1.46336	1.70305	1.827	1.53063	1.19174	0.84316	0.74127	0.27122	3.97616
9	0	1.35509	1.67367	1.70699	1.84229	1.96871	2.09188	2.07513	2.14047	2.20608	2.48586	2.53554	2.98756	3.16061	3.17322	3.25939	4.06054	4.43272	4.62056	4.66726	5.03542	5.5832	6.14691	6.66857	6.49727	6.39559	5.88861	5.902	5.4789	4.99087	4.32572	3.62448	3.45156	3.55794	3.51482	3.45469	3.46798	3.55471	3.62443	3.62443	3.55471	3.46798	3.45469	3.51482	3.55794	3.45156	3.62448	4.32572	4.99087	5.4789	5.902	5.88861	6.39559	6.49727	6.66857	6.14691	5.5832	5.03542	4.66726	4.62056	4.43272	4.06054	3.25939	3.17322	3.16061	2.98756	2.53554	2.48586	2.20608	2.14047	2.07513	2.09188	1.96871	1.84229	1.70699	1.67367	1.35509	3.16786
10	0	1.73782	2.08542	2.16225	2.31815	2.47062	2.63394	2.75501	2.82467	3.25397	3.33588	3.99151	4.33717	4.64803	4.86352	5.56834	6.00702	6.68585	7.02611	7.70039	8.10798	8.64204	8.6854	8.76413	8.22415	7.98754	7.62295	6.81904	5.66379	5.09031	4.27428	3.75492	3.76847	3.24207	3.00519	2.8446	2.7788	2.80779	2.91307	2.91307	2.80779	2.7788	2.8446	3.00519	3.24207	3.76847	3.75492	4.27428	5.09031	5.66379	6.81904	7.62295	7.98754	8.22415	8.76413	8.6854	8.64204	8.10798	7.70039	7.02611	6.68585	6.00702	5.56834	4.86352	4.64803	4.33717	3.99151	3.33588	3.25397	2.82467	2.75501	2.63394	2.47062	2.31815	2.16225	2.08542	1.73782	3.14624
11	0	1.63987	2.09994	2.12759	2.38035	2.66156	2.97875	3.30144	3.68268	3.57108	4.18716	4.93873	5.12176	5.80196	6.92435	7.36132	8.39014	8.96455	9.76534	10.18405	10.93442	10.99923	11.66206	11.34598	10.64418	10.19371	9.44405	7.96466	6.56541	5.7833	4.34927	3.8567	3.53165	3.42077	3.37048	3.43233	3.41847	3.32891	3.35147	3.35147	3.32891	3.41847	3.43233	3.37048	3.42077	3.53165	3.8567	4.34927	5.7833	6.56541	7.96466	9.44405	10.19371	10.64418	11.34598	11.66206	10.99923	10.93442	10.18405	9.76534	8.96455	8.39014	7.36132	6.92435	5.80196	5.12176	4.93873	4.18716	3.57108	3.68268	3.30144	2.97875	2.66156	2.38035	2.12759	2.09994	1.63987	4.95591
12	1.03472	1.99432	2.57703	2.68549	3.02787	3.3892	3.77494	3.60127	4.74822	4.90886	5.53951	5.53532	6.21088	7.30941	8.64674	9.92749	10.93151	12.02847	12.83334	13.21368	13.92047	13.18787	13.2215	12.02921	11.56578	10.27168	9.3228	8.37185	7.22605	6.87343	6.05211	4.92092	4.83321	4.70081	4.61569	4.59448	4.57794	4.56604	4.61807	4.61807	4.56604	4.57794	4.59448	4.61569	4.70081	4.83321	4.92092	6.05211	6.87343	7.22605	8.37185	9.3228	10.27168	11.56578	12.02921	13.2215	13.18787	13.92047	13.21368	12.83334	12.02847	10.93151	9.92749	8.64674	7.30941	6.21088	5.53532	5.53951	4.90886	4.74822	3.60127	3.77494	3.3892	3.02787	2.68549	2.57703	1.99432	5.48352
