lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
3	0	0.04829	0.0651	0.00525	0	0	0	0.34276	0.54089	0.52676	0.53633	0.38456	0.35096	0.1582	0	0	0	0	0	0	0	0	0	0.13529	0	0.65284	4.09232	4.24087	4.3767	3.65962	3.0175	1.2976	0.38976	0.16704	0.1392	0.11136	0.08352	0.05568	0.02784	0.02784	0.05568	0.08352	0.11136	0.1392	0.16704	0.38976	1.2976	3.0175	3.65962	4.3767	4.24087	4.09232	0.65284	0	0.13529	0	0	0	0	0	0	0	0	0	0.1582	0.35096	0.38456	0.53633	0.52676	0.54089	0.34276	0	0	0	0.00525	0.0651	0.04829	0
4	0.02736	0	0	0	0	0	0	0.23852	0.11283	0.22655	0.44269	0.42472	0.21905	0.38449	0.10084	0.24085	0.12798	0.06106	0.08452	0.09973	0	0	0	0	0	0	0	0	0	0	0	0	0.46511	0.69176	0.81488	0.85329	0.88162	0.89987	0.83341	0.83341	0.89987	0.88162	0.85329	0.81488	0.69176	0.46511	0	0	0	0	0	0	0	0	0	0	0	0	0.09973	0.08452	0.06106	0.12798	0.24085	0.10084	0.38449	0.21905	0.42472	0.44269	0.22655	0.11283	0.23852	0	0	0	0	0	0	0.02736
5	0.36101	0	0	0	0	0	0.22195	0.30694	0.31174	0.28287	0.22372	0.05903	0.0918	0	0	0	0	0	0.30985	0.33275	0.35256	0.45865	0.26504	0.35031	0.20448	0	0.1182	0	0	0	0	0.1936	0.31323	0.46979	0.47501	0.36723	0.3868	0.53372	0.56764	0.56764	0.53372	0.3868	0.36723	0.47501	0.46979	0.31323	0.1936	0	0	0	0	0.1182	0	0.20448	0.35031	0.26504	0.45865	0.35256	0.33275	0.30985	0	0	0	0	0	0.0918	0.05903	0.22372	0.28287	0.31174	0.30694	0.22195	0	0	0	0	0	0.36101
6	0.06355	0	0	0	0	0	0.00127	0	0.13314	0.38321	0.46787	0.59138	0.45581	0.45153	0.39986	0	0.26754	0.21973	0.21242	0	0.37048	0.01753	0.16729	0.06552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06552	0.16729	0.01753	0.37048	0	0.21242	0.21973	0.26754	0	0.39986	0.45153	0.45581	0.59138	0.46787	0.38321	0.13314	0	0.00127	0	0	0	0	0	0.06355
7	0.37866	0	0	0	0	0	0.2834	0.43003	0.29269	0.4336	0.49934	0.41125	0.10901	0.12572	0.02928	0	0	0	0	0	0	0	0	0	0	0	0.14657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14657	0	0	0	0	0	0	0	0	0	0	0	0.02928	0.12572	0.10901	0.41125	0.49934	0.4336	0.29269	0.43003	0.2834	0	0	0	0	0	0.37866
8	0.26656	0	0	0	0	0	0.23321	0.25759	0.25957	0.22815	0.03761	0.20062	0.08621	0	0	0	0	0.34607	0.40062	0.32235	0.18932	0	0	0.04565	0	0	0	0	0	0	0	0.29961	0.16044	0.37733	0.40209	0.36305	0.39016	0.48343	0.51289	0.51289	0.48343	0.39016	0.36305	0.40209	0.37733	0.16044	0.29961	0	0	0	0	0	0	0	0.04565	0	0	0.18932	0.32235	0.40062	0.34607	0	0	0	0	0.08621	0.20062	0.03761	0.22815	0.25957	0.25759	0.23321	0	0	0	0	0	0.26656
9	0.20147	0	0	0	0	0	0.20861	0.2104	0.28346	0.28377	0.24049	0.16937	0.04323	0	0	0	0.02691	0.26465	0.04431	0.47841	0.25476	0.71802	0.61411	0.35672	0	0	2.56335	2.58327	2.70624	2.05808	1.43435	0.77743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77743	1.43435	2.05808	2.70624	2.58327	2.56335	0	0	0.35672	0.61411	0.71802	0.25476	0.47841	0.04431	0.26465	0.02691	0	0	0	0.04323	0.16937	0.24049	0.28377	0.28346	0.2104	0.20861	0	0	0	0	0	0.20147
10	0.24097	0	0	0	0	0	0.19268	0.24173	0.17545	0.08783	0.36467	0.3199	0.11918	0.15549	0.12004	0	0.19392	0	0.68027	0.7349	0.68758	0.62721	0.72722	0.14815	0.05395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05395	0.14815	0.72722	0.62721	0.68758	0.7349	0.68027	0	0.19392	0	0.12004	0.15549	0.11918	0.3199	0.36467	0.08783	0.17545	0.24173	0.19268	0	0	0	0	0	0.24097
11	0.46825	0	0	0	0	0	0.3391	0.25472	0.46354	0.60164	0.81499	0.71977	0.46515	0.32169	0.03473	0	0	0	0	0	0	0	0	0	0	0	0	0.1258	0.18058	0.02384	0.27621	0.06198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06198	0.27621	0.02384	0.18058	0.1258	0	0	0	0	0	0	0	0	0	0	0	0	0.03473	0.32169	0.46515	0.71977	0.81499	0.60164	0.46354	0.25472	0.3391	0	0	0	0	0	0.46825
12	0.47002	0	0	0	0	0	0.43751	0.52458	0.58005	0.60709	0.76563	0.50396	0.59715	0.59787	0.47159	0.03303	0.8919	0.68898	0.20444	0.32555	0	0	0	0	0	0	0	0	0	0.1956	0.23768	0.42905	0.6941	0.89622	0.97111	0.96024	0.98551	1.0469	1.02254	1.02254	1.0469	0.98551	0.96024	0.97111	0.89622	0.6941	0.42905	0.23768	0.1956	0	0	0	0	0	0	0	0	0	0.32555	0.20444	0.68898	0.8919	0.03303	0.47159	0.59787	0.59715	0.50396	0.76563	0.60709	0.58005	0.52458	0.43751	0	0	0	0	0	0.47002
