DFB	WATER *
mm	3 mm central line
	LEAN 700
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0
3	3.794655
4	1.09186
5	1.695135
6	1.941575
7	2.274155
8	4.141935
9	3.879305
10	5.13516
11	5.92682
12	6.88229
13	8.00949
14	9.181285
15	10.441615
16	11.392425
17	12.935155
18	13.839745
19	15.034225
20	15.349665
21	17.230725
22	17.940945
23	18.964175
24	19.676765
25	19.82405
26	20.90563
27	20.85325
28	20.57057
29	21.55797
30	21.2963
31	21.01108
32	19.93619
33	18.87413
34	18.67428
35	18.55283
36	17.72326
37	16.85776
38	15.387015
39	13.506685
40	12.836245
41	12.177865
42	10.984715
43	8.79404
44	8.00334
45	7.05261
