DFB	WATER *
mm	3 mm central line
	LEAN 300
0	0
1	0
2	0
3	0
4	0
5	0.06077
6	0.95541
7	0.324235
8	1.31741
9	1.257295
10	1.725405
11	2.969255
12	3.919125
13	3.62066
14	4.881205
15	4.49328
16	5.84582
17	7.18919
18	7.883355
19	8.51317
20	10.072645
21	10.608995
22	11.25754
23	12.77867
24	12.22353
25	13.618265
