lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
0	1.00447	0.02048	0.01595	0	0	0	0	0	0	0	0	0.11475	0	0.13287	0.15707	0	0.09775	0.08728	0.25236	0.15028	0.06026	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0.06026	0.15028	0.25236	0.08728	0.09775	0	0.15707	0.13287	0	0.11475	0	0	0	0	0	0	0	0	0.01595	0.02048	1.00447
1	0.18249	0.05301	0.05024	0.02962	0.01643	0.00536	0	0	0	0.08733	0.06814	0	0	0.63634	0.96542	0.99904	1.05678	0.66544	0.6548	0.62457	0.33774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33774	0.62457	0.6548	0.66544	1.05678	0.99904	0.96542	0.63634	0	0	0.06814	0.08733	0	0	0	0.00536	0.01643	0.02962	0.05024	0.05301	0.18249
2	1.54995	0	0	0	0	0	0	0	0	0.06342	0.27901	0.26732	0.21101	0.16182	0.08947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08947	0.16182	0.21101	0.26732	0.27901	0.06342	0	0	0	0	0	0	0	0	1.54995
3	1.58901	0	0	0	0	0	0	0.14097	0.17984	0.13415	0.03245	0.12151	0.06303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06303	0.12151	0.03245	0.13415	0.17984	0.14097	0	0	0	0	0	0	1.58901
4	121.9104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.9104
5	0.56909	0.3558	0.34202	0.28041	0.23446	0.20491	0.20372	0.18419	0.45168	0.50981	1.08534	1.00004	0.85538	0.45098	0	0	0	0	0	0.59518	1.50915	1.97464	2.77873	2.33177	2.37572	2.23761	1.27568	1.6295	1.45742	1.59312	1.56498	1.18706	0.5672	0.24309	0.20257	0.16206	0.12154	0.08103	0.04051	0.04051	0.08103	0.12154	0.16206	0.20257	0.24309	0.5672	1.18706	1.56498	1.59312	1.45742	1.6295	1.27568	2.23761	2.37572	2.33177	2.77873	1.97464	1.50915	0.59518	0	0	0	0	0	0.45098	0.85538	1.00004	1.08534	0.50981	0.45168	0.18419	0.20372	0.20491	0.23446	0.28041	0.34202	0.3558	0.56909
6	2.18657	0.28896	0.38047	0.26977	0.29008	0.33723	0.41394	0.45929	0.88655	0.91154	0.52238	0.74559	0.73494	0.98357	1.05781	1.25587	1.42498	1.30947	1.50864	1.97789	2.11774	2.02237	1.33991	1.81796	1.61672	1.79236	1.33699	1.42324	1.32956	0.99183	1.65715	1.26611	1.1922	1.06305	0.97693	0.89945	0.8833	0.9285	0.98232	0.98232	0.9285	0.8833	0.89945	0.97693	1.06305	1.1922	1.26611	1.65715	0.99183	1.32956	1.42324	1.33699	1.79236	1.61672	1.81796	1.33991	2.02237	2.11774	1.97789	1.50864	1.30947	1.42498	1.25587	1.05781	0.98357	0.73494	0.74559	0.52238	0.91154	0.88655	0.45929	0.41394	0.33723	0.29008	0.26977	0.38047	0.28896	2.18657
7	1.26331	0.4272	0.63505	0.73346	0.88495	1.02585	1.14885	0.84131	1.17302	1.64292	1.32746	1.68105	2.13936	1.75786	1.84552	1.82907	1.47908	1.95325	1.68176	1.69908	2.06236	2.40015	2.16198	2.52998	2.16113	1.78118	1.79986	1.48305	1.47327	1.50361	1.04399	0.85361	0.86506	0.5425	0.42854	0.39403	0.35371	0.30758	0.34089	0.34089	0.30758	0.35371	0.39403	0.42854	0.5425	0.86506	0.85361	1.04399	1.50361	1.47327	1.48305	1.79986	1.78118	2.16113	2.52998	2.16198	2.40015	2.06236	1.69908	1.68176	1.95325	1.47908	1.82907	1.84552	1.75786	2.13936	1.68105	1.32746	1.64292	1.17302	0.84131	1.14885	1.02585	0.88495	0.73346	0.63505	0.4272	1.26331
