lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	0.26083	0	0	0	0	0	0	0.07831	0.11669	0.06066	0.12544	0.08522	0.07572	0	0.02176	0.15844	0.03051	0.09404	0.04743	0.11464	0.08346	0	0.01084	0	0	0	0	0	0	0.1741	0.09989	0.26148	0.20296	0.1195	0.08061	0.07018	0.05975	0.04932	0.06733	0.06733	0.04932	0.05975	0.07018	0.08061	0.1195	0.20296	0.26148	0.09989	0.1741	0	0	0	0	0	0	0.01084	0	0.08346	0.11464	0.04743	0.09404	0.03051	0.15844	0.02176	0	0.07572	0.08522	0.12544	0.06066	0.11669	0.07831	0	0	0	0	0	0	0.26083
-4	0	1.50059	1.53336	1.37295	1.04328	0.64816	0.23644	0.27594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98016	2.23053	2.25143	2.07479	1.69907	1.07329	0.03184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03184	1.07329	1.69907	2.07479	2.25143	2.23053	0.98016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27594	0.23644	0.64816	1.04328	1.37295	1.53336	1.50059	0
-3	0.60903	0	0	0	0	0	0	0	0	0.01721	0.10183	0.09603	0.08221	0.05169	0	0	0.02077	0.01929	0	0	0.01533	0.00102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102	0.01533	0	0	0.01929	0.02077	0	0	0.05169	0.08221	0.09603	0.10183	0.01721	0	0	0	0	0	0	0	0	0.60903
-2	0.11695	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35748	0.53594	0.5047	0.6839	0.60371	0.47808	0.28284	0.02986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02986	0.28284	0.47808	0.60371	0.6839	0.5047	0.53594	0.35748	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11695
-1	1.22381	0	4.7082E-5	0	0	0	0	0	0	0	0	0	0.33763	0.5153	0.50284	0.567	0.39398	0.22459	0.03035	0	0	0	0	0	0.23699	1.42192	1.39693	1.33897	1.07721	0.66271	0.08431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08431	0.66271	1.07721	1.33897	1.39693	1.42192	0.23699	0	0	0	0	0	0.03035	0.22459	0.39398	0.567	0.50284	0.5153	0.33763	0	0	0	0	0	0	0	0	0	4.7082E-5	0	1.22381
0	0.30849	0.27948	0.22403	0.13532	0.03967	0	0	0	0	0	0	0.02046	0.35332	0.5288	0.42032	0.40221	0.50197	0.36555	0.1552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1552	0.36555	0.50197	0.40221	0.42032	0.5288	0.35332	0.02046	0	0	0	0	0	0	0.03967	0.13532	0.22403	0.27948	0.30849
1	0.08297	0.1118	0.09926	0.07697	0.04818	0.01797	0	0	0	0	0	0	0	0.08199	0.16357	0.16259	0	0.21717	0	0.09625	0	0.70939	1.33918	3.7203	3.3728	4.15443	3.49799	1.37662	0.55172	1.22072	1.39698	5.72645E-4	0	1.7715	3.08991	2.72552	2.94695	3.75422	2.87869	2.87869	3.75422	2.94695	2.72552	3.08991	1.7715	0	5.72645E-4	1.39698	1.22072	0.55172	1.37662	3.49799	4.15443	3.3728	3.7203	1.33918	0.70939	0	0.09625	0	0.21717	0	0.16259	0.16357	0.08199	0	0	0	0	0	0	0	0.01797	0.04818	0.07697	0.09926	0.1118	0.08297
2	0.93672	0	0	0	0	0.19824	0.31167	0	0.36968	8.05893	8.68552	8.8542	7.90649	6.23265	3.87541	1.49246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49246	3.87541	6.23265	7.90649	8.8542	8.68552	8.05893	0.36968	0	0.31167	0.19824	0	0	0	0	0.93672
