lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	1798.097	1662.122	1632.543	1637.979	1667.732	1737.934	-1	-1	-1	-1	-1	1670.081	-1	1598.873	1510.784	1353.001	1500.559	1646.726	1633.331	1634.176	-1	-1	-1	-1	-1	1653.864	1799.536	1684.681	-1	1692.631	-1	-1	-1	-1	1595.198	1508.493	1493.686	1544.114	1582.398	1582.398	1544.114	1493.686	1508.493	1595.198	-1	-1	-1	-1	1692.631	-1	1684.681	1799.536	1653.864	-1	-1	-1	-1	-1	1634.176	1633.331	1646.726	1500.559	1353.001	1510.784	1598.873	-1	1670.081	-1	-1	-1	-1	-1	1737.934	1667.732	1637.979
-4	1565.856	1643.304	1687.151	1664.169	1635.842	1665.218	1651.204	1433.749	1134.404	1319.965	1256.384	1530.472	1781.229	1541.323	1654.793	1764.846	1624.196	-1	1704.403	1839.871	-1	1801.61	-1	-1	-1	-1	-1	-1	1640.927	1627.84	1501.021	1439.589	1196.496	1319.887	1409.376	1492.107	1501.547	1441.983	1382.744	1382.744	1441.983	1501.547	1492.107	1409.376	1319.887	1196.496	1439.589	1501.021	1627.84	1640.927	-1	-1	-1	-1	-1	-1	1801.61	-1	1839.871	1704.403	-1	1624.196	1764.846	1654.793	1541.323	1781.229	1530.472	1256.384	1319.965	1134.404	1433.749	1651.204	1665.218	1635.842	1664.169
-3	1864.622	1570.861	1639.558	1695.347	1751.562	1787.505	1789.683	1869.952	1709.92	1589.936	1545.967	1506.488	1623.691	1545.977	1454.718	1366.304	1553.2	1401.314	1536.789	1268.531	1327.322	1042.206	1586.034	1528.023	1460.197	1601.248	1723.435	1633.483	1667.964	1766.213	1808.672	1765.762	1927.472	1913.99	1913.258	1929.569	1927.765	1908.254	1905.948	1905.948	1908.254	1927.765	1929.569	1913.258	1913.99	1927.472	1765.762	1808.672	1766.213	1667.964	1633.483	1723.435	1601.248	1460.197	1528.023	1586.034	1042.206	1327.322	1268.531	1536.789	1401.314	1553.2	1366.304	1454.718	1545.977	1623.691	1506.488	1545.967	1589.936	1709.92	1869.952	1789.683	1787.505	1751.562	1695.347
-2	1575.841	1783.938	1801.904	1812.246	1786.073	1741.058	1722.538	1729.588	1790.826	1772.158	1561.793	1582.044	1581.091	1389.413	1315.632	1371.336	1390.335	1166.279	1368.672	1665.384	-1	1844.443	1776.1	-1	1746.599	-1	-1	-1	-1	-1	-1	1933.09	1763.677	1693.336	1652.869	1620.68	1608.475	1624.791	1650.45	1650.45	1624.791	1608.475	1620.68	1652.869	1693.336	1763.677	1933.09	-1	-1	-1	-1	-1	-1	1746.599	-1	1776.1	1844.443	-1	1665.384	1368.672	1166.279	1390.335	1371.336	1315.632	1389.413	1581.091	1582.044	1561.793	1772.158	1790.826	1729.588	1722.538	1741.058	1786.073	1812.246
-1	2007.811	1369.198	1473.296	1561.957	1659.988	1758.362	1805.93	1772.544	1807.874	1510.057	1683.684	1241.127	1200.737	1101.681	892.103	1167.004	1300.164	1195.556	1028.884	1274.855	-1	-1	-1	-1	-1	-1	-1	-1	1823.126	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1823.126	-1	-1	-1	-1	-1	-1	-1	-1	1274.855	1028.884	1195.556	1300.164	1167.004	892.103	1101.681	1200.737	1241.127	1683.684	1510.057	1807.874	1772.544	1805.93	1758.362	1659.988	1561.957
0	1424.444	1538.936	1556.313	1601.05	1617.172	1625.876	1642.001	1751.504	1715.639	1598.436	1726.42	1700.598	1392.967	1142.393	1050.194	1040.508	1006.778	1060.811	1266.927	1448.12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1448.12	1266.927	1060.811	1006.778	1040.508	1050.194	1142.393	1392.967	1700.598	1726.42	1598.436	1715.639	1751.504	1642.001	1625.876	1617.172	1601.05
1	1186.618	1437.781	1528.431	1657.069	1701.409	1715.433	1711.053	1806.153	1861.642	1816.644	-1	1316.737	1407.943	1271.053	1068.361	1232.513	1131.978	1104.614	1243.869	1304.44	1283.331	-1	-1	1134.453	-1	-1	-1	-1	-1	-1	-1	1943.614	1924.112	-1	-1	1965.198	1974.347	-1	-1	-1	-1	1974.347	1965.198	-1	-1	1924.112	1943.614	-1	-1	-1	-1	-1	-1	-1	1134.453	-1	-1	1283.331	1304.44	1243.869	1104.614	1131.978	1232.513	1068.361	1271.053	1407.943	1316.737	-1	1816.644	1861.642	1806.153	1711.053	1715.433	1701.409	1657.069
