DFB	BB TEMP TRIAUD FE2O3
mm	3 mm central line
	LEAN 700
-5	1414.3415
-4	-1
-3	-1
-2	-1
-1	855.4275
0	1449.5625
1	1333.546
2	1529.741
3	1828.0465
4	1681.872
5	1693.151
6	1794.278
7	1886.232
8	2188.339
9	2203.8985
10	2275.1275
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	2157.0945
24	2055.535
25	2078.5615
26	1742.788
27	1882.591
28	1960.0875
29	1816.974
30	1758.553
31	1526.9225
32	1560.671
33	1173.2515
34	1265.746
35	1688.441
36	1533.4835
37	1415.8255
38	-1
39	1545.542
40	-1
41	-1
42	-1
43	1466.4725
44	-1
45	-1
