lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
2	2204.685	1101.18	1088.17	1066.25	-1	-1	2282.953	1795.659	1727.263	1618.936	1531.302	1613.605	1419.594	1582.023	1620.403	1621.909	1557.964	1641.293	1502.652	1358.157	1423.63	1267.743	1192.738	1165.063	1146.68	1130.431	1177.382	1238.207	1250.288	1364.604	1431.294	1298.159	1359.375	1377.377	1464.181	1594.101	1601.348	1481.06	1394.302	1394.302	1481.06	1601.348	1594.101	1464.181	1377.377	1359.375	1298.159	1431.294	1364.604	1250.288	1238.207	1177.382	1130.431	1146.68	1165.063	1192.738	1267.743	1423.63	1358.157	1502.652	1641.293	1557.964	1621.909	1620.403	1582.023	1419.594	1613.605	1531.302	1618.936	1727.263	1795.659	2282.953	-1	-1	1066.25
3	2248.139	1431.307	1417.114	-1	-1	-1	-1	1961.077	1719.647	1724.865	1638.012	1581.863	1453.773	1474.965	1487.446	1450.252	1271.535	1335.384	1471.863	1449.341	1421.557	1680.186	1403.861	1597.592	1198.551	1792.463	1633.809	1287.656	1172.327	1224.738	1282.958	1223.722	1311.344	1330.811	1395.865	1439.542	1442.147	1403.542	1343.72	1343.72	1403.542	1442.147	1439.542	1395.865	1330.811	1311.344	1223.722	1282.958	1224.738	1172.327	1287.656	1633.809	1792.463	1198.551	1597.592	1403.861	1680.186	1421.557	1449.341	1471.863	1335.384	1271.535	1450.252	1487.446	1474.965	1453.773	1581.863	1638.012	1724.865	1719.647	1961.077	-1	-1	-1	-1
4	-1	1474.837	1441.941	1294.842	-1	-1	-1	1933.559	1805.881	1599.27	1613.657	1617.101	1479.462	1544.346	1620.263	1557.067	1286.887	1407.797	1361.273	1469.248	1450.007	1385.309	1495.705	1421.778	1347.141	1337.171	1132.458	1139.502	1092.021	1124.405	1440.942	1651.934	1646.418	1680.379	1701.712	1715.306	1716.806	1707.298	1693.211	1693.211	1707.298	1716.806	1715.306	1701.712	1680.379	1646.418	1651.934	1440.942	1124.405	1092.021	1139.502	1132.458	1337.171	1347.141	1421.778	1495.705	1385.309	1450.007	1469.248	1361.273	1407.797	1286.887	1557.067	1620.263	1544.346	1479.462	1617.101	1613.657	1599.27	1805.881	1933.559	-1	-1	-1	1294.842
5	-1	1549.656	1418.468	1177	-1	-1	-1	1909.142	1735.349	1635.669	1575.114	1448.147	1360.02	1433.469	1498.256	1480.33	1471.053	1590.779	1578.307	1496.714	1700.688	1590.413	1721.499	1505.809	1420.67	1505.707	1367.207	1184.099	1146.32	1319.484	1586.745	1420.81	1558.383	1518.239	1497.369	1500.058	1495.108	1482.006	1490.812	1490.812	1482.006	1495.108	1500.058	1497.369	1518.239	1558.383	1420.81	1586.745	1319.484	1146.32	1184.099	1367.207	1505.707	1420.67	1505.809	1721.499	1590.413	1700.688	1496.714	1578.307	1590.779	1471.053	1480.33	1498.256	1433.469	1360.02	1448.147	1575.114	1635.669	1735.349	1909.142	-1	-1	-1	1177
6	2133.625	1126.668	1063.454	1028.995	-1	-1	-1	1760.78	1699.672	1603.833	1598.232	1535.622	1503.728	1397.125	1336.987	1337.29	1319.617	1343.872	1317.749	1393.236	1351.446	1362.119	1413.61	1263.503	1208.361	1182.595	1281.737	1312.02	1243.126	1599.867	1420.219	1407.281	1637.245	1436.086	1433.581	1573.273	1560.913	1365.542	1300.23	1300.23	1365.542	1560.913	1573.273	1433.581	1436.086	1637.245	1407.281	1420.219	1599.867	1243.126	1312.02	1281.737	1182.595	1208.361	1263.503	1413.61	1362.119	1351.446	1393.236	1317.749	1343.872	1319.617	1337.29	1336.987	1397.125	1503.728	1535.622	1598.232	1603.833	1699.672	1760.78	-1	-1	-1	1028.995
7	1984.417	1383.124	1431.459	-1	-1	-1	2171.107	1764.981	1674.108	1560.576	1513.502	1535.711	1485.459	1415.404	1577.648	1554.504	1597.298	1233.674	1395.83	1469.373	1560.931	1521.888	1672.998	1592.113	1495.971	1313.877	1173.253	1167.325	1233.033	1190.201	1452.933	1401.388	1571.403	1587.654	1627.884	1667.864	1669.568	1633.547	1597.684	1597.684	1633.547	1669.568	1667.864	1627.884	1587.654	1571.403	1401.388	1452.933	1190.201	1233.033	1167.325	1173.253	1313.877	1495.971	1592.113	1672.998	1521.888	1560.931	1469.373	1395.83	1233.674	1597.298	1554.504	1577.648	1415.404	1485.459	1535.711	1513.502	1560.576	1674.108	1764.981	2171.107	-1	-1	-1
8	2062.764	1290.932	1252.834	1230.042	-1	-1	-1	1756.622	1493.212	1469.517	1485.035	1470.652	1277.019	1534.292	1647.566	1655.913	1623.132	1714.005	1583.76	1304.014	1380.35	1495.165	1511.204	1420.482	1281.506	1537.61	1441.157	1435.599	1459.07	1517.867	1393.223	1561.86	1654.784	1694.692	1722.634	1750.871	1755.508	1737.461	1720.154	1720.154	1737.461	1755.508	1750.871	1722.634	1694.692	1654.784	1561.86	1393.223	1517.867	1459.07	1435.599	1441.157	1537.61	1281.506	1420.482	1511.204	1495.165	1380.35	1304.014	1583.76	1714.005	1623.132	1655.913	1647.566	1534.292	1277.019	1470.652	1485.035	1469.517	1493.212	1756.622	-1	-1	-1	1230.042
9	1916.425	1103.767	1116.637	1177	-1	-1	2024.017	1792.031	1644.497	1582.761	1515.94	1583.892	1578.247	1562.428	1696.86	1720.507	1531.644	1639.813	1578.603	1305.423	1272.126	1333.693	1753.447	1799.487	1740.669	1533	1526.884	1461.016	1461.809	1541.394	1543.913	1539.915	1661.439	1674.16	1722.337	1758.576	1761.713	1730.056	1683.931	1683.931	1730.056	1761.713	1758.576	1722.337	1674.16	1661.439	1539.915	1543.913	1541.394	1461.809	1461.016	1526.884	1533	1740.669	1799.487	1753.447	1333.693	1272.126	1305.423	1578.603	1639.813	1531.644	1720.507	1696.86	1562.428	1578.247	1583.892	1515.94	1582.761	1644.497	1792.031	2024.017	-1	-1	1177
10	1953.557	1460.001	1485.262	-1	-1	-1	-1	1770.242	1646.787	1532.194	1532.937	1560.308	1541.656	1481.184	1550.503	1504.32	1426.24	1276.002	1204.794	1200.645	1129.285	1163.579	1169.339	1252.622	1287.526	1391.722	1536.904	1452.572	1329.829	1418.273	1438.396	1443.582	1634.797	1638.246	1643.14	1652.47	1652.551	1643.863	1639.946	1639.946	1643.863	1652.551	1652.47	1643.14	1638.246	1634.797	1443.582	1438.396	1418.273	1329.829	1452.572	1536.904	1391.722	1287.526	1252.622	1169.339	1163.579	1129.285	1200.645	1204.794	1276.002	1426.24	1504.32	1550.503	1481.184	1541.656	1560.308	1532.937	1532.194	1646.787	1770.242	-1	-1	-1	-1
11	1743.802	1058.613	952.607	934.334	-1	-1	1886.151	1671.798	1488.161	1418.155	1539.603	1469.504	1494.984	1507.332	1619.004	1645.411	1467.571	1508.745	1534.978	1228.449	1163.137	1160.4	1246.894	1198.397	1297.972	1336.107	1652.205	1375.461	1574.846	1726.854	1707.7	1623.48	1663.952	1654.809	1655.574	1659.295	1658.184	1651.987	1648.415	1648.415	1651.987	1658.184	1659.295	1655.574	1654.809	1663.952	1623.48	1707.7	1726.854	1574.846	1375.461	1652.205	1336.107	1297.972	1198.397	1246.894	1160.4	1163.137	1228.449	1534.978	1508.745	1467.571	1645.411	1619.004	1507.332	1494.984	1469.504	1539.603	1418.155	1488.161	1671.798	1886.151	-1	-1	934.334
12	1574.856	1349.286	1354.107	-1	-1	-1	1793.408	1456.916	1430.744	1402.577	1407.738	1428.497	1402.53	1410.862	1500.499	1580.8	1435.635	1361.598	1327.798	1235.817	1528.945	1431.068	1549.503	1518.657	1716.29	1487.558	1501.505	1391.828	1474.179	1528.166	1644.355	1556.849	1726.119	1725.542	1730.675	1719.461	1719.429	1730.423	1725.203	1725.203	1730.423	1719.429	1719.461	1730.675	1725.542	1726.119	1556.849	1644.355	1528.166	1474.179	1391.828	1501.505	1487.558	1716.29	1518.657	1549.503	1431.068	1528.945	1235.817	1327.798	1361.598	1435.635	1580.8	1500.499	1410.862	1402.53	1428.497	1407.738	1402.577	1430.744	1456.916	1793.408	-1	-1	-1
13	1575.417	1177.001	-1	-1	-1	-1	1771.508	1503.058	1401.108	1447.249	1370.392	1364.805	1351.894	1376.128	1372.387	1430.127	1450.931	1450.339	1409.035	1606.401	1544.203	1527.151	1293.932	1302.726	1543.371	1438.254	1521.631	1537.144	1545.988	1607.426	1654.878	1595.445	1665.333	1658.32	1665.688	1672.188	1671.47	1663.394	1654.424	1654.424	1663.394	1671.47	1672.188	1665.688	1658.32	1665.333	1595.445	1654.878	1607.426	1545.988	1537.144	1521.631	1438.254	1543.371	1302.726	1293.932	1527.151	1544.203	1606.401	1409.035	1450.339	1450.931	1430.127	1372.387	1376.128	1351.894	1364.805	1370.392	1447.249	1401.108	1503.058	1771.508	-1	-1	-1
14	1589.74	1123.022	940.022	-1	-1	-1	1691.62	1469.959	1476.311	1426.382	1473.364	1468.929	1421.545	1393.843	1417.827	1454.306	1314.303	1388.979	1314.492	1289.746	1369.282	1411.656	1600.667	1470.471	1535.949	1477.484	1600.193	1567.236	1629.72	1605.263	1659.304	1640.011	1709.496	1704.029	1709.404	1712.77	1712.196	1707.616	1701.075	1701.075	1707.616	1712.196	1712.77	1709.404	1704.029	1709.496	1640.011	1659.304	1605.263	1629.72	1567.236	1600.193	1477.484	1535.949	1470.471	1600.667	1411.656	1369.282	1289.746	1314.492	1388.979	1314.303	1454.306	1417.827	1393.843	1421.545	1468.929	1473.364	1426.382	1476.311	1469.959	1691.62	-1	-1	-1
15	1626.777	1231.183	1284.69	-1	-1	-1	1766.856	1462.16	1406.185	1402.533	1405.833	1391.235	1400.923	1360.663	1361.425	1429.89	1502.063	1451.281	1530.346	1462.281	1493.486	1560.307	1592.227	1517.598	1570.509	1558.498	1605.248	1624.41	1670.322	1663.657	1698.779	1685.497	1722.676	1729.462	1739.006	1748.556	1749.092	1740.939	1733.272	1733.272	1740.939	1749.092	1748.556	1739.006	1729.462	1722.676	1685.497	1698.779	1663.657	1670.322	1624.41	1605.248	1558.498	1570.509	1517.598	1592.227	1560.307	1493.486	1462.281	1530.346	1451.281	1502.063	1429.89	1361.425	1360.663	1400.923	1391.235	1405.833	1402.533	1406.185	1462.16	1766.856	-1	-1	-1
16	1479.398	-1	-1	-1	-1	-1	1630.112	1456.209	1385.612	1419.705	1406.619	1403.139	1370.276	1354.762	1389.515	1381.872	1436.448	1417.111	1404.47	1487.668	1521.567	1543.258	1573.147	1570.855	1620.069	1608.352	1647.893	1642.625	1685.099	1689.324	1725.768	1734.945	1769.319	1779.092	1788.725	1796.378	1797.309	1791.792	1784.731	1784.731	1791.792	1797.309	1796.378	1788.725	1779.092	1769.319	1734.945	1725.768	1689.324	1685.099	1642.625	1647.893	1608.352	1620.069	1570.855	1573.147	1543.258	1521.567	1487.668	1404.47	1417.111	1436.448	1381.872	1389.515	1354.762	1370.276	1403.139	1406.619	1419.705	1385.612	1456.209	1630.112	-1	-1	-1
17	1474.783	-1	-1	-1	-1	-1	1651.415	1333.154	1389.192	1408.627	1422.353	1390.549	1378.496	1365.024	1385.177	1387.484	1464.398	1451.967	1494.76	1481.801	1558.992	1535.948	1566.963	1584.862	1617.92	1622.728	1661.385	1673.286	1697.855	1720.223	1751.592	1761.945	1789.772	1801.415	1811.814	1820.929	1822.141	1815.672	1808.283	1808.283	1815.672	1822.141	1820.929	1811.814	1801.415	1789.772	1761.945	1751.592	1720.223	1697.855	1673.286	1661.385	1622.728	1617.92	1584.862	1566.963	1535.948	1558.992	1481.801	1494.76	1451.967	1464.398	1387.484	1385.177	1365.024	1378.496	1390.549	1422.353	1408.627	1389.192	1333.154	1651.415	-1	-1	-1
18	1477.706	-1	-1	-1	-1	-1	1557.818	1404.875	1364.209	1378.634	1363.83	1341.778	1334.929	1344.803	1367.268	1409.043	1407.37	1455.68	1513.4	1530.492	1563.809	1577.994	1585.599	1601.228	1619.224	1644.164	1676.065	1695.399	1722.186	1747.489	1774.711	1789.676	1813.552	1823.089	1832.613	1841.293	1842.386	1835.981	1828.892	1828.892	1835.981	1842.386	1841.293	1832.613	1823.089	1813.552	1789.676	1774.711	1747.489	1722.186	1695.399	1676.065	1644.164	1619.224	1601.228	1585.599	1577.994	1563.809	1530.492	1513.4	1455.68	1407.37	1409.043	1367.268	1344.803	1334.929	1341.778	1363.83	1378.634	1364.209	1404.875	1557.818	-1	-1	-1
19	1492.092	1372.279	1447.122	-1	-1	-1	1544.607	1350.016	1333.494	1345.247	1345.512	1350.896	1348.832	1364.123	1408.403	1444.969	1468.953	1480.01	1513.51	1510.126	1539.631	1562.174	1592.379	1613.206	1638.529	1663.556	1692.019	1714.707	1735.619	1758.816	1782.78	1798.307	1820.048	1832.297	1842.302	1850.515	1852.03	1846.854	1839.927	1839.927	1846.854	1852.03	1850.515	1842.302	1832.297	1820.048	1798.307	1782.78	1758.816	1735.619	1714.707	1692.019	1663.556	1638.529	1613.206	1592.379	1562.174	1539.631	1510.126	1513.51	1480.01	1468.953	1444.969	1408.403	1364.123	1348.832	1350.896	1345.512	1345.247	1333.494	1350.016	1544.607	-1	-1	-1
20	1556.867	1054.784	1104.684	-1	-1	-1	1657.291	1422.517	1344.995	1368.738	1314.714	1354.274	1325.864	1343.772	1372.636	1391.117	1460.795	1490.47	1505.034	1530.67	1551.989	1589.001	1593.299	1619.717	1636.77	1670.76	1688.354	1714.277	1735.75	1757.478	1782.784	1803.896	1820.113	1831.666	1841.353	1849.752	1851.306	1845.905	1839.086	1839.086	1845.905	1851.306	1849.752	1841.353	1831.666	1820.113	1803.896	1782.784	1757.478	1735.75	1714.277	1688.354	1670.76	1636.77	1619.717	1593.299	1589.001	1551.989	1530.67	1505.034	1490.47	1460.795	1391.117	1372.636	1343.772	1325.864	1354.274	1314.714	1368.738	1344.995	1422.517	1657.291	-1	-1	-1
21	1473.246	-1	-1	-1	-1	-1	1548.014	1410.166	1394.731	1378.806	1381.487	1337.605	1350.768	1358.792	1397.479	1402.333	1471.676	1485.091	1510.345	1536.068	1554.435	1583.5	1595.763	1619.819	1630.043	1660.117	1682.324	1702.552	1730.953	1754.596	1774.643	1794.679	1809.84	1820.232	1827.542	1831.932	1833.335	1831.635	1826.879	1826.879	1831.635	1833.335	1831.932	1827.542	1820.232	1809.84	1794.679	1774.643	1754.596	1730.953	1702.552	1682.324	1660.117	1630.043	1619.819	1595.763	1583.5	1554.435	1536.068	1510.345	1485.091	1471.676	1402.333	1397.479	1358.792	1350.768	1337.605	1381.487	1378.806	1394.731	1410.166	1548.014	-1	-1	-1
22	1391.736	-1	-1	-1	-1	-1	1442.18	1350.325	1362.042	1346.793	1376.392	1378.383	1377.522	1367.476	1404.991	1411.864	1434.83	1463.039	1477.18	1522.484	1538.9	1566.734	1593.193	1615.003	1632.74	1655.379	1677.283	1694.212	1712.81	1730.956	1753.529	1776.525	1788.1	1800.222	1807.385	1810.705	1812.413	1812.324	1808.142	1808.142	1812.324	1812.413	1810.705	1807.385	1800.222	1788.1	1776.525	1753.529	1730.956	1712.81	1694.212	1677.283	1655.379	1632.74	1615.003	1593.193	1566.734	1538.9	1522.484	1477.18	1463.039	1434.83	1411.864	1404.991	1367.476	1377.522	1378.383	1376.392	1346.793	1362.042	1350.325	1442.18	-1	-1	-1
23	1559.945	1177.001	-1	-1	-1	-1	1637.367	1426.919	1431.533	1376.203	1402.105	1375.205	1365.633	1380.5	1397.067	1420.538	1419.915	1460.997	1482.941	1510.231	1525.875	1537.704	1566.895	1588.274	1607.392	1634.493	1658.657	1682.109	1691.759	1721.479	1733.767	1749.942	1752.515	1759.886	1764.433	1767.82	1768.858	1767.435	1764.692	1764.692	1767.435	1768.858	1767.82	1764.433	1759.886	1752.515	1749.942	1733.767	1721.479	1691.759	1682.109	1658.657	1634.493	1607.392	1588.274	1566.895	1537.704	1525.875	1510.231	1482.941	1460.997	1419.915	1420.538	1397.067	1380.5	1365.633	1375.205	1402.105	1376.203	1431.533	1426.919	1637.367	-1	-1	-1
