DFB	BB TEMP TRIAUD FE2O3
mm	3 mm central line
	EXL 500
-5	1703.3435
-4	1731.683
-3	1711.4845
-2	1260.327
-1	1456.7715
0	1532.5935
1	1451.0135
2	1437.681
3	1373.631
4	1700.2545
5	1486.409
6	1332.886
7	1615.6155
8	1728.8075
9	1706.9935
10	1641.9045
11	1650.201
12	1727.813
13	1658.909
14	1704.3455
15	1737.1055
16	1788.2615
17	1811.9775
18	1832.4365
19	1843.3905
20	1842.4955
21	1829.257
22	1810.233
23	1766.0635
24	1735.577
25	1704.0815
26	1660.6175
27	1592.1645
28	1575.5795
29	1524.139
30	1482.5735
31	1432.7035
32	1372.445
33	1447.989
34	1475.255
35	1428.0415
36	1395.802
37	1303.458
38	1352.1195
39	1163.1315
40	1472.671
41	1415.4565
42	1187.8495
43	1257.969
44	1320.904
45	1275.3885
