lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1121.121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	806.551	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	806.551	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1121.121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	-1	-1	-1	-1	-1	-1	-1	1243.83	1311.458	1297.083	1386.799	1411.294	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	982.167	1164.707	-1	1193.284	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1193.284	-1	1164.707	982.167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1411.294	1386.799	1297.083	1311.458	1243.83	-1	-1	-1	-1
-3	1871.23	1440.656	1423.504	1370.133	1376.205	-1	-1	-1	-1	-1	-1	-1	-1	1546.526	1520.629	1454.85	1205.429	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1205.429	1454.85	1520.629	1546.526	-1	-1	-1	-1	-1	-1	-1	-1	1376.205	1370.133
-2	1559.635	1520.898	1552.284	-1	-1	-1	-1	-1	-1	-1	-1	1199.744	1239.855	1097.505	1097.883	1137.299	1145.398	1314.423	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1314.423	1145.398	1137.299	1097.883	1097.505	1239.855	1199.744	-1	-1	-1	-1	-1	-1	-1	-1
-1	1869.342	1417.589	1498.988	-1	-1	-1	-1	-1	-1	-1	-1	1277.502	1275.684	1218.46	1015.436	1087.552	1186.806	1133.571	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1133.571	1186.806	1087.552	1015.436	1218.46	1275.684	1277.502	-1	-1	-1	-1	-1	-1	-1	-1
0	1608.266	-1	-1	-1	-1	-1	-1	-1	-1	-1	1220.51	957.585	-1	-1	-1	-1	-1	-1	-1	951.485	-1	-1	-1	-1	-1	1177.056	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1177.056	-1	-1	-1	-1	-1	951.485	-1	-1	-1	-1	-1	-1	-1	957.585	1220.51	-1	-1	-1	-1	-1	-1	-1
1	1759.503	1314.463	1321.91	1417.654	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1399.823	1600.457	-1	1459.79	-1	-1	-1	1619.226	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1619.226	-1	-1	-1	1459.79	-1	1600.457	1399.823	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1417.654
