lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	1617.738	1571.788	1495.768	1451.413	1491.342	-1	-1	-1	1430.345	-1	-1	-1	-1	1410.825	1134.147	958.688	-1	1116.403	1018.265	1048.411	1052.071	1263.006	1418.004	1516.271	1399.01	1503.53	1402.699	-1	1504.8	1612.264	1491.849	1451.731	1421.497	1401.491	1395.075	1404.391	1424.292	1424.292	1404.391	1395.075	1401.491	1421.497	1451.731	1491.849	1612.264	1504.8	-1	1402.699	1503.53	1399.01	1516.271	1418.004	1263.006	1052.071	1048.411	1018.265	1116.403	-1	958.688	1134.147	1410.825	-1	-1	-1	-1	1430.345	-1	-1	-1	1491.342	1451.413	1495.768	1571.788
-4	-1	1654.501	1698.633	-1	-1	-1	-1	-1	-1	1345.651	1612.931	1369.126	1269.734	1205.31	1533.485	1216.129	1539.355	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1539.355	1216.129	1533.485	1205.31	1269.734	1369.126	1612.931	1345.651	-1	-1	-1	-1	-1	-1
-3	-1	-1	1694.534	-1	-1	-1	1570.282	1393.49	1159.615	1016.676	969.213	924.542	959.537	884.037	880.532	701.234	493.666	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	493.666	701.234	880.532	884.037	959.537	924.542	969.213	1016.676	1159.615	1393.49	1570.282	-1	-1	-1
-2	-1	1390.738	1572.07	-1	-1	-1	-1	1597.903	975.365	913.883	921.432	883.404	918.149	909.834	830.35	838.993	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	838.993	830.35	909.834	918.149	883.404	921.432	913.883	975.365	1597.903	-1	-1	-1	-1
-1	-1	1363.199	1583.605	-1	-1	-1	-1	545.93	705.889	788.699	810.347	822.296	833.665	837.299	838.394	783.368	775.98	549.982	-1	-1	1305.193	1314.586	-1	1434.574	1612.041	-1	-1	1671.664	1456.326	1575.829	-1	-1	-1	-1	-1	1695.381	1688.697	1711.855	-1	-1	1711.855	1688.697	1695.381	-1	-1	-1	-1	-1	1575.829	1456.326	1671.664	-1	-1	1612.041	1434.574	-1	1314.586	1305.193	-1	-1	549.982	775.98	783.368	838.394	837.299	833.665	822.296	810.347	788.699	705.889	545.93	-1	-1	-1	-1
0	-1	937.931	1138.439	-1	-1	-1	-1	801.522	831.996	828.601	830.322	821.914	828.044	825.53	800.053	808.227	785.152	794.538	779.395	796.758	829.867	826.388	820.207	861.401	911.977	849.797	803.363	872.37	845.502	922.998	932.069	1112.375	1246.807	1369.169	1391.104	1310.319	1330.045	1445.744	1453.381	1453.381	1445.744	1330.045	1310.319	1391.104	1369.169	1246.807	1112.375	932.069	922.998	845.502	872.37	803.363	849.797	911.977	861.401	820.207	826.388	829.867	796.758	779.395	794.538	785.152	808.227	800.053	825.53	828.044	821.914	830.322	828.601	831.996	801.522	-1	-1	-1	-1
1	-1	1164.026	1401.164	-1	-1	-1	-1	790.895	850.462	848.731	840.471	842.439	844.359	829.713	828.911	826.086	824.26	823.559	830.885	851.887	880.568	887.974	875.495	909.042	922.552	919.145	936.807	977.046	992.974	1055.419	1174.23	1172.81	1326.483	1339.197	1314.159	1204.92	1205.381	1318.977	1348.115	1348.115	1318.977	1205.381	1204.92	1314.159	1339.197	1326.483	1172.81	1174.23	1055.419	992.974	977.046	936.807	919.145	922.552	909.042	875.495	887.974	880.568	851.887	830.885	823.559	824.26	826.086	828.911	829.713	844.359	842.439	840.471	848.731	850.462	790.895	-1	-1	-1	-1
