DFB	BB DRUDE
mm	3 mm central line
	LEAN 300
0	-1
1	-1
2	-1
3	-1
4	-1
5	1586.7085
6	1640.8535
7	1645.713
8	1728.074
9	1784.727
10	1822.3495
11	1847.1415
12	1991.3655
13	1915.6835
14	-1
15	1759.219
16	1813.784
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
