lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
2	1804.472	932.885	1109.644	1138.303	1197.142	1261.295	1339.462	1550.67	1095.29	959.424	1477.92	1493.071	1247.481	1078.631	1033.096	1007.137	1004.035	932.746	931.29	732.687	822.124	919.963	1023.526	1420.3	1389.539	1593.781	1583.028	1139.64	1553.578	1467.021	1407.797	1508.491	1188.864	1520.847	1657.839	1774.114	1806.193	1768.215	1720.708	1720.708	1768.215	1806.193	1774.114	1657.839	1520.847	1188.864	1508.491	1407.797	1467.021	1553.578	1139.64	1583.028	1593.781	1389.539	1420.3	1023.526	919.963	822.124	732.687	931.29	932.746	1004.035	1007.137	1033.096	1078.631	1247.481	1493.071	1477.92	959.424	1095.29	1550.67	1339.462	1261.295	1197.142	1138.303
3	1264.715	1206.7	1300.553	1290.846	1200.158	1205.563	1214.393	1432.245	1489.182	1191.204	1533.69	1483.205	1179.655	918.958	901.607	900.384	895.875	892.9	891.885	950.181	915.27	1035.987	1142.672	1215.162	1379.069	1373.58	1410.936	1439.834	1325.013	1177.963	1286.03	1406.328	1305.811	1618.27	1770.576	1858.422	1894.708	1877.71	1802.604	1802.604	1877.71	1894.708	1858.422	1770.576	1618.27	1305.811	1406.328	1286.03	1177.963	1325.013	1439.834	1410.936	1373.58	1379.069	1215.162	1142.672	1035.987	915.27	950.181	891.885	892.9	895.875	900.384	901.607	918.958	1179.655	1483.205	1533.69	1191.204	1489.182	1432.245	1214.393	1205.563	1200.158	1290.846
4	919.421	1258.275	1216.734	1222.439	1155.284	1053.54	954.494	816.696	634.556	864.115	1145.424	1107.913	1085.083	952.253	892.171	929.989	965.98	959.944	933.924	986.11	970.753	1030.386	1131.529	1140.26	1335.109	1408.467	1619.504	1531.961	1694.335	1394.543	1526.939	1493.238	1398.115	1412.734	1435.888	1487.867	1488.816	1440.099	1420.909	1420.909	1440.099	1488.816	1487.867	1435.888	1412.734	1398.115	1493.238	1526.939	1394.543	1694.335	1531.961	1619.504	1408.467	1335.109	1140.26	1131.529	1030.386	970.753	986.11	933.924	959.944	965.98	929.989	892.171	952.253	1085.083	1107.913	1145.424	864.115	634.556	816.696	954.494	1053.54	1155.284	1222.439
5	1264.482	883.516	896.413	886.359	892.458	918.514	965.523	1011.306	896.522	1024.299	998.631	1016.451	1016.319	940.573	932.968	971.174	977.686	997.968	1048.103	1033.443	1074.13	1147.588	1203.91	1229.838	1541.22	1367.282	1455.413	1456.031	1500.263	1496.244	1558.623	1541.897	1628.548	1641.094	1656.267	1667.084	1667.954	1659.447	1647.696	1647.696	1659.447	1667.954	1667.084	1656.267	1641.094	1628.548	1541.897	1558.623	1496.244	1500.263	1456.031	1455.413	1367.282	1541.22	1229.838	1203.91	1147.588	1074.13	1033.443	1048.103	997.968	977.686	971.174	932.968	940.573	1016.319	1016.451	998.631	1024.299	896.522	1011.306	965.523	918.514	892.458	886.359
6	989.887	975.212	987.142	1020.97	1039.296	1051.157	1050.252	957.791	940.918	978.783	1031.795	1023.629	1096.862	1001.03	1060.571	1062.637	1053.694	1073.355	1094.026	1057.255	1137.022	1122.213	1301.816	1346.288	1469.621	1474.247	1551.61	1547.473	1587.116	1606.696	1641.524	1631.163	1675.307	1683.064	1692.492	1700.254	1700.951	1694.811	1687.43	1687.43	1694.811	1700.951	1700.254	1692.492	1683.064	1675.307	1631.163	1641.524	1606.696	1587.116	1547.473	1551.61	1474.247	1469.621	1346.288	1301.816	1122.213	1137.022	1057.255	1094.026	1073.355	1053.694	1062.637	1060.571	1001.03	1096.862	1023.629	1031.795	978.783	940.918	957.791	1050.252	1051.157	1039.296	1020.97
7	939.961	961.351	961.817	964.619	958.793	957.984	963.732	997.086	980.062	994.036	1062.69	1096.793	1058.966	1056.865	1050.639	1102.47	1091.339	1152.486	1185.012	1202.594	1269.186	1292.473	1386.955	1433.945	1498.801	1542.468	1597.361	1628.03	1657.876	1675.606	1699.623	1697.524	1723.292	1721.566	1724.98	1727.905	1727.685	1724.339	1720.537	1720.537	1724.339	1727.685	1727.905	1724.98	1721.566	1723.292	1697.524	1699.623	1675.606	1657.876	1628.03	1597.361	1542.468	1498.801	1433.945	1386.955	1292.473	1269.186	1202.594	1185.012	1152.486	1091.339	1102.47	1050.639	1056.865	1058.966	1096.793	1062.69	994.036	980.062	997.086	963.732	957.984	958.793	964.619
8	978.708	943.105	943.826	952.552	963.102	977.763	994.217	976.073	989.27	1039.038	1044.014	1045.021	1075.363	1077.703	1077.635	1116.758	1146.904	1186.116	1227.175	1264.727	1334.259	1414.027	1484.423	1535.988	1590.034	1623.27	1658.58	1677.783	1698.241	1713.866	1728.355	1736.067	1750.817	1758.485	1765.985	1773.21	1774.238	1769.001	1763.393	1763.393	1769.001	1774.238	1773.21	1765.985	1758.485	1750.817	1736.067	1728.355	1713.866	1698.241	1677.783	1658.58	1623.27	1590.034	1535.988	1484.423	1414.027	1334.259	1264.727	1227.175	1186.116	1146.904	1116.758	1077.635	1077.703	1075.363	1045.021	1044.014	1039.038	989.27	976.073	994.217	977.763	963.102	952.552
9	941.351	974.599	973.605	988.568	996.041	1006.908	1015.762	1017.331	1012.273	1029.417	1054.015	1077.322	1119.901	1101.261	1126.117	1157.722	1203.426	1245.768	1296.556	1353.409	1423.005	1488.372	1546.415	1592.55	1630.935	1662.446	1690.948	1714.921	1741.336	1757.983	1776.099	1792.089	1808.935	1818.797	1827.724	1834.7	1836.316	1832.219	1825.615	1825.615	1832.219	1836.316	1834.7	1827.724	1818.797	1808.935	1792.089	1776.099	1757.983	1741.336	1714.921	1690.948	1662.446	1630.935	1592.55	1546.415	1488.372	1423.005	1353.409	1296.556	1245.768	1203.426	1157.722	1126.117	1101.261	1119.901	1077.322	1054.015	1029.417	1012.273	1017.331	1015.762	1006.908	996.041	988.568
10	948.547	971.971	974.588	987.541	1001.753	1019.145	1036.579	1062.133	1059.977	1044.89	1087.911	1118.182	1139.789	1145.721	1178.013	1206.428	1260.111	1316.138	1379.489	1440.822	1501.135	1551.939	1603.597	1641.198	1675.844	1704.732	1733.898	1758.098	1781.406	1805.322	1824.999	1846.133	1885.787	1897.604	1918.306	1940.239	1943.396	1925.614	1906.713	1906.713	1925.614	1943.396	1940.239	1918.306	1897.604	1885.787	1846.133	1824.999	1805.322	1781.406	1758.098	1733.898	1704.732	1675.844	1641.198	1603.597	1551.939	1501.135	1440.822	1379.489	1316.138	1260.111	1206.428	1178.013	1145.721	1139.789	1118.182	1087.911	1044.89	1059.977	1062.133	1036.579	1019.145	1001.753	987.541
11	968.809	954.046	963.787	976.554	993.354	1013.778	1037.258	1059.305	1066.865	1069.955	1113.819	1137.632	1146.159	1174.324	1213.567	1260.926	1323.255	1381.391	1444.208	1504.423	1559.851	1603.082	1649.46	1681.622	1712.495	1744.985	1778.581	1807.052	1842.48	1878.157	1921.997	1996.812	2089.94	2195.125	2330.317	2284.592	2327.103	2456.515	2307.911	2307.911	2456.515	2327.103	2284.592	2330.317	2195.125	2089.94	1996.812	1921.997	1878.157	1842.48	1807.052	1778.581	1744.985	1712.495	1681.622	1649.46	1603.082	1559.851	1504.423	1444.208	1381.391	1323.255	1260.926	1213.567	1174.324	1146.159	1137.632	1113.819	1069.955	1066.865	1059.305	1037.258	1013.778	993.354	976.554
12	957.424	1003.319	1000.552	1012.753	1023.882	1039.943	1059.761	1071.591	1094.656	1123.439	1147.628	1149.837	1182.085	1216.291	1260.309	1319.364	1378.941	1439.829	1498.372	1549.497	1598.337	1637.307	1677.2	1709.997	1748.966	1785.244	1828.491	1881.385	1949.766	2074.816	2292.34	3033.121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3033.121	2292.34	2074.816	1949.766	1881.385	1828.491	1785.244	1748.966	1709.997	1677.2	1637.307	1598.337	1549.497	1498.372	1439.829	1378.941	1319.364	1260.309	1216.291	1182.085	1149.837	1147.628	1123.439	1094.656	1071.591	1059.761	1039.943	1023.882	1012.753
13	964.8	990.476	996.393	1015.951	1034.146	1057.929	1082.974	1092.761	1107.871	1122.061	1152.218	1187.586	1216.533	1259.576	1306.458	1366.713	1426.16	1483.234	1536.026	1580.899	1626.545	1667.184	1709.164	1746.956	1797.238	1847.741	1929.026	2040.593	2302.033	3109.023	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3109.023	2302.033	2040.593	1929.026	1847.741	1797.238	1746.956	1709.164	1667.184	1626.545	1580.899	1536.026	1483.234	1426.16	1366.713	1306.458	1259.576	1216.533	1187.586	1152.218	1122.061	1107.871	1092.761	1082.974	1057.929	1034.146	1015.951
14	963.51	1022.766	1019.96	1034.073	1047.626	1069.452	1095.206	1107.53	1128.522	1145.711	1178.839	1210.979	1248.295	1289.822	1339.323	1402.801	1462.436	1512.89	1564.783	1606.198	1647.903	1688.574	1737.901	1786.559	1843.624	1952.288	2143.369	2955.386	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2955.386	2143.369	1952.288	1843.624	1786.559	1737.901	1688.574	1647.903	1606.198	1564.783	1512.89	1462.436	1402.801	1339.323	1289.822	1248.295	1210.979	1178.839	1145.711	1128.522	1107.53	1095.206	1069.452	1047.626	1034.073
15	977.144	1030.73	1025.584	1036.77	1047.381	1064.151	1090.459	1116.888	1134.754	1170.501	1208.362	1244.626	1284.372	1326.239	1382.271	1433.064	1485.615	1534.517	1579.737	1619.447	1660.355	1706.798	1757.965	1828.17	1941.185	2185.861	3280.55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3280.55	2185.861	1941.185	1828.17	1757.965	1706.798	1660.355	1619.447	1579.737	1534.517	1485.615	1433.064	1382.271	1326.239	1284.372	1244.626	1208.362	1170.501	1134.754	1116.888	1090.459	1064.151	1047.381	1036.77
16	1012.177	1048.803	1042.001	1051.153	1061.106	1077.676	1101.184	1129.842	1151.01	1181.838	1233.392	1270.58	1316.068	1356.204	1406.472	1455.955	1501.86	1545.664	1586.371	1631.039	1670.938	1718.403	1790.185	1888.988	2126.722	-1	-1	-1	-1	-1	-1	-1	1177.006	1177.005	1177.005	1177.004	1177.004	1177.005	1177.005	1177.005	1177.005	1177.004	1177.004	1177.005	1177.005	1177.006	-1	-1	-1	-1	-1	-1	-1	2126.722	1888.988	1790.185	1718.403	1670.938	1631.039	1586.371	1545.664	1501.86	1455.955	1406.472	1356.204	1316.068	1270.58	1233.392	1181.838	1151.01	1129.842	1101.184	1077.676	1061.106	1051.153
17	1022.336	1053.218	1047.707	1057.927	1068.736	1086.008	1109.683	1142.676	1172.408	1202.164	1242.101	1289.534	1331.204	1376.892	1425.475	1470.313	1515.358	1553.487	1590.105	1628.139	1665.447	1723.901	1817.066	2042.923	3113.772	-1	-1	-1	-1	-1	1177.011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1177.011	-1	-1	-1	-1	-1	3113.772	2042.923	1817.066	1723.901	1665.447	1628.139	1590.105	1553.487	1515.358	1470.313	1425.475	1376.892	1331.204	1289.534	1242.101	1202.164	1172.408	1142.676	1109.683	1086.008	1068.736	1057.927
18	1029.913	1042.267	1047.123	1061.952	1080.042	1103.471	1130.686	1156.776	1184.282	1216.372	1257.54	1303.1	1348.609	1390.316	1433.373	1478.134	1519.541	1552.418	1586.65	1631.669	1677.172	1749.471	1912.816	2534.438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1177.018	1177.013	1177.012	1177.014	-1	-1	1177.014	1177.012	1177.013	1177.018	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2534.438	1912.816	1749.471	1677.172	1631.669	1586.65	1552.418	1519.541	1478.134	1433.373	1390.316	1348.609	1303.1	1257.54	1216.372	1184.282	1156.776	1130.686	1103.471	1080.042	1061.952
19	1034.825	1058.981	1065.94	1083.177	1101.108	1122.093	1145.332	1164.556	1195.163	1227.953	1267.162	1312.819	1352.229	1396.547	1437.185	1477.77	1518.291	1549.38	1587.437	1623.459	1670.564	1783.695	2158.203	-1	-1	-1	-1	1177.005	-1	-1	-1	-1	1177.011	1177.006	1177.004	1177.003	1177.003	1177.003	1177.003	1177.003	1177.003	1177.003	1177.003	1177.004	1177.006	1177.011	-1	-1	-1	-1	1177.005	-1	-1	-1	-1	2158.203	1783.695	1670.564	1623.459	1587.437	1549.38	1518.291	1477.77	1437.185	1396.547	1352.229	1312.819	1267.162	1227.953	1195.163	1164.556	1145.332	1122.093	1101.108	1083.177
20	1033.741	1053.982	1062.369	1080.715	1101.296	1126.028	1152.127	1176.476	1204.668	1244.611	1282.995	1324.583	1364.7	1403.753	1436.491	1473.737	1507.626	1541.652	1573.016	1599.958	1656.371	1870.876	2895.086	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2895.086	1870.876	1656.371	1599.958	1573.016	1541.652	1507.626	1473.737	1436.491	1403.753	1364.7	1324.583	1282.995	1244.611	1204.668	1176.476	1152.127	1126.028	1101.296	1080.715
21	1034.054	1054.72	1067.132	1088.641	1109.83	1132.752	1157.075	1180.272	1215.53	1243.591	1287.409	1328.622	1365.608	1403.797	1434.669	1472.829	1501.264	1539.962	1568.128	1607.614	1669.968	2080.768	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2080.768	1669.968	1607.614	1568.128	1539.962	1501.264	1472.829	1434.669	1403.797	1365.608	1328.622	1287.409	1243.591	1215.53	1180.272	1157.075	1132.752	1109.83	1088.641
22	1036.714	1077.29	1083.233	1100.026	1114.705	1132.523	1153.911	1185.566	1217.499	1257.831	1291.577	1333.205	1364.987	1396.327	1427.312	1452.297	1483.824	1516.028	1526.242	1588.647	1704.003	2387.111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2387.111	1704.003	1588.647	1526.242	1516.028	1483.824	1452.297	1427.312	1396.327	1364.987	1333.205	1291.577	1257.831	1217.499	1185.566	1153.911	1132.523	1114.705	1100.026
23	1085.22	1058.739	1078.237	1096.965	1116.814	1138.506	1161.91	1184.855	1211.634	1253.453	1290.339	1329.11	1360.501	1389.992	1417.876	1449.75	1467.45	1506.733	1504.951	1501.406	1430.846	2278.182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1177.007	1177.016	1177.016	1177.006	-1	-1	1177.006	1177.016	1177.016	1177.007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2278.182	1430.846	1501.406	1504.951	1506.733	1467.45	1449.75	1417.876	1389.992	1360.501	1329.11	1290.339	1253.453	1211.634	1184.855	1161.91	1138.506	1116.814	1096.965
24	1089.303	1085.183	1099.201	1119.31	1137.139	1155.924	1176.175	1197.23	1215.544	1248.002	1278.782	1319.068	1337.999	1357.571	1386.929	1423.978	1448.386	1464.683	1461.841	1457.762	1453.658	1916.657	2315.15	2685.869	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2685.869	2315.15	1916.657	1453.658	1457.762	1461.841	1464.683	1448.386	1423.978	1386.929	1357.571	1337.999	1319.068	1278.782	1248.002	1215.544	1197.23	1176.175	1155.924	1137.139	1119.31
