lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	1783.316	1501.129	1544.169	1546.31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1531.976	1520.178	1122.44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	711.628	-1	805.989	-1	1495.19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1495.19	-1	805.989	-1	711.628	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1122.44	1520.178	1531.976	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1546.31
-4	1927.605	-1	-1	-1	-1	-1	-1	1245.018	1313.528	1299.223	1391.174	1416.175	1583.398	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1456.027	1399.27	1361.35	982.662	1166.111	1523.081	1194.895	-1	-1	-1	1730.54	-1	-1	1731.157	1749.121	1749.121	1731.157	-1	-1	1730.54	-1	-1	-1	1194.895	1523.081	1166.111	982.662	1361.35	1399.27	1456.027	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1583.398	1416.175	1391.174	1299.223	1313.528	1245.018	-1	-1	-1	-1
-3	1886.813	1446.583	1428.882	1374.67	1381.238	-1	-1	-1	-1	-1	1537.725	1505.102	1629.908	1554.451	1527.585	1460.355	1207.347	1494.608	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1494.608	1207.347	1460.355	1527.585	1554.451	1629.908	1505.102	1537.725	-1	-1	-1	-1	-1	1381.238	1374.67
-2	1567.208	1527.953	1559.898	1616.729	-1	-1	-1	-1	-1	-1	-1	1201.096	1241.349	1098.063	1098.571	1138.237	1146.09	1317.382	1555.191	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1555.191	1317.382	1146.09	1138.237	1098.571	1098.063	1241.349	1201.096	-1	-1	-1	-1	-1	-1	-1	1616.729
-1	1884.607	1422.204	1505.49	1602.969	-1	-1	-1	-1	-1	-1	1489.361	1279.831	1278.019	1219.834	1015.302	1088.149	1187.926	1134.382	1587.035	1648.766	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1648.766	1587.035	1134.382	1187.926	1088.149	1015.302	1219.834	1278.019	1279.831	1489.361	-1	-1	-1	-1	-1	-1	1602.969
0	1617.181	-1	-1	-1	-1	-1	-1	-1	-1	1476.663	1222.407	957.295	933.592	900.34	901.104	952.584	-1	869.267	871.49	949.629	1614.358	-1	-1	-1	-1	1206.373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1206.373	-1	-1	-1	-1	1614.358	949.629	871.49	869.267	-1	952.584	901.104	900.34	933.592	957.295	1222.407	1476.663	-1	-1	-1	-1	-1	-1
1	1771.849	1316.386	1324.282	1422.631	-1	-1	-1	-1	-1	-1	812.158	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1405.863	1609.94	-1	1466.641	-1	-1	-1	1627.475	1770.035	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1770.035	1627.475	-1	-1	-1	1466.641	-1	1609.94	1405.863	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	812.158	-1	-1	-1	-1	-1	-1	1422.631
