lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1135.307	958.962	-1	-1	1019.139	1049.114	1052.655	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1052.655	1049.114	1019.139	-1	-1	958.962	1135.307	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1271.273	1205.285	-1	1218.154	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1218.154	-1	1205.285	1271.273	-1	-1	-1	-1	-1	-1	-1	-1	-1
-3	-1	-1	-1	-1	-1	-1	-1	-1	1160.501	1017.076	969.057	924.064	959.346	883.743	880.069	700.844	493.371	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	493.371	700.844	880.069	883.743	959.346	924.064	969.057	1017.076	1160.501	-1	-1	-1	-1	-1
-2	-1	-1	-1	-1	-1	-1	-1	-1	975.26	913.884	921.531	883.335	918.22	909.854	830.275	838.933	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	838.933	830.275	909.854	918.22	883.335	921.531	913.884	975.26	-1	-1	-1	-1	-1
-1	-1	1367.251	-1	-1	-1	-1	-1	545.479	705.552	788.599	810.309	822.268	833.654	837.302	838.4	783.243	775.809	549.654	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	549.654	775.809	783.243	838.4	837.302	833.654	822.268	810.309	788.599	705.552	545.479	-1	-1	-1	-1
0	-1	937.792	1139.348	-1	-1	-1	-1	801.289	831.974	828.574	830.266	821.842	827.97	825.46	799.948	808.121	785.025	794.431	779.26	796.637	829.835	826.306	820.133	861.362	911.987	849.729	803.152	872.361	845.361	923.066	932.023	1113.229	1247.857	1371.784	1394.025	1312.087	1332.114	1449.725	1457.564	1457.564	1449.725	1332.114	1312.087	1394.025	1371.784	1247.857	1113.229	932.023	923.066	845.361	872.361	803.152	849.729	911.987	861.362	820.133	826.306	829.835	796.637	779.26	794.431	785.025	808.121	799.948	825.46	827.97	821.842	830.266	828.574	831.974	801.289	-1	-1	-1	-1
1	-1	1165.273	1405.839	-1	-1	-1	-1	790.55	850.43	848.702	840.438	842.385	844.316	829.655	828.841	826.003	824.182	823.486	830.794	851.845	880.57	887.989	875.445	909.027	922.517	919.112	936.735	977.14	992.926	1055.688	1174.61	1173.513	1327.35	1340.205	1314.787	1204.942	1205.4	1319.64	1349.234	1349.234	1319.64	1205.4	1204.942	1314.787	1340.205	1327.35	1173.513	1174.61	1055.688	992.926	977.14	936.735	919.112	922.517	909.027	875.445	887.989	880.57	851.845	830.794	823.486	824.182	826.003	828.841	829.655	844.316	842.385	840.438	848.702	850.43	790.55	-1	-1	-1	-1
