DFB	BB DRUDE
mm	3 mm central line
	RICH  500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1736.341
3	1662.2025
4	1712.7805
5	1719.802
6	1719.9585
7	1736.096
8	1741.264
9	1758.3445
10	-1
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	1593.168
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	-1
36	-1
37	-1
38	-1
39	1470.1845
40	1160.374
41	1301.8395
42	-1
43	-1
44	1294.166
45	-1
