DFB,VOLUME FRACTION,TEMP BB,TEMP BB,TEMP BB,TEMP BB,TEMP BB
mm,arb. unit,K,K,K,K,K
,,FE DRUDE ,FEO HENNING,FEO SHVAREV,FEO TRIAUD FE2O3,FEO TRIAUD FE3O4
3,0,0,,,,
4,0,0,,,,
5,0,1586.7085,1847.8475,1980.447,1581.7975,1581.7975
6,0,1640.8535,1913.5335,2046.723,1633.898,1633.898
7,0,1645.713,1920.1105,2054.568,1638.7455,1638.7455
8,0,1728.074,2026.448,2171.5075,1719.1775,1719.1775
9,0,1784.727,,2258.012,1774.869,1774.869
10,0,1822.3495,,2318.8895,1812.271,1812.271
11,0,1847.1415,,1161.829,1835.8685,1835.8685
12,0,1991.3655,,0,1974.777,1974.777
13,0,1915.6835,,0,1901.4035,1901.4035
14,0,0,,0,0,0
15,0,1759.219,,2227.9585,1750.8375,1750.8375
16,0,1813.784,,,1803.783,1803.783
17,0,,,,0,0
18,0,,,,0,0
19,0,,,,0,0
20,0,,,,0,0
21,0,,,,0,0
22,0,,,,0,0
23,0,,,,0,0
24,0,,,,1801.3915,1801.3915
25,0,,,,,
26,0,,,,,
27,0,,,,,
28,0,,,,,
29,0,,,,,
30,0,,,,,
31,0,,,,,
32,0,,,,,
33,0,,,,,
34,0,,,,,
35,0,,,,,
36,0,,,,,
37,0,,,,,
38,0,,,,,
39,0,,,,,
40,0,,,,,
41,0,,,,,
42,0,,,,,
43,0,,,,,
44,0,,,,,
