lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-3	1905.21	-1	-1	-1	-1	-1	-1	2140.342	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1608.304	1772.958	1623.383	1786.653	1924.899	1573.118	1828.646	1845.818	1501.189	-1	944.623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	944.623	-1	1501.189	1845.818	1828.646	1573.118	1924.899	1786.653	1623.383	1772.958	1608.304	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2140.342	-1	-1	-1	-1
-2	1930.595	1904.35	2132.539	2283.898	-1	-1	-1	-1	-1	1889.384	1833.811	-1	-1	1105.685	1680.237	1308.177	2080.059	1916.574	1777.832	1840.441	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2188.971	2164.46	2164.46	2188.971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1840.441	1777.832	1916.574	2080.059	1308.177	1680.237	1105.685	-1	-1	1833.811	1889.384	-1	-1	-1	-1	-1	2283.898
-1	2083.072	1879.42	2055.743	2317.803	-1	-1	-1	-1	1879.98	-1	1483.942	-1	-1	-1	-1	1155.111	1644.098	1641.994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1641.994	1644.098	1155.111	-1	-1	-1	-1	1483.942	-1	1879.98	-1	-1	-1	-1	2317.803
0	-1	1682.57	1913.18	-1	-1	-1	-1	2150.643	-1	-1	-1	-1	-1	-1	-1	-1	1213.047	1980.058	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1980.058	1213.047	-1	-1	-1	-1	-1	-1	-1	-1	2150.643	-1	-1	-1	-1
1	2214.313	1309.073	1953.648	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	1378.682	1562.242	2294.478	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2294.478
3	2373.772	1242.826	1303.295	2071.544	-1	-1	-1	2118.255	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2118.255	-1	-1	-1	2071.544
