4	2316.552	1456.186	1534.85	2159.065	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2159.065
5	2171.268	1409.031	1463.908	2058.086	-1	-1	-1	-1	1916.506	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1916.506	-1	-1	-1	-1	2058.086
6	1417.851	1802.79	2012.851	2177.119	-1	-1	-1	-1	-1	1375.916	-1	-1	-1	-1	-1	-1	-1	1383.34	1755.993	2647.947	-1	-1	2968.811	2555.658	2400.318	2222.254	2384.888	2155.02	2505.991	1880.57	2466.899	2762.674	2963.338	2736.781	2620.174	2511.322	2486.927	2544.466	2601.969	2601.969	2544.466	2486.927	2511.322	2620.174	2736.781	2963.338	2762.674	2466.899	1880.57	2505.991	2155.02	2384.888	2222.254	2400.318	2555.658	2968.811	-1	-1	2647.947	1755.993	1383.34	-1	-1	-1	-1	-1	-1	-1	1375.916	-1	-1	-1	-1	-1	2177.119
7	1745.368	1824.233	1929.185	2146.823	-1	-1	-1	-1	-1	2231.173	1976.503	1741.371	1392.373	1566.603	1567.802	1463.815	1608.009	1606.606	1772.098	1848.345	1959.968	2120.635	2260.585	2379.565	2277.066	2199.589	2320.577	1942.401	2375.404	1860.742	2010.124	2045.895	2742.437	2676.396	2700.591	2723.953	2716.347	2678.921	2641.097	2641.097	2678.921	2716.347	2723.953	2700.591	2676.396	2742.437	2045.895	2010.124	1860.742	2375.404	1942.401	2320.577	2199.589	2277.066	2379.565	2260.585	2120.635	1959.968	1848.345	1772.098	1606.606	1608.009	1463.815	1567.802	1566.603	1392.373	1741.371	1976.503	2231.173	-1	-1	-1	-1	-1	2146.823
8	1824.435	1902.703	2023.306	2239.838	-1	-1	-1	-1	2433.751	1662.237	1879.339	1653.41	1506.83	1723.266	1744.947	1793.273	1911.655	1966.545	1990.133	2068.317	2068.66	2070.963	2214.079	2123.461	2448.572	2427.878	2608.809	2264.311	2344.95	2306.995	2227.979	2128.402	2558.796	2468.869	2542.981	2591.991	2582.85	2516.324	2432.428	2432.428	2516.324	2582.85	2591.991	2542.981	2468.869	2558.796	2128.402	2227.979	2306.995	2344.95	2264.311	2608.809	2427.878	2448.572	2123.461	2214.079	2070.963	2068.66	2068.317	1990.133	1966.545	1911.655	1793.273	1744.947	1723.266	1506.83	1653.41	1879.339	1662.237	2433.751	-1	-1	-1	-1	2239.838
9	1722.461	-1	2291.124	-1	-1	-1	-1	-1	2195.892	1801.4	1766.284	1663.838	1685.233	1735.661	1849.54	1938.029	1921.116	1993.703	2146.226	2210.509	2217.913	2264.239	2423.652	2425.353	2452.272	2341.356	2663.601	2365.416	2318.53	2572.222	2447.802	2214.819	2834.055	2953.341	3065.615	3098.206	3109.165	3099.541	3016.389	3016.389	3099.541	3109.165	3098.206	3065.615	2953.341	2834.055	2214.819	2447.802	2572.222	2318.53	2365.416	2663.601	2341.356	2452.272	2425.353	2423.652	2264.239	2217.913	2210.509	2146.226	1993.703	1921.116	1938.029	1849.54	1735.661	1685.233	1663.838	1766.284	1801.4	2195.892	-1	-1	-1	-1	-1
10	2105.383	2099.373	2216.698	-1	-1	-1	-1	-1	1944.525	1634.833	1666.048	1620.372	1701.864	1772.36	1824.771	1908.883	2010.856	2057.21	2240.034	2347.014	2388.365	2550.787	2714.948	3047.214	3182.771	2979.536	2614.497	2773.672	2674.49	2282.912	2483.798	2596.213	2937.41	2969.188	2914.324	2786.861	2788.256	2925.985	2993.725	2993.725	2925.985	2788.256	2786.861	2914.324	2969.188	2937.41	2596.213	2483.798	2282.912	2674.49	2773.672	2614.497	2979.536	3182.771	3047.214	2714.948	2550.787	2388.365	2347.014	2240.034	2057.21	2010.856	1908.883	1824.771	1772.36	1701.864	1620.372	1666.048	1634.833	1944.525	-1	-1	-1	-1	-1
11	2168.328	2091.231	2115.728	-1	-1	-1	-1	2105.579	2038.233	1738.748	1792.49	1801.247	1789.442	1923.162	1979.45	2113.45	2138.988	2215.033	2297.267	2354.901	2881.374	3013.619	3277.502	3334.295	-1	-1	-1	-1	-1	-1	2488.942	-1	-1	-1	-1	3131.164	3095.455	-1	-1	-1	-1	3095.455	3131.164	-1	-1	-1	-1	2488.942	-1	-1	-1	-1	-1	-1	3334.295	3277.502	3013.619	2881.374	2354.901	2297.267	2215.033	2138.988	2113.45	1979.45	1923.162	1789.442	1801.247	1792.49	1738.748	2038.233	2105.579	-1	-1	-1	-1
12	2122.97	1796.864	2079.757	2240.249	-1	-1	2375.758	1971.161	1592.484	1665.625	1787.266	1869.039	1816.304	1940.776	2002.881	2146.635	2206.211	2375.803	2749.763	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2654.116	2997.219	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2997.219	2654.116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2749.763	2375.803	2206.211	2146.635	2002.881	1940.776	1816.304	1869.039	1787.266	1665.625	1592.484	1971.161	2375.758	-1	-1	2240.249
13	2362.078	2224.596	2212.721	-1	-1	2517.436	2460.542	2224.906	1889.219	1870.77	1906.144	1985.402	1947.855	2015.988	2130.868	2310.621	2533.244	2616.068	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2616.068	2533.244	2310.621	2130.868	2015.988	1947.855	1985.402	1906.144	1870.77	1889.219	2224.906	2460.542	2517.436	-1	-1
14	1916.694	-1	-1	-1	-1	2386.375	2186.283	2090.522	1728.405	1900.879	1809.464	1817.861	1839.622	1765.998	2108.915	2484.602	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2484.602	2108.915	1765.998	1839.622	1817.861	1809.464	1900.879	1728.405	2090.522	2186.283	2386.375	-1	-1
15	1863.997	2108.065	2229.919	-1	-1	2276.002	2274.303	2229.447	1941.511	1926.944	1970.118	2065.435	1955.707	2060.023	2393.007	2298.288	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2298.288	2393.007	2060.023	1955.707	2065.435	1970.118	1926.944	1941.511	2229.447	2274.303	2276.002	-1	-1
16	1729.402	2088.966	2172.496	2238.572	2297.237	2376.723	2377.236	2370.468	2045.485	2118.248	2233.792	2373.642	2463.938	2142.102	2581.94	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2581.94	2142.102	2463.938	2373.642	2233.792	2118.248	2045.485	2370.468	2377.236	2376.723	2297.237	2238.572
17	1845.376	2158.228	2165.44	2212.579	2263.605	2277.823	2265.946	2441.343	2186.391	2321.181	2439.851	2589.477	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2589.477	2439.851	2321.181	2186.391	2441.343	2265.946	2277.823	2263.605	2212.579
18	2244.707	1925.353	2043.94	2143.811	2312.16	2481.165	-1	2478.231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2478.231	-1	2481.165	2312.16	2143.811
19	2169.205	2073.061	2071.786	2145.87	2251.274	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2251.274	2145.87
20	1955.855	-1	-1	-1	-1	-1	2460.777	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2460.777	-1	-1	-1
21	2296.884	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	1973.706	2300.404	2366.343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
