lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
2	2284.565	1014.321	1247.86	1287.203	1369.239	1459.741	1571.079	1886.119	1215.736	1043.616	1766.097	1788.804	1436.207	1206.456	1148.532	1115.315	1113.277	-1	1022.829	-1	-1	1005.02	1139.069	1693.742	1646.373	-1	1932.979	1287.555	1887.819	1758.251	1663.591	1810.767	1349.502	1832.223	2044.673	2232.043	2284.968	2222.293	2145.476	2145.476	2222.293	2284.968	2232.043	2044.673	1832.223	1349.502	1810.767	1663.591	1758.251	1887.819	1287.555	1932.979	-1	1646.373	1693.742	1139.069	1005.02	-1	-1	1022.829	-1	1113.277	1115.315	1148.532	1206.456	1436.207	1788.804	1766.097	1043.616	1215.736	1886.119	1571.079	1459.741	1369.239	1287.203
3	1436.59	1383.791	1514.567	1498.298	1364.774	1368.634	1380.763	1705.601	1791.601	1358.234	1856.334	1779.938	1344.312	-1	-1	-1	-1	-1	-1	-1	-1	1155.6	1296.952	1398.1	1630.64	1622.929	1675.667	1715.384	1542.549	1335.383	1482.462	1660.422	1512.282	1985.743	2233.952	2382.199	2444.484	2414.776	2286.459	2286.459	2414.776	2444.484	2382.199	2233.952	1985.743	1512.282	1660.422	1482.462	1335.383	1542.549	1715.384	1675.667	1622.929	1630.64	1398.1	1296.952	1155.6	-1	-1	-1	-1	-1	-1	-1	-1	1344.312	1779.938	1856.334	1358.234	1791.601	1705.601	1380.763	1368.634	1364.774	1498.298
4	-1	1452.668	1394.982	1403.687	1311.317	1174.481	1043.654	-1	-1	-1	1288.541	1236.783	1212.647	1046.933	-1	-1	-1	-1	-1	-1	-1	1148.426	1281.296	1295.131	1566.173	1671.192	1994.288	1853.279	2113.235	1648.031	1847.09	1794.87	1649.774	1672.163	1706.608	1785	1786.461	1713.069	1684.658	1684.658	1713.069	1786.461	1785	1706.608	1672.163	1649.774	1794.87	1847.09	1648.031	2113.235	1853.279	1994.288	1671.192	1566.173	1295.131	1281.296	1148.426	-1	-1	-1	-1	-1	-1	-1	1046.933	1212.647	1236.783	1288.541	-1	-1	-1	1043.654	1174.481	1311.317	1403.687
5	1463.234	-1	-1	-1	-1	1000.692	1059.5	1118.541	-1	1135.284	1102.296	1126.958	1128.655	-1	-1	-1	-1	-1	1170.022	1151.55	1203.447	1302.038	1378.42	1417.357	1873.184	1609.472	1739.954	1737.589	1806.06	1796.852	1895.57	1866.895	2004.836	2024.333	2048.384	2065.29	2066.644	2053.328	2034.604	2034.604	2053.328	2066.644	2065.29	2048.384	2024.333	2004.836	1866.895	1895.57	1796.852	1806.06	1737.589	1739.954	1609.472	1873.184	1417.357	1378.42	1302.038	1203.447	1151.55	1170.022	-1	-1	-1	-1	-1	1128.655	1126.958	1102.296	1135.284	-1	1118.541	1059.5	1000.692	-1	-1
6	-1	1075.061	1090.213	1133.304	1157.231	1172.227	1170.575	1052.181	-1	1081.857	1148.808	1137.062	1234.378	1111.712	1188.311	1190.225	1178.4	1205.325	1230.417	1183.329	1288.75	1270.388	1515.925	1578.826	1761.295	1765.971	1885.112	1876.388	1939.269	1968.354	2024.494	2006.824	2078.734	2090.922	2106.169	2118.72	2119.816	2109.819	2097.793	2097.793	2109.819	2119.816	2118.72	2106.169	2090.922	2078.734	2006.824	2024.494	1968.354	1939.269	1876.388	1885.112	1765.971	1761.295	1578.826	1515.925	1270.388	1288.75	1183.329	1230.417	1205.325	1178.4	1190.225	1188.311	1111.712	1234.378	1137.062	1148.808	1081.857	-1	1052.181	1170.575	1172.227	1157.231	1133.304
7	-1	-1	-1	-1	-1	1056.546	1063.587	1105.806	1083.444	1100.513	1189.073	1233.917	1185.298	1183.573	1174.47	1243.594	1228.223	1309.925	1352.934	1377.203	1469.63	1501.416	1637.151	1705.232	1803.044	1868.97	1954.946	2002.917	2051.098	2079	2118.584	2114.548	2157.549	2154.449	2160.01	2164.724	2164.332	2158.864	2152.604	2152.604	2158.864	2164.332	2164.724	2160.01	2154.449	2157.549	2114.548	2118.584	2079	2051.098	2002.917	1954.946	1868.97	1803.044	1705.232	1637.151	1501.416	1469.63	1377.203	1352.934	1309.925	1228.223	1243.594	1174.47	1183.573	1185.298	1233.917	1189.073	1100.513	1083.444	1105.806	1063.587	1056.546	-1	-1
8	-1	-1	-1	-1	-1	-1	1102.114	-1	-1	1159.569	1164.864	1167.181	1206.375	1210.697	-1	1261.237	1301.788	1354.457	1410.731	1462.292	1560.612	1676.095	1781.165	1859.546	1943.623	1995.76	2052.393	2083.104	2116.483	2141.737	2165.832	2178.261	2203.111	2215.651	2228.092	2240.074	2241.767	2233.046	2223.694	2223.694	2233.046	2241.767	2240.074	2228.092	2215.651	2203.111	2178.261	2165.832	2141.737	2116.483	2083.104	2052.393	1995.76	1943.623	1859.546	1781.165	1676.095	1560.612	1462.292	1410.731	1354.457	1301.788	1261.237	-1	1210.697	1206.375	1167.181	1164.864	1159.569	-1	-1	1102.114	-1	-1	-1
9	-1	-1	-1	-1	-1	-1	1129.286	-1	-1	-1	-1	1209.193	1265.139	-1	-1	1316.556	1378.393	1436.574	1507.665	1588.289	1689.823	1787.302	1876.067	1947.711	2008.365	2058.637	2104.803	2143.732	2187.344	2214.768	2245.141	2271.779	2300.398	2317.069	2332.246	2344.113	2346.867	2339.889	2328.629	2328.629	2339.889	2346.867	2344.113	2332.246	2317.069	2300.398	2271.779	2245.141	2214.768	2187.344	2143.732	2104.803	2058.637	2008.365	1947.711	1876.067	1787.302	1689.823	1588.289	1507.665	1436.574	1378.393	1316.556	-1	-1	1265.139	1209.193	-1	-1	-1	-1	1129.286	-1	-1	-1
10	-1	-1	-1	-1	-1	-1	-1	1189.715	-1	-1	-1	1263.345	1292.193	-1	1343.826	1382.583	1456.593	1535.396	1626.495	1716.451	1806.97	1884.763	1965.291	2024.762	2080.38	2127.196	2175.127	2215.116	2254.204	2294.399	2327.919	2364.116	2432.799	2453.397	2489.767	2528.588	2534.204	2502.665	2469.344	2469.344	2502.665	2534.204	2528.588	2489.767	2453.397	2432.799	2364.116	2327.919	2294.399	2254.204	2215.116	2175.127	2127.196	2080.38	2024.762	1965.291	1884.763	1806.97	1716.451	1626.495	1535.396	1456.593	1382.583	1343.826	-1	1292.193	1263.345	-1	-1	-1	1189.715	-1	-1	-1	-1
11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1457.797	1545.561	1629.172	1721.617	1812.076	1897.136	1964.568	2038.154	2089.819	2140.14	2193.571	2249.709	2297.537	2358.019	2419.586	2496.561	2630.748	2803.975	3007.718	3289.457	3192.363	3283.431	3577.297	3238.626	3238.626	3577.297	3283.431	3192.363	3289.457	3007.718	2803.975	2630.748	2496.561	2419.586	2358.019	2297.537	2249.709	2193.571	2140.14	2089.819	2038.154	1964.568	1897.136	1812.076	1721.617	1629.172	1545.561	1457.797	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
