DFB	BB TEMP TRIAUD FE3O4
mm	3 mm central line
	LEAN 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1577.9265
3	2121.3855
4	2397.464
5	2283.1255
6	2238.4065
7	2269.133
8	2332.4315
9	2540.812
10	2629.3005
11	2628.6555
12	2585.2565
13	2639.9035
14	2564.9235
15	-1
16	2530.2545
17	-1
18	2415.347
19	2391.225
20	2288.1805
21	2244.886
22	2502.3745
23	2433.882
24	2264.645
25	2245.059
26	2082.0735
27	2289.7
28	2211.7635
29	1938.434
30	1742.484
31	2267.872
32	1821.624
33	1752.9315
34	1649.7645
35	1715.052
36	1717.2615
37	1744.369
38	1600.0385
39	1535.3415
40	1572.13
41	1543.2705
42	1600.508
43	1832.5855
44	1771.8455
45	-1
