lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
2	-1	1159.4	1420.522	-1	-1	-1	-1	1512.405	979.843	943.812	928.721	926.734	938.563	931.072	921.948	921.105	925.721	938.356	965.73	1030.968	1114.734	1183.472	1195.208	1288.149	1321.5	1314.349	1344.431	1354.11	1404.013	1479.873	1625.411	1757.709	1956.251	1980.998	1973.823	1870.159	1872.759	1984.041	1997.774	1997.774	1984.041	1872.759	1870.159	1973.823	1980.998	1956.251	1757.709	1625.411	1479.873	1404.013	1354.11	1344.431	1314.349	1321.5	1288.149	1195.208	1183.472	1114.734	1030.968	965.73	938.356	925.721	921.105	921.948	931.072	938.563	926.734	928.721	943.812	979.843	1512.405	-1	-1	-1	-1
3	-1	1467.053	1460.612	-1	-1	-1	-1	1513.485	1060.369	957.094	963.061	974.871	981.199	973.096	975.756	996.284	1028.401	1119.122	1268.979	1499.491	1740.246	1858.435	1920.48	1926.405	1898.865	1861.795	1910.414	1857.087	1977.14	1958.189	2129.071	2194.569	2495.721	2509.34	2534.805	2500.273	2501.963	2539.868	2517.775	2517.775	2539.868	2501.963	2500.273	2534.805	2509.34	2495.721	2194.569	2129.071	1958.189	1977.14	1857.087	1910.414	1861.795	1898.865	1926.405	1920.48	1858.435	1740.246	1499.491	1268.979	1119.122	1028.401	996.284	975.756	973.096	981.199	974.871	963.061	957.094	1060.369	1513.485	-1	-1	-1	-1
4	-1	1202.402	1431.74	1922.05	-1	-1	-1	-1	1247.993	1030.329	870.877	941.668	999.88	1059.844	1139.458	1278.11	1471.572	1686.872	1905.766	1995.878	2094.098	2103.306	2152.569	2151.928	2173.603	2199.176	2226.033	2176.229	2180.553	2193.951	2263.092	2214.805	2279.882	2265.498	2273.903	2286.883	2285.036	2268.202	2255.967	2255.967	2268.202	2285.036	2286.883	2273.903	2265.498	2279.882	2214.805	2263.092	2193.951	2180.553	2176.229	2226.033	2199.176	2173.603	2151.928	2152.569	2103.306	2094.098	1995.878	1905.766	1686.872	1471.572	1278.11	1139.458	1059.844	999.88	941.668	870.877	1030.329	1247.993	-1	-1	-1	-1	1922.05
5	-1	1848.257	1867.877	1915.191	-1	-1	-1	-1	1470.814	1268.039	1156.249	1288.829	1346.756	1478.06	1588.916	1708.418	1793.353	1870.08	1955.741	2008.885	2058.445	2101.104	2154.058	2181	2215.428	2231.301	2263.425	2267.317	2270.169	2270.37	2296.248	2238.486	2295.242	2286.56	2289.279	2290.634	2289.526	2285.959	2281.057	2281.057	2285.959	2289.526	2290.634	2289.279	2286.56	2295.242	2238.486	2296.248	2270.37	2270.169	2267.317	2263.425	2231.301	2215.428	2181	2154.058	2101.104	2058.445	2008.885	1955.741	1870.08	1793.353	1708.418	1588.916	1478.06	1346.756	1288.829	1156.249	1268.039	1470.814	-1	-1	-1	-1	1915.191
6	-1	1813.99	1906.229	1959.6	-1	-1	1745.268	1452.211	1350.543	1212.287	1233.462	1357.286	1548.771	1642.684	1749.28	1830.317	1905.027	1967.056	2031.237	2085.319	2138.598	2177.378	2231.315	2266.679	2304.517	2316.465	2348.207	2354.619	2368.434	2383.621	2430.131	2438.026	2433.303	2456.097	2460.728	2457.506	2460.481	2469.795	2471.052	2471.052	2469.795	2460.481	2457.506	2460.728	2456.097	2433.303	2438.026	2430.131	2383.621	2368.434	2354.619	2348.207	2316.465	2304.517	2266.679	2231.315	2177.378	2138.598	2085.319	2031.237	1967.056	1905.027	1830.317	1749.28	1642.684	1548.771	1357.286	1233.462	1212.287	1350.543	1452.211	1745.268	-1	-1	1959.6
7	-1	1759.302	1796.255	1906.209	-1	-1	-1	1407.164	1337.229	1288.457	1401.587	1538.652	1639.119	1734.732	1817.292	1898.347	1967.197	2022.431	2094.477	2139.191	2195.403	2242.987	2320.034	2362.141	2417.578	2462.823	2511.281	2510.878	2546.227	2573.956	2561.428	2575.772	2579.993	2621.161	2631.139	2626.838	2632.498	2648.791	2650.035	2650.035	2648.791	2632.498	2626.838	2631.139	2621.161	2579.993	2575.772	2561.428	2573.956	2546.227	2510.878	2511.281	2462.823	2417.578	2362.141	2320.034	2242.987	2195.403	2139.191	2094.477	2022.431	1967.197	1898.347	1817.292	1734.732	1639.119	1538.652	1401.587	1288.457	1337.229	1407.164	-1	-1	-1	1906.209
8	-1	1515.567	1556.385	1604.738	1619.227	1548.193	1417.224	1127.466	1293.876	1356.655	1516.595	1589.303	1704.657	1792.477	1874.437	1948.438	2015.064	2078.497	2150.287	2214.903	2301.678	2354.63	2453.034	2521.46	2610.707	2720.564	2804.127	2795.848	2815.088	2715.34	2783.069	2990.04	3163.913	3225.71	3226.654	3144.931	3152.309	3251.627	3267.378	3267.378	3251.627	3152.309	3144.931	3226.654	3225.71	3163.913	2990.04	2783.069	2715.34	2815.088	2795.848	2804.127	2720.564	2610.707	2521.46	2453.034	2354.63	2301.678	2214.903	2150.287	2078.497	2015.064	1948.438	1874.437	1792.477	1704.657	1589.303	1516.595	1356.655	1293.876	1127.466	1417.224	1548.193	1619.227	1604.738
9	-1	2214.439	2165.216	-1	-1	1615.838	1315.897	1227.947	1350.069	1474.127	1551.715	1655.941	1748.122	1830.049	1916.836	1983.534	2060.346	2123.653	2214.095	2289.163	2396.364	2528.898	2695.211	2871.907	3184.679	-1	-1	3045.972	2901.639	2720.857	2903.783	2966.175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2966.175	2903.783	2720.857	2901.639	3045.972	-1	-1	3184.679	2871.907	2695.211	2528.898	2396.364	2289.163	2214.095	2123.653	2060.346	1983.534	1916.836	1830.049	1748.122	1655.941	1551.715	1474.127	1350.069	1227.947	1315.897	1615.838	-1	-1
10	-1	2297.319	2241.214	-1	1589.741	1238.304	1210.527	1270.114	1429.011	1510.031	1610.956	1708.619	1797.305	1865.309	1943.384	2011.407	2071.261	2152.669	2243.285	2356.864	2510.025	2833.495	-1	-1	-1	-1	-1	3007.692	2835.709	2937.802	2984.213	3010.409	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3010.409	2984.213	2937.802	2835.709	3007.692	-1	-1	-1	-1	-1	2833.495	2510.025	2356.864	2243.285	2152.669	2071.261	2011.407	1943.384	1865.309	1797.305	1708.619	1610.956	1510.031	1429.011	1270.114	1210.527	1238.304	1589.741	-1
11	-1	2267.618	2099.522	1802.514	1175.358	1071.204	1204.414	1324.013	1451.603	1546.285	1641.861	1723.852	1805.414	1880.86	1953.53	2017.43	2086.313	2181.737	2283.028	2463.162	2829.463	-1	-1	-1	-1	-1	-1	3028.974	2756.711	3070.221	2929.243	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2929.243	3070.221	2756.711	3028.974	-1	-1	-1	-1	-1	-1	2829.463	2463.162	2283.028	2181.737	2086.313	2017.43	1953.53	1880.86	1805.414	1723.852	1641.861	1546.285	1451.603	1324.013	1204.414	1071.204	1175.358	1802.514
