DFB	BB TEMP TRIAUD FE3O4
mm	3 mm central line
	STO 500
-5	-1
-4	1682.765
-3	-1
-2	2024.131
-1	-1
0	-1
1	-1
2	2183.8845
3	2350.6175
4	1698.8635
5	2043.966
6	2103.806
7	2155.734
8	2228.37
9	2334.259
10	2486.0045
11	3407.9615
12	-1
13	-1
14	588.0225
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	933.4225
36	-1
37	-1
38	2063.2355
39	-1
40	2257.2465
41	1944.9695
42	1045.216
43	-1
44	-1
45	-1
