lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
3	1944.399	-1	-1	-1	-1	-1	-1	-1	-1	-1	700.096	639.159	796.333	677.194	722.265	1086.325	1322.63	1580.233	1901.681	1892.815	2062.532	1979.368	2202.616	2076.048	2158.586	2136.802	2193.483	2172.325	2334.646	2155.853	2259.547	2091.16	2315.46	2247.307	2241.534	2227.598	2219.78	2218.179	2208.454	2208.454	2218.179	2219.78	2227.598	2241.534	2247.307	2315.46	2091.16	2259.547	2155.853	2334.646	2172.325	2193.483	2136.802	2158.586	2076.048	2202.616	1979.368	2062.532	1892.815	1901.681	1580.233	1322.63	1086.325	722.265	677.194	796.333	639.159	700.096	-1	-1	-1	-1	-1	-1	-1
4	2019.193	-1	-1	-1	-1	-1	-1	-1	-1	-1	981.458	1025.007	1218.534	1358.904	1441.363	1551.213	1779.816	1865.151	1948.684	1988.1	2039.719	2107.077	2174.666	2118.902	2182.703	2126.461	2202.317	2209.764	2317.092	2217.75	2295.969	2242.88	2279.923	2291.198	2301.355	2311.65	2313.057	2305.475	2298.072	2298.072	2305.475	2313.057	2311.65	2301.355	2291.198	2279.923	2242.88	2295.969	2217.75	2317.092	2209.764	2202.317	2126.461	2182.703	2118.902	2174.666	2107.077	2039.719	1988.1	1948.684	1865.151	1779.816	1551.213	1441.363	1358.904	1218.534	1025.007	981.458	-1	-1	-1	-1	-1	-1	-1
5	2039.535	-1	-1	-1	-1	-1	-1	-1	-1	-1	1570.593	1413.486	1613.111	1529.752	1649.315	1690.3	1855.294	1890.995	1988.346	2035.253	2106.263	2154.658	2198.397	2230.19	2272.307	2273.063	2294.96	2255.057	2289.524	2239.198	2261.572	2242.375	2334.666	2320.793	2328.136	2331.88	2330.185	2323.056	2312.419	2312.419	2323.056	2330.185	2331.88	2328.136	2320.793	2334.666	2242.375	2261.572	2239.198	2289.524	2255.057	2294.96	2273.063	2272.307	2230.19	2198.397	2154.658	2106.263	2035.253	1988.346	1890.995	1855.294	1690.3	1649.315	1529.752	1613.111	1413.486	1570.593	-1	-1	-1	-1	-1	-1	-1
6	1849.478	-1	-1	-1	-1	-1	-1	-1	-1	-1	1761.87	1636.923	1588.316	1660.36	1809.069	1866.784	1932.778	2011.234	2073.458	2116.752	2176.978	2197.933	2250.159	2258.922	2292.39	2301.634	2327.889	2280.623	2328.321	2320.769	2296.218	2293.93	2330.069	2321.206	2319.751	2315.136	2314.063	2316.531	2315.834	2315.834	2316.531	2314.063	2315.136	2319.751	2321.206	2330.069	2293.93	2296.218	2320.769	2328.321	2280.623	2327.889	2301.634	2292.39	2258.922	2250.159	2197.933	2176.978	2116.752	2073.458	2011.234	1932.778	1866.784	1809.069	1660.36	1588.316	1636.923	1761.87	-1	-1	-1	-1	-1	-1	-1
7	1791.528	-1	-1	-1	-1	-1	-1	-1	1833.341	1887.635	1820.777	1731.261	1808.071	1836.455	1885.137	1960.485	2008.864	2063.696	2102.948	2148.516	2177.82	2225.308	2268.408	2290.365	2324.816	2364.751	2353.121	2358.532	2365.846	2386.6	2340.088	2380.192	2336.409	2344.526	2339.652	2333.154	2334.18	2342.734	2349.681	2349.681	2342.734	2334.18	2333.154	2339.652	2344.526	2336.409	2380.192	2340.088	2386.6	2365.846	2358.532	2353.121	2364.751	2324.816	2290.365	2268.408	2225.308	2177.82	2148.516	2102.948	2063.696	2008.864	1960.485	1885.137	1836.455	1808.071	1731.261	1820.777	1887.635	1833.341	-1	-1	-1	-1	-1
8	1571.177	-1	-1	-1	-1	-1	1595.971	1648.313	1544.967	1623.819	1831.923	1992.476	1929.083	1982.504	2010.761	2086.588	2095.899	2159.483	2142.388	2236.011	2268.463	2384.407	2428.39	2521.822	2482.907	2662.205	2473.547	2473.409	2425.583	2445.3	2211.221	2460.603	2291.416	2333.579	2335.692	2343.526	2348.579	2351.036	2359.5	2359.5	2351.036	2348.579	2343.526	2335.692	2333.579	2291.416	2460.603	2211.221	2445.3	2425.583	2473.409	2473.547	2662.205	2482.907	2521.822	2428.39	2384.407	2268.463	2236.011	2142.388	2159.483	2095.899	2086.588	2010.761	1982.504	1929.083	1992.476	1831.923	1623.819	1544.967	1648.313	1595.971	-1	-1	-1
9	1812.73	-1	-1	-1	1571.927	1639.662	1616.427	1505.109	1766.684	1914.638	1987.815	2030.205	1987.447	2032.033	2046.137	2121.102	2165.555	2308.702	2297.89	2468.052	2444.085	-1	-1	-1	-1	-1	-1	-1	-1	2545.44	2272.006	2467.607	2294.187	2345.465	2379.883	2428.14	2433.719	2397.076	2375.338	2375.338	2397.076	2433.719	2428.14	2379.883	2345.465	2294.187	2467.607	2272.006	2545.44	-1	-1	-1	-1	-1	-1	-1	-1	2444.085	2468.052	2297.89	2308.702	2165.555	2121.102	2046.137	2032.033	1987.447	2030.205	1987.815	1914.638	1766.684	1505.109	1616.427	1639.662	1571.927	-1
10	1728.447	-1	-1	-1	-1	1616.673	1673.39	1707.016	1756.653	1839.194	1915.805	1983.322	2032.465	2190.29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2190.29	2032.465	1983.322	1915.805	1839.194	1756.653	1707.016	1673.39	1616.673	-1	-1
11	1768.611	-1	-1	-1	1877.203	1928.342	1974.749	1977.275	1947.181	1909.407	1873.119	1986.687	2088.711	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2088.711	1986.687	1873.119	1909.407	1947.181	1977.275	1974.749	1928.342	1877.203	-1
12	1645.245	-1	-1	-1	1819.077	1749.036	1787.033	1858.296	1839.16	1885.552	2044.476	2126.812	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2126.812	2044.476	1885.552	1839.16	1858.296	1787.033	1749.036	1819.077	-1
13	1679.122	-1	1697.803	1780.433	1844.792	1964.165	2000.486	1943.478	2003.253	2031.93	1929.501	2055.672	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2055.672	1929.501	2031.93	2003.253	1943.478	2000.486	1964.165	1844.792	1780.433
14	1885.15	1522.453	1695.711	1704.532	1773.578	1869.337	1915.116	1979.613	1867.396	1877.122	2044.826	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2044.826	1877.122	1867.396	1979.613	1915.116	1869.337	1773.578	1704.532
